"","GO","GO_desc","over_under","adj_pVal","sam_freq","back_freq","n_GO_DEG","n_DEG","n_GO","n_all_genes","pVal","gene_name"
"11","GO:0006813","potassium ion transport","over",0.000169850081125712,0.00655,0.00149,9,1375,15,10038,3.45007977286602e-05,"LOC105249471, LOC105251134, LOC105251803, LOC105252981, LOC105255031, LOC105257841, LOC105258233, LOC105258647, LOC105259299"
"12","GO:0004674","protein serine/threonine kinase activity","over",0.000386461383583154,0.00945,0.00309,13,1375,31,10038,8.45384276588148e-05,"LOC105248156, LOC105249459, LOC105250141, LOC105251108, LOC105251500, LOC105252719, LOC105252927, LOC105255087, LOC105256106, LOC105256569, LOC105256945, LOC105257917, LOC105259055"
"13","GO:0007156","homophilic cell adhesion via plasma membrane adhesion molecules","over",0.000699377942965149,0.00509,0.0011,7,1375,11,10038,0.000163916705382457,"LOC105248718, LOC105251612, LOC105252132, LOC105254415, LOC105254666, LOC105258698, LOC112639557"
"14","GO:0003677","DNA binding","over",0.000704910005008511,0.03782,0.02381,52,1375,239,10038,0.000176227501252128,"LOC105247750, LOC105248427, LOC105249280, LOC105249323, LOC105249501, LOC105249854, LOC105250098, LOC105250316, LOC105250423, LOC105250593, LOC105250715, LOC105251567, LOC105252033, LOC105252077, LOC105252114, LOC105252280, LOC105252509, LOC105252954, LOC105253101, LOC105253226, LOC105254406, LOC105254437, LOC105254440, LOC105254655, LOC105255015, LOC105255462, LOC105255594, LOC105255611, LOC105255830, LOC105255846, LOC105256156, LOC105256160, LOC105256254, LOC105256369, LOC105256556, LOC105256598, LOC105256722, LOC105256874, LOC105257066, LOC105257641, LOC105257703, LOC105257905, LOC105257995, LOC105258322, LOC105258783, LOC105258876, LOC105259054, LOC105259184, LOC105259201, LOC105259207, LOC105259553, LOC112638982"
"15","GO:0005249","voltage-gated potassium channel activity","over",0.000934691079248224,0.00364,6e-04,5,1375,6,10038,0.000248277317925309,"LOC105249471, LOC105251134, LOC105251803, LOC105255031, LOC105259299"
"16","GO:0004672","protein kinase activity","over",0.00129506613807039,0.03418,0.02162,47,1375,217,10038,0.000364237351332296,"LOC105248090, LOC105248306, LOC105248529, LOC105249243, LOC105249285, LOC105249432, LOC105249671, LOC105249778, LOC105249947, LOC105250010, LOC105250114, LOC105250130, LOC105250290, LOC105250867, LOC105251255, LOC105251342, LOC105252079, LOC105252140, LOC105252524, LOC105252678, LOC105252842, LOC105253114, LOC105253138, LOC105253178, LOC105253402, LOC105253616, LOC105253932, LOC105254017, LOC105254223, LOC105254289, LOC105255013, LOC105255207, LOC105255597, LOC105255635, LOC105255637, LOC105255902, LOC105255940, LOC105256392, LOC105256501, LOC105256551, LOC105256881, LOC105258109, LOC105258110, LOC105258630, LOC105258655, LOC105259214, LOC105259402"
"17","GO:0005089","Rho guanyl-nucleotide exchange factor activity","over",0.00130000850804029,0.008,0.00269,11,1375,27,10038,0.000385940025824461,"LOC105248614, LOC105248921, LOC105249605, LOC105251006, LOC105251265, LOC105251583, LOC105251703, LOC105252011, LOC105252826, LOC105255221, LOC105256881"
"18","GO:0035023","regulation of Rho protein signal transduction","over",0.00175698036240164,0.008,0.00279,11,1375,28,10038,0.000549056363250513,"LOC105248614, LOC105248921, LOC105249605, LOC105251006, LOC105251265, LOC105251583, LOC105251703, LOC105252011, LOC105252826, LOC105255221, LOC105256881"
"19","GO:0008017","microtubule binding","over",0.00180901695916444,0.00945,0.00369,13,1375,37,10038,0.000606832183468713,"LOC105248158, LOC105249167, LOC105251198, LOC105251591, LOC105252876, LOC105252924, LOC105253815, LOC105254083, LOC105255414, LOC105257387, LOC105257655, LOC105258023, LOC105259050"
"20","GO:0005509","calcium ion binding","over",0.00180901695916444,0.01818,0.00966,25,1375,97,10038,0.000621849579712776,"LOC105248718, LOC105249586, LOC105249746, LOC105250249, LOC105250931, LOC105250944, LOC105251328, LOC105251612, LOC105251772, LOC105252132, LOC105252523, LOC105253899, LOC105253951, LOC105254296, LOC105254298, LOC105254415, LOC105254666, LOC105255070, LOC105256118, LOC105256989, LOC105257393, LOC105257499, LOC105258184, LOC105258698, LOC112639557"
"21","GO:0051260","protein homooligomerization","over",0.00203754955858546,0.00436,0.001,6,1375,10,10038,0.000764081084469549,"LOC105249471, LOC105251803, LOC105253562, LOC105255031, LOC105259299, LOC109610007"
"22","GO:0070588","calcium ion transmembrane transport","over",0.00203754955858546,0.00436,0.001,6,1375,10,10038,0.000764081084469549,"LOC105252243, LOC105254317, LOC105254373, LOC105255587, LOC105256467, LOC105257707"
"23","GO:0005524","ATP binding","over",0.00407779027343569,0.064,0.04931,88,1375,495,10038,0.00159288682556082,"LOC105247750, LOC105248025, LOC105248090, LOC105248158, LOC105248306, LOC105248529, LOC105248583, LOC105248722, LOC105249020, LOC105249167, LOC105249210, LOC105249243, LOC105249285, LOC105249323, LOC105249432, LOC105249459, LOC105249574, LOC105249671, LOC105249709, LOC105249822, LOC105249947, LOC105250018, LOC105250141, LOC105250180, LOC105250867, LOC105251108, LOC105251198, LOC105251255, LOC105251342, LOC105251369, LOC105251500, LOC105251521, LOC105251812, LOC105251927, LOC105251945, LOC105252118, LOC105252524, LOC105252647, LOC105252678, LOC105252719, LOC105252842, LOC105252876, LOC105252924, LOC105252926, LOC105252927, LOC105253107, LOC105253114, LOC105253138, LOC105253257, LOC105253616, LOC105253932, LOC105253989, LOC105254017, LOC105254083, LOC105254289, LOC105254317, LOC105254373, LOC105254872, LOC105254902, LOC105255087, LOC105255207, LOC105255363, LOC105255414, LOC105255453, LOC105255597, LOC105255864, LOC105255902, LOC105255940, LOC105256068, LOC105256106, LOC105256392, LOC105256467, LOC105256551, LOC105256569, LOC105256789, LOC105256881, LOC105257044, LOC105257202, LOC105257655, LOC105257906, LOC105257917, LOC105258023, LOC105258109, LOC105258110, LOC105258630, LOC105258655, LOC105258656, LOC105259402"
"24","GO:0003777","microtubule motor activity","over",0.00523150102835135,0.00727,0.00279,10,1375,28,10038,0.00212529729276773,"LOC105248158, LOC105249167, LOC105249210, LOC105251198, LOC105252876, LOC105252924, LOC105254083, LOC105255414, LOC105257655, LOC105258023"
"25","GO:0005634","nucleus","over",0.00613240351796225,0.03345,0.02331,46,1375,234,10038,0.00258710773414032,"LOC105248119, LOC105248127, LOC105248216, LOC105248356, LOC105248586, LOC105249476, LOC105249839, LOC105250091, LOC105251008, LOC105251239, LOC105251288, LOC105251450, LOC105251567, LOC105251835, LOC105252121, LOC105252184, LOC105252362, LOC105253476, LOC105253602, LOC105253676, LOC105253806, LOC105254367, LOC105254664, LOC105254701, LOC105254866, LOC105255949, LOC105256179, LOC105256618, LOC105256692, LOC105256805, LOC105256844, LOC105256964, LOC105256998, LOC105257061, LOC105257066, LOC105257554, LOC105258105, LOC105258243, LOC105258247, LOC105258586, LOC105259059, LOC105259157, LOC105259182, LOC105259207, LOC105259503, LOC105259538"
"26","GO:0004930","G protein-coupled receptor activity","over",0.00616130355909389,0.01455,0.00797,20,1375,80,10038,0.00269557030710358,"LOC105248296, LOC105248348, LOC105249479, LOC105251377, LOC105252833, LOC105252917, LOC105253861, LOC105254229, LOC105254705, LOC105255061, LOC105255818, LOC105255859, LOC105256235, LOC105256251, LOC105257114, LOC105257836, LOC105258698, LOC105258700, LOC105258716, LOC105258758"
"27","GO:0007275","multicellular organism development","over",0.00887072490801401,0.00436,0.0013,6,1375,13,10038,0.00401954722394385,"LOC105252301, LOC105256389, LOC105256941, LOC105258184, LOC105258369, LOC105259323"
"28","GO:0007018","microtubule-based movement","over",0.0091613924936606,0.00655,0.00259,9,1375,26,10038,0.00429440273140341,"LOC105248158, LOC105249167, LOC105249210, LOC105251198, LOC105252876, LOC105252924, LOC105254083, LOC105257655, LOC105258023"
"29","GO:0016021","integral component of membrane","over",0.0194681230240201,0.05091,0.04134,70,1375,415,10038,0.00942987208975973,"LOC105247991, LOC105248006, LOC105248296, LOC105248348, LOC105248416, LOC105248459, LOC105248902, LOC105248956, LOC105249116, LOC105249160, LOC105249188, LOC105249189, LOC105249254, LOC105249479, LOC105249572, LOC105249726, LOC105249822, LOC105249883, LOC105250805, LOC105251134, LOC105251209, LOC105251377, LOC105251831, LOC105252098, LOC105252199, LOC105252218, LOC105252237, LOC105252243, LOC105252833, LOC105252917, LOC105253261, LOC105253861, LOC105253981, LOC105254229, LOC105254317, LOC105254373, LOC105254377, LOC105254452, LOC105254705, LOC105255061, LOC105255363, LOC105255665, LOC105255729, LOC105255818, LOC105255859, LOC105256235, LOC105256251, LOC105256389, LOC105256467, LOC105256530, LOC105257101, LOC105257114, LOC105257144, LOC105257499, LOC105257767, LOC105257836, LOC105257906, LOC105257958, LOC105258015, LOC105258184, LOC105258233, LOC105258634, LOC105258698, LOC105258700, LOC105258716, LOC105258758, LOC105258941, LOC105258975, LOC105259221, LOC105259323"
"30","GO:0016020","membrane","over",0.0220787197623692,0.03709,0.02909,51,1375,292,10038,0.0115679349698346,"LOC105248445, LOC105248583, LOC105248632, LOC105248646, LOC105248718, LOC105248736, LOC105248906, LOC105249198, LOC105249433, LOC105249598, LOC105249946, LOC105250414, LOC105250748, LOC105250825, LOC105251277, LOC105251612, LOC105251653, LOC105251783, LOC105252126, LOC105252132, LOC105252301, LOC105252668, LOC105252843, LOC105253014, LOC105253951, LOC105254273, LOC105254415, LOC105254467, LOC105254666, LOC105255117, LOC105255351, LOC105255718, LOC105255760, LOC105255840, LOC105256068, LOC105256549, LOC105256578, LOC105256685, LOC105257044, LOC105257128, LOC105257404, LOC105257707, LOC105257841, LOC105258278, LOC105258294, LOC105258369, LOC105258490, LOC105258647, LOC105258693, LOC105259426, LOC112639557"
"31","GO:0006357","regulation of transcription by RNA polymerase II","over",0.0220787197623692,0.008,0.00408,11,1375,41,10038,0.0120152859196593,"LOC105248089, LOC105248427, LOC105249099, LOC105250915, LOC105251363, LOC105253602, LOC105255793, LOC105255830, LOC105256205, LOC105258127, LOC105259182"
"32","GO:0003729","mRNA binding","over",0.0220787197623692,0.00436,0.00159,6,1375,16,10038,0.0120742998700457,"LOC105247841, LOC105247848, LOC105248104, LOC105252127, LOC105253985, LOC105254506"
"33","GO:0004725","protein tyrosine phosphatase activity","over",0.0220787197623692,0.00436,0.00159,6,1375,16,10038,0.0120742998700457,"LOC105249654, LOC105251448, LOC105251561, LOC105252395, LOC105253930, LOC105258293"
"34","GO:0004888","transmembrane signaling receptor activity","over",0.0291615972234079,0.00509,0.00219,7,1375,22,10038,0.0168590483947827,"LOC105248416, LOC105248459, LOC105248902, LOC105249188, LOC105249189, LOC105249572, LOC105252098"
"35","GO:0005230","extracellular ligand-gated ion channel activity","over",0.0291615972234079,0.00509,0.00219,7,1375,22,10038,0.0168590483947827,"LOC105248416, LOC105248459, LOC105248902, LOC105249188, LOC105249189, LOC105249572, LOC105252098"
"36","GO:0034220","ion transmembrane transport","over",0.0352418463291981,0.00509,0.00229,7,1375,23,10038,0.0209248462579614,"LOC105248416, LOC105248459, LOC105248902, LOC105249188, LOC105249189, LOC105249572, LOC105252098"
"37","GO:0003924","GTPase activity","over",0.0573524797291206,0.01455,0.01066,20,1375,107,10038,0.0349491673349329,"LOC105248428, LOC105248632, LOC105248736, LOC105249192, LOC105250093, LOC105252106, LOC105253347, LOC105253525, LOC105253531, LOC105253555, LOC105255136, LOC105255386, LOC105255760, LOC105255840, LOC105255950, LOC105256241, LOC105257128, LOC105258071, LOC105258490, LOC105259283"
"38","GO:0005216","ion channel activity","over",0.0713782090742153,0.00436,0.00219,6,1375,22,10038,0.0465932867798834,"LOC105248445, LOC105255351, LOC105256578, LOC105256685, LOC105258278, LOC105258693"
"39","GO:0046983","protein dimerization activity","over",0.0713782090742153,0.00873,0.00588,12,1375,59,10038,0.0479572342217384,"LOC105252147, LOC105252673, LOC105254437, LOC105254664, LOC105255563, LOC105256556, LOC105257389, LOC105257493, LOC105258712, LOC105259388, LOC112638982, LOC112639954"
"40","GO:0003774","motor activity","over",0.084606356315596,0.00364,0.00179,5,1375,18,10038,0.0608108186018346,"LOC105248722, LOC105252926, LOC105253989, LOC105254872, LOC105255864"
"41","GO:0016459","myosin complex","over",0.084606356315596,0.00364,0.00179,5,1375,18,10038,0.0608108186018346,"LOC105248722, LOC105252926, LOC105253989, LOC105254872, LOC105255864"
"42","GO:0055085","transmembrane transport","over",0.0853997667952379,0.02327,0.02092,32,1375,210,10038,0.0627154537402529,"LOC105248006, LOC105248445, LOC105249023, LOC105249198, LOC105249471, LOC105249598, LOC105249726, LOC105249822, LOC105250825, LOC105251134, LOC105251400, LOC105251803, LOC105252126, LOC105252218, LOC105252843, LOC105253981, LOC105255031, LOC105255351, LOC105255729, LOC105256578, LOC105256685, LOC105257404, LOC105257456, LOC105258278, LOC105258294, LOC105258647, LOC105258693, LOC105258941, LOC105259221, LOC105259299, LOC105259426, LOC109610054"
"43","GO:0006811","ion transport","over",0.0923774824483348,0.00509,0.00309,7,1375,31,10038,0.0692831118362511,"LOC105248445, LOC105255351, LOC105256578, LOC105256685, LOC105258278, LOC105258693, LOC105258941"
"44","GO:0006470","protein dephosphorylation","over",0.0929403131925987,0.00436,0.00249,6,1375,25,10038,0.0711574272880834,"LOC105247762, LOC105249654, LOC105251561, LOC105252395, LOC105253930, LOC105258293"
"45","GO:0005525","GTP binding","over",0.105268884411299,0.01382,0.01215,19,1375,122,10038,0.0836189582781838,"LOC105248428, LOC105248632, LOC105248736, LOC105249192, LOC105249318, LOC105250093, LOC105253525, LOC105253531, LOC105253555, LOC105255136, LOC105255760, LOC105255840, LOC105255950, LOC105256241, LOC105256387, LOC105256451, LOC105257128, LOC105258071, LOC105258490"
"46","GO:0004842","ubiquitin-protein transferase activity","over",0.105268884411299,0.00509,0.00329,7,1375,33,10038,0.0838861422652541,"LOC105248520, LOC105250982, LOC105252062, LOC105252463, LOC105253369, LOC105253642, LOC105259084"
"47","GO:0046872","metal ion binding","over",0.108608297503532,0.00727,0.00548,10,1375,55,10038,0.0899527594696123,"LOC105248307, LOC105249539, LOC105250376, LOC105250982, LOC105256786, LOC105256868, LOC105256998, LOC105257276, LOC105258356, LOC105259418"
"48","GO:0016579","protein deubiquitination","over",0.123336550740229,0.00436,0.00289,6,1375,29,10038,0.105992348292384,"LOC105250838, LOC105257143, LOC105257495, LOC105257898, LOC105258317, LOC105259539"
"49","GO:0005096","GTPase activator activity","over",0.168925023457159,0.00364,0.00279,5,1375,28,10038,0.160229057096415,"LOC105248960, LOC105253321, LOC105253903, LOC105255900, LOC105259090"
"50","GO:0016787","hydrolase activity","over",0.168925023457159,0.00509,0.00498,7,1375,50,10038,0.160729157298976,"LOC105247912, LOC105248809, LOC105250191, LOC105251553, LOC105254040, LOC105257262, LOC105257877"
"51","GO:0016567","protein ubiquitination","over",0.170371425394709,0.00364,0.00289,5,1375,29,10038,0.167112023585073,"LOC105248522, LOC105253232, LOC105253369, LOC105253624, LOC105259084"
"52","GO:0004222","metalloendopeptidase activity","over",0.182205386526077,0.00364,0.00319,5,1375,32,10038,0.182205386526077,"LOC105250229, LOC105250414, LOC105251842, LOC105255467, LOC105257822"
"53","no_annot",NA,"under",2.58926168783032e-10,0.32,0.40018,440,1375,4017,10038,8.09144277446976e-12,NA
"54","GO:0055114","oxidation-reduction process","under",4.13547182595403e-07,0.00945,0.02969,13,1375,298,10038,4.52317230963722e-08,"LOC105247758, LOC105248237, LOC105248930, LOC105250272, LOC105250396, LOC105250811, LOC105251200, LOC105251910, LOC105253537, LOC105253546, LOC105254010, LOC105255753, LOC105259420"
"55","GO:0005975","carbohydrate metabolic process","under",0.0643716433796559,0.00364,0.00697,5,1375,70,10038,0.0402322771122849,"LOC105247989, LOC105249220, LOC105253066, LOC105254246, LOC105255117"
"56","GO:0003824","catalytic activity","under",0.0713782090742153,0.00436,0.00757,6,1375,76,10038,0.0477064292785409,"LOC105250447, LOC105252107, LOC105252459, LOC105253651, LOC105256789, LOC105257453"
"57","GO:0003723","RNA binding","under",0.0820914294617776,0.01018,0.01345,14,1375,135,10038,0.0564378577549721,"LOC105247792, LOC105248427, LOC105249625, LOC105250317, LOC105250703, LOC105251938, LOC105254015, LOC105254334, LOC105254869, LOC105255074, LOC105256294, LOC105257077, LOC105258486, LOC105258908"
"58","GO:0016491","oxidoreductase activity","under",0.108608297503532,0.00436,0.00648,6,1375,65,10038,0.0915428128125135,"LOC105250811, LOC105251910, LOC105253546, LOC105254010, LOC105255753, LOC105257435"
"59","GO:0006508","proteolysis","under",0.108608297503532,0.01091,0.01255,15,1375,126,10038,0.091638251018605,"LOC105248194, LOC105249312, LOC105250229, LOC105250414, LOC105251676, LOC105251842, LOC105253969, LOC105254464, LOC105255467, LOC105255623, LOC105256511, LOC105256715, LOC105257124, LOC105257822, LOC105257823"
"60","GO:0005887","integral component of plasma membrane","under",0.134284669964715,0.00364,0.00528,5,1375,53,10038,0.117499086219125,"LOC105249023, LOC105249096, LOC105251400, LOC105253713, LOC109610054"
"61","GO:0005737","cytoplasm","under",0.141523946109443,0.00436,0.00578,6,1375,58,10038,0.126044764503723,"LOC105248216, LOC105248586, LOC105251006, LOC105257245, LOC105257490, LOC105258442"
"62","GO:0022857","transmembrane transporter activity","under",0.156100947978904,0.00582,0.00648,8,1375,65,10038,0.141466484105881,"LOC105248006, LOC105249198, LOC105249598, LOC105252126, LOC105252218, LOC105252843, LOC105257404, LOC105259221"
"63","GO:0005576","extracellular region","under",0.168925023457159,0.00436,0.00498,6,1375,50,10038,0.161006662982605,"LOC105248345, LOC105248623, LOC105249853, LOC105253169, LOC105256257, LOC105256941"
