cflo,mmus,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_011250474.1,NP_035941.2,0,752,0,752
XP_011250475.1,NP_036049.2,2.00E-65,211,1.00E-67,216
XP_011250476.1,NP_001300625.1,1.00E-93,273,3.00E-94,273
XP_011250476.1,NP_001349614.1,5.00E-96,279,1.00E-96,279
XP_011250476.1,NP_033484.3,5.00E-96,279,1.00E-96,279
XP_011250476.1,NP_062642.1,3.00E-98,285,9.00E-99,285
XP_011250476.1,XP_011247269.1,5.00E-96,279,1.00E-96,279
XP_011250476.1,XP_030101785.1,5.00E-96,279,1.00E-96,279
XP_011250478.1,NP_898972.1,2.00E-94,323,3.00E-95,323
XP_011250479.1,NP_001258970.1,0,727,0,727
XP_011250479.1,NP_031418.1,0,730,0,730
XP_011250479.1,NP_031419.1,0,752,0,752
XP_011250479.1,NP_033736.1,0,727,0,727
XP_011250479.1,NP_033738.1,0,729,0,729
XP_011250479.1,NP_033739.1,0,747,0,747
XP_011250479.1,NP_033740.2,0,730,0,730
XP_011250479.1,NP_780706.1,0,722,0,722
XP_011250479.1,XP_030109917.1,0,752,0,752
XP_011250481.1,NP_001033099.1,0,830,0,857
XP_011250481.1,NP_064388.2,0,832,0,860
XP_011250481.1,NP_064389.2,0,800,0,827
XP_011250481.1,XP_017169759.1,0,823,0,851
XP_011250481.1,XP_017169760.1,0,820,0,848
XP_011250482.1,NP_001033099.1,0,841,0,856
XP_011250482.1,NP_064388.2,0,840,0,856
XP_011250482.1,NP_064389.2,0,805,0,825
XP_011250482.1,XP_017169759.1,0,826,0,841
XP_011250482.1,XP_017169760.1,0,826,0,842
XP_011250487.1,NP_898972.1,2.00E-94,323,3.00E-95,323
XP_011250488.1,NP_932097.1,6.00E-21,83.2,2.00E-21,83.2
XP_011250489.1,NP_001344841.1,2.00E-74,228,6.00E-75,228
XP_011250489.1,NP_001344842.1,2.00E-74,228,6.00E-75,228
XP_011250489.1,NP_789801.1,2.00E-74,228,6.00E-75,228
XP_011250489.1,XP_006511423.1,2.00E-74,228,6.00E-75,228
XP_011250489.1,XP_006511424.1,2.00E-74,228,6.00E-75,228
XP_011250489.1,XP_006511426.1,2.00E-74,228,6.00E-75,228
XP_011250489.1,XP_030100362.1,2.00E-74,228,6.00E-75,228
XP_011250490.1,NP_077235.2,6.00E-29,114,2.00E-29,114
XP_011250491.1,NP_898972.1,2.00E-94,323,3.00E-95,323
XP_011250495.1,NP_064679.2,2.00E-58,197,6.00E-59,197
XP_011250495.1,XP_006499654.1,2.00E-58,197,6.00E-59,197
XP_011250495.1,XP_011237873.1,2.00E-58,197,6.00E-59,197
XP_011250495.1,XP_011237874.1,2.00E-58,197,6.00E-59,197
XP_011250495.1,XP_011237875.1,2.00E-58,197,6.00E-59,197
XP_011250495.1,XP_017174164.1,2.00E-58,197,6.00E-59,197
XP_011250498.1,NP_033811.1,4.00E-108,313,1.00E-108,313
XP_011250498.1,NP_033812.3,5.00E-108,313,1.00E-108,313
XP_011250499.1,NP_033811.1,4.00E-108,313,1.00E-108,313
XP_011250499.1,NP_033812.3,5.00E-108,313,1.00E-108,313
XP_011250503.1,NP_080309.2,1.00E-58,191,3.00E-61,196
XP_011250504.1,NP_001299835.1,2.00E-136,406,2.00E-140,415
XP_011250504.1,NP_001299836.1,6.00E-137,407,9.00E-142,418
XP_011250504.1,NP_032287.2,2.00E-136,407,3.00E-140,415
XP_011250504.1,NP_038948.1,2.00E-137,407,3.00E-141,416
XP_011250504.1,XP_006498850.1,5.00E-137,408,1.00E-141,418
XP_011250504.1,XP_006498851.1,1.00E-136,406,2.00E-140,415
XP_011250504.1,XP_006530135.1,4.00E-137,408,7.00E-141,416
XP_011250512.1,NP_001299835.1,3.00E-138,410,6.00E-142,419
XP_011250512.1,NP_001299836.1,1.00E-138,411,1.00E-143,422
XP_011250512.1,NP_032287.2,3.00E-138,411,5.00E-142,419
XP_011250512.1,NP_038948.1,8.00E-139,410,9.00E-143,419
XP_011250512.1,XP_006498850.1,8.00E-139,412,1.00E-143,423
XP_011250512.1,XP_006498851.1,3.00E-138,410,3.00E-142,419
XP_011250512.1,XP_006530135.1,1.00E-138,412,2.00E-142,420
XP_011250513.1,NP_035306.2,5.00E-21,99.8,7.00E-21,98.2
XP_011250513.1,NP_776110.3,3.00E-20,97.4,1.00E-20,97.1
XP_011250513.1,XP_006510161.1,6.00E-21,99.4,1.00E-20,97.4
XP_011250513.1,XP_006510162.1,4.00E-21,99.4,3.00E-21,98.6
XP_011250520.1,NP_001299835.1,2.00E-136,406,3.00E-140,414
XP_011250520.1,NP_001299836.1,6.00E-137,407,4.00E-142,419
XP_011250520.1,NP_032287.2,2.00E-136,407,3.00E-140,415
XP_011250520.1,NP_038948.1,1.00E-137,407,2.00E-141,416
XP_011250520.1,XP_006498850.1,4.00E-137,408,5.00E-142,419
XP_011250520.1,XP_006498851.1,1.00E-136,406,3.00E-140,414
XP_011250520.1,XP_006530135.1,4.00E-137,408,5.00E-141,417
XP_011250523.1,NP_001242984.1,7.00E-20,87.8,1.00E-28,111
XP_011250523.1,NP_653128.2,7.00E-20,87.8,9.00E-29,111
XP_011250524.1,NP_079814.1,7.00E-62,198,2.00E-62,197
XP_011250525.1,NP_001003919.1,0,626,0,624
XP_011250525.1,NP_001335221.1,0,624,0,623
XP_011250525.1,XP_006524472.1,0,624,0,623
XP_011250527.1,NP_001299835.1,9.00E-137,406,1.00E-140,414
XP_011250527.1,NP_001299836.1,3.00E-137,407,4.00E-142,418
XP_011250527.1,NP_032287.2,7.00E-137,407,1.00E-140,415
XP_011250527.1,NP_038948.1,1.00E-137,407,1.00E-141,416
XP_011250527.1,XP_006498850.1,3.00E-137,407,4.00E-142,419
XP_011250527.1,XP_006498851.1,8.00E-137,406,1.00E-140,415
XP_011250527.1,XP_006530135.1,2.00E-137,408,3.00E-141,416
XP_011250528.1,NP_001344244.1,2.00E-100,323,4.00E-103,328
XP_011250528.1,NP_598727.1,2.00E-100,323,4.00E-103,328
XP_011250529.1,NP_663471.1,4.00E-116,364,5.00E-121,375
XP_011250529.1,XP_006527004.1,2.00E-115,363,2.00E-120,375
XP_011250529.1,XP_006527005.1,4.00E-116,364,5.00E-121,375
XP_011250529.1,XP_006527006.1,4.00E-116,364,5.00E-121,375
XP_011250529.1,XP_006527007.1,4.00E-116,364,5.00E-121,375
XP_011250529.1,XP_011245525.1,1.00E-114,360,9.00E-120,372
XP_011250537.1,NP_001078964.1,0,2137,0,2126
XP_011250537.1,XP_006500546.1,0,2138,0,2126
XP_011250537.1,XP_006500547.1,0,2130,0,2121
XP_011250538.1,NP_084474.1,2.00E-38,135,7.00E-39,135
XP_011250539.1,NP_001348503.1,2.00E-80,257,3.00E-80,256
XP_011250539.1,NP_001348504.1,2.00E-80,257,3.00E-80,256
XP_011250540.1,NP_001348503.1,2.00E-80,257,2.00E-80,256
XP_011250540.1,NP_001348504.1,2.00E-80,257,2.00E-80,256
XP_011250541.2,NP_659042.1,5.00E-99,304,1.00E-99,304
XP_011250541.2,XP_006512081.1,4.00E-99,303,8.00E-100,303
XP_011250541.2,XP_006512082.1,5.00E-99,303,1.00E-99,303
XP_011250546.1,NP_080286.2,9.00E-56,182,5.00E-60,192
XP_011250547.1,NP_001182562.1,0,905,0,898
XP_011250548.1,NP_001182562.1,0,909,0,900
XP_011250555.1,NP_079574.2,3.00E-84,279,2.00E-84,279
XP_011250555.1,XP_006507948.1,7.00E-84,278,4.00E-84,278
XP_011250555.1,XP_017177773.1,1.00E-84,280,6.00E-85,280
XP_011250560.1,NP_001034298.2,3.00E-44,166,4.00E-45,166
XP_011250560.1,NP_001352351.1,3.00E-44,166,4.00E-45,166
XP_011250560.1,NP_001358277.1,3.00E-44,166,4.00E-45,166
XP_011250560.1,NP_001358278.1,3.00E-44,166,4.00E-45,166
XP_011250562.1,NP_001034298.2,3.00E-44,166,4.00E-45,166
XP_011250562.1,NP_001352351.1,3.00E-44,166,4.00E-45,166
XP_011250562.1,NP_001358277.1,3.00E-44,166,4.00E-45,166
XP_011250562.1,NP_001358278.1,3.00E-44,166,4.00E-45,166
XP_011250570.1,NP_034818.1,1.00E-48,167,4.00E-66,212
XP_011250570.1,XP_006532404.1,1.00E-48,167,4.00E-66,212
XP_011250579.1,NP_001140159.1,0,541,0,557
XP_011250579.1,NP_001280575.1,0,540,0,556
XP_011250579.1,NP_001280636.1,0,552,0,555
XP_011250579.1,NP_032870.2,0,541,0,556
XP_011250579.1,NP_032873.2,0,552,0,554
XP_011250579.1,XP_017174974.1,0,552,0,554
XP_011250580.1,NP_001140159.1,0,540,0,555
XP_011250580.1,NP_001280575.1,1.00E-180,539,0,554
XP_011250580.1,NP_001280636.1,0,551,0,553
XP_011250580.1,NP_032870.2,0,540,0,555
XP_011250580.1,NP_032873.2,0,551,0,553
XP_011250580.1,XP_017174974.1,0,551,0,553
XP_011250589.2,NP_079693.1,2.00E-43,148,6.00E-44,148
XP_011250591.1,NP_001157720.1,1.00E-89,273,8.00E-78,241
XP_011250591.1,NP_001157723.1,1.00E-85,263,1.00E-73,231
XP_011250591.1,NP_001157727.1,1.00E-86,265,1.00E-74,233
XP_011250591.1,NP_001280677.2,1.00E-86,265,9.00E-78,241
XP_011250591.1,NP_077745.2,6.00E-87,266,1.00E-74,233
XP_011250591.1,XP_006511103.1,2.00E-84,260,3.00E-72,227
XP_011250592.1,NP_001157720.1,1.00E-91,278,1.00E-79,246
XP_011250592.1,NP_001157723.1,7.00E-88,269,9.00E-76,236
XP_011250592.1,NP_001280677.2,4.00E-90,275,2.00E-81,251
XP_011250593.1,NP_077745.2,9.00E-83,256,7.00E-71,224
XP_011250594.1,NP_077745.2,1.00E-82,255,1.00E-70,223
XP_011250595.1,NP_001157720.1,4.00E-90,274,3.00E-78,243
XP_011250595.1,NP_001157723.1,1.00E-86,265,3.00E-74,232
XP_011250595.1,NP_001157727.1,6.00E-88,268,6.00E-76,236
XP_011250595.1,NP_001280677.2,3.00E-88,270,7.00E-80,247
XP_011250595.1,NP_077745.2,1.00E-86,265,1.00E-74,233
XP_011250596.1,NP_001157727.1,3.00E-84,259,2.00E-72,228
XP_011250596.1,NP_077745.2,8.00E-83,256,6.00E-71,224
XP_011250597.1,NP_001157727.1,4.00E-84,259,2.00E-72,228
XP_011250597.1,NP_077745.2,1.00E-82,255,6.00E-71,224
XP_011250598.1,NP_001157726.1,7.00E-73,228,8.00E-65,206
XP_011250598.1,NP_001240669.1,3.00E-73,229,9.00E-65,205
XP_011250598.1,NP_001258693.1,9.00E-72,225,1.00E-63,202
XP_011250598.1,NP_001280678.1,4.00E-75,233,5.00E-67,211
XP_011250598.1,NP_001344510.1,7.00E-75,233,9.00E-67,211
XP_011250598.1,XP_006501898.1,7.00E-72,225,9.00E-64,203
XP_011250598.1,XP_006501899.1,6.00E-75,233,8.00E-67,211
XP_011250598.1,XP_006501902.1,4.00E-72,226,9.00E-64,203
XP_011250598.1,XP_017175166.1,9.00E-72,225,1.00E-63,202
XP_011250598.1,XP_030100101.1,2.00E-71,226,5.00E-63,204
XP_011250598.1,XP_030108602.1,2.00E-72,226,3.00E-64,204
XP_011250615.1,NP_001185795.1,0,687,0,650
XP_011250615.1,NP_001185796.1,0,658,0,644
XP_011250615.1,NP_031861.2,0,687,0,650
XP_011250615.1,XP_006505548.1,0,688,0,653
XP_011250615.1,XP_006505549.1,0,680,0,645
XP_011250615.1,XP_006505550.1,0,669,0,646
XP_011250615.1,XP_006505551.1,0,687,0,650
XP_011250615.1,XP_006505552.1,0,657,0,641
XP_011250615.1,XP_006505553.1,0,680,0,646
XP_011250615.1,XP_006505554.1,0,658,0,644
XP_011250615.1,XP_006505555.1,0,670,0,647
XP_011250615.1,XP_006505556.1,0,657,0,640
XP_011250615.1,XP_006505557.1,0,657,0,640
XP_011250615.1,XP_006505559.1,0,676,0,640
XP_011250615.1,XP_017176868.1,0,669,0,648
XP_011250615.1,XP_030110995.1,0,687,0,650
XP_011250615.1,XP_030110996.1,0,669,0,647
XP_011250615.1,XP_030110997.1,0,658,0,644
XP_011250616.1,NP_001185795.1,0,687,0,650
XP_011250616.1,NP_001185796.1,0,658,0,644
XP_011250616.1,NP_031861.2,0,687,0,650
XP_011250616.1,XP_006505548.1,0,688,0,653
XP_011250616.1,XP_006505549.1,0,680,0,645
XP_011250616.1,XP_006505550.1,0,669,0,646
XP_011250616.1,XP_006505551.1,0,687,0,650
XP_011250616.1,XP_006505552.1,0,657,0,641
XP_011250616.1,XP_006505553.1,0,680,0,646
XP_011250616.1,XP_006505554.1,0,658,0,644
XP_011250616.1,XP_006505555.1,0,670,0,647
XP_011250616.1,XP_006505556.1,0,657,0,640
XP_011250616.1,XP_006505557.1,0,657,0,640
XP_011250616.1,XP_006505559.1,0,676,0,640
XP_011250616.1,XP_017176868.1,0,669,0,648
XP_011250616.1,XP_030110995.1,0,687,0,650
XP_011250616.1,XP_030110996.1,0,669,0,647
XP_011250616.1,XP_030110997.1,0,658,0,644
XP_011250618.1,NP_001185795.1,0,691,0,654
XP_011250618.1,NP_001185796.1,0,686,0,650
XP_011250618.1,NP_031861.2,0,692,0,655
XP_011250618.1,XP_006505548.1,0,691,0,657
XP_011250618.1,XP_006505549.1,0,689,0,651
XP_011250618.1,XP_006505550.1,0,691,0,653
XP_011250618.1,XP_006505551.1,0,691,0,654
XP_011250618.1,XP_006505552.1,0,687,0,646
XP_011250618.1,XP_006505553.1,0,689,0,649
XP_011250618.1,XP_006505554.1,0,686,0,650
XP_011250618.1,XP_006505555.1,0,692,0,652
XP_011250618.1,XP_006505556.1,0,686,0,647
XP_011250618.1,XP_006505557.1,0,686,0,647
XP_011250618.1,XP_006505559.1,0,681,0,644
XP_011250618.1,XP_017176868.1,0,691,0,655
XP_011250618.1,XP_030110995.1,0,691,0,654
XP_011250618.1,XP_030110996.1,0,691,0,654
XP_011250618.1,XP_030110997.1,0,686,0,650
XP_011250619.1,NP_001185795.1,0,694,0,657
XP_011250619.1,NP_001185796.1,0,684,0,649
XP_011250619.1,NP_031861.2,0,693,0,657
XP_011250619.1,XP_006505548.1,0,693,0,659
XP_011250619.1,XP_006505549.1,0,689,0,652
XP_011250619.1,XP_006505550.1,0,691,0,651
XP_011250619.1,XP_006505551.1,0,694,0,657
XP_011250619.1,XP_006505552.1,0,684,0,647
XP_011250619.1,XP_006505553.1,0,689,0,652
XP_011250619.1,XP_006505554.1,0,683,0,650
XP_011250619.1,XP_006505555.1,0,690,0,651
XP_011250619.1,XP_006505556.1,0,684,0,646
XP_011250619.1,XP_006505557.1,0,684,0,646
XP_011250619.1,XP_006505559.1,0,682,0,645
XP_011250619.1,XP_017176868.1,0,690,0,653
XP_011250619.1,XP_030110995.1,0,694,0,657
XP_011250619.1,XP_030110996.1,0,690,0,654
XP_011250619.1,XP_030110997.1,0,684,0,649
XP_011250620.1,NP_001185795.1,0,689,0,650
XP_011250620.1,NP_001185796.1,0,687,0,653
XP_011250620.1,NP_031861.2,0,689,0,652
XP_011250620.1,XP_006505548.1,0,689,0,655
XP_011250620.1,XP_006505549.1,0,688,0,654
XP_011250620.1,XP_006505550.1,0,690,0,654
XP_011250620.1,XP_006505551.1,0,689,0,650
XP_011250620.1,XP_006505552.1,0,687,0,650
XP_011250620.1,XP_006505553.1,0,689,0,652
XP_011250620.1,XP_006505554.1,0,687,0,653
XP_011250620.1,XP_006505555.1,0,691,0,653
XP_011250620.1,XP_006505556.1,0,686,0,650
XP_011250620.1,XP_006505557.1,0,686,0,650
XP_011250620.1,XP_006505559.1,0,677,0,641
XP_011250620.1,XP_017176868.1,0,691,0,655
XP_011250620.1,XP_030110995.1,0,689,0,650
XP_011250620.1,XP_030110996.1,0,691,0,657
XP_011250620.1,XP_030110997.1,0,687,0,653
XP_011250622.1,NP_001277654.1,7.00E-123,363,2.00E-123,363
XP_011250622.1,NP_001342127.1,8.00E-121,358,3.00E-121,358
XP_011250622.1,NP_001342128.1,3.00E-119,354,1.00E-119,354
XP_011250622.1,NP_666266.1,2.00E-124,367,5.00E-125,367
XP_011250625.1,NP_780648.1,2.00E-149,451,5.00E-150,451
XP_011250627.1,NP_001344427.1,0,579,0,573
XP_011250627.1,NP_001344428.1,0,577,0,571
XP_011250627.1,NP_001344429.1,0,593,0,587
XP_011250627.1,NP_666199.1,0,592,0,586
XP_011250627.1,XP_006526446.1,0,580,0,573
XP_011250627.1,XP_006526449.1,0,578,0,573
XP_011250627.1,XP_011245350.1,0,579,0,573
XP_011250627.1,XP_030106505.1,0,593,0,587
XP_011250627.1,XP_030106506.1,0,592,0,587
XP_011250628.2,NP_001344427.1,0,581,0,574
XP_011250628.2,NP_001344428.1,0,578,0,572
XP_011250628.2,NP_001344429.1,0,595,0,588
XP_011250628.2,NP_666199.1,0,592,0,587
XP_011250628.2,XP_006526446.1,0,581,0,574
XP_011250628.2,XP_006526449.1,0,578,0,573
XP_011250628.2,XP_011245350.1,0,581,0,574
XP_011250628.2,XP_030106505.1,0,595,0,588
XP_011250628.2,XP_030106506.1,0,593,0,587
XP_011250629.1,NP_038531.1,6.00E-73,241,2.00E-73,241
XP_011250630.1,NP_038531.1,7.00E-73,240,1.00E-73,241
XP_011250635.1,NP_035846.1,3.00E-75,267,2.00E-72,258
XP_011250638.1,NP_001123661.1,6.00E-20,94,2.00E-20,94
XP_011250638.1,NP_001123663.1,4.00E-20,94.4,1.00E-20,94.4
XP_011250638.1,XP_006505083.1,4.00E-20,94.7,1.00E-20,94.7
XP_011250638.1,XP_006505085.1,5.00E-20,94.4,1.00E-20,94.4
XP_011250638.1,XP_030111138.1,5.00E-20,94.4,1.00E-20,94.4
XP_011250638.1,XP_030111140.1,5.00E-20,94,1.00E-20,94
XP_011250638.1,XP_030111141.1,2.00E-19,91.3,5.00E-20,91.3
XP_011250639.1,NP_001123660.1,5.00E-23,102,2.00E-23,102
XP_011250639.1,NP_001123662.1,5.00E-23,102,1.00E-23,102
XP_011250639.1,NP_035490.3,4.00E-23,102,1.00E-23,102
XP_011250639.1,XP_006505082.1,5.00E-23,102,2.00E-23,102
XP_011250639.1,XP_006505086.1,6.00E-23,102,2.00E-23,102
XP_011250639.1,XP_006505087.1,2.00E-22,99.8,5.00E-23,99.8
XP_011250639.1,XP_030111137.1,4.00E-23,103,1.00E-23,103
XP_011250640.1,NP_001123661.1,2.00E-20,94.7,8.00E-21,94.7
XP_011250640.1,NP_001123663.1,2.00E-20,94.4,7.00E-21,94.4
XP_011250640.1,XP_006505083.1,2.00E-20,95.1,7.00E-21,95.1
XP_011250640.1,XP_006505085.1,2.00E-20,94.7,7.00E-21,94.7
XP_011250640.1,XP_030111138.1,3.00E-20,94.7,9.00E-21,94.7
XP_011250640.1,XP_030111140.1,2.00E-20,95.1,5.00E-21,95.1
XP_011250640.1,XP_030111141.1,9.00E-20,92,2.00E-20,92
XP_011250643.1,NP_001123661.1,2.00E-20,94.7,8.00E-21,94.7
XP_011250643.1,NP_001123663.1,2.00E-20,94.4,7.00E-21,94.4
XP_011250643.1,XP_006505083.1,2.00E-20,95.1,7.00E-21,95.1
XP_011250643.1,XP_006505085.1,2.00E-20,94.7,7.00E-21,94.7
XP_011250643.1,XP_030111138.1,3.00E-20,94.7,9.00E-21,94.7
XP_011250643.1,XP_030111140.1,2.00E-20,95.1,5.00E-21,95.1
XP_011250643.1,XP_030111141.1,9.00E-20,92,2.00E-20,92
XP_011250644.1,NP_001123661.1,1.00E-20,95.1,4.00E-21,95.1
XP_011250644.1,NP_001123663.1,1.00E-20,94.7,4.00E-21,94.7
XP_011250644.1,XP_006505083.1,1.00E-20,95.1,5.00E-21,95.1
XP_011250644.1,XP_006505085.1,1.00E-20,95.1,5.00E-21,95.1
XP_011250644.1,XP_030111138.1,1.00E-20,95.1,5.00E-21,95.1
XP_011250644.1,XP_030111140.1,1.00E-20,94.7,4.00E-21,94.7
XP_011250644.1,XP_030111141.1,6.00E-20,92,2.00E-20,92
XP_011250656.1,NP_780336.1,5.00E-76,245,8.00E-82,259
XP_011250662.1,NP_056589.1,2.00E-142,422,1.00E-143,424
XP_011250662.1,NP_080460.2,8.00E-149,438,2.00E-149,438
XP_011250662.1,XP_006516793.1,2.00E-143,426,7.00E-144,426
XP_011250662.1,XP_006516794.1,2.00E-148,438,5.00E-149,438
XP_011250662.1,XP_006516795.1,3.00E-143,424,7.00E-144,424
XP_011250669.1,NP_035078.1,2.00E-129,379,2.00E-128,375
XP_011250670.1,NP_001229297.1,1.00E-47,176,5.00E-48,176
XP_011250670.1,NP_031998.3,1.00E-47,176,3.00E-48,176
XP_011250675.1,NP_001335029.1,0,998,0,979
XP_011250675.1,NP_001335030.1,0,998,0,979
XP_011250675.1,NP_001335031.1,0,998,0,979
XP_011250675.1,NP_001335032.1,0,998,0,979
XP_011250675.1,NP_032332.2,0,998,0,979
XP_011250675.1,NP_034941.2,0,1021,0,1006
XP_011250675.1,NP_072087.2,0,994,0,969
XP_011250675.1,NP_112463.2,0,988,0,963
XP_011250675.1,XP_006502433.1,0,988,0,963
XP_011250675.1,XP_006502434.1,0,988,0,963
XP_011250675.1,XP_006525731.1,0,998,0,979
XP_011250675.1,XP_030106200.1,0,998,0,979
XP_011250675.1,XP_030106201.1,0,998,0,979
XP_011250675.1,XP_030106202.1,0,998,0,979
XP_011250676.1,NP_001335029.1,0,998,0,979
XP_011250676.1,NP_001335030.1,0,998,0,979
XP_011250676.1,NP_001335031.1,0,998,0,979
XP_011250676.1,NP_001335032.1,0,998,0,979
XP_011250676.1,NP_032332.2,0,998,0,979
XP_011250676.1,NP_034941.2,0,1021,0,1006
XP_011250676.1,NP_072087.2,0,994,0,969
XP_011250676.1,NP_112463.2,0,988,0,963
XP_011250676.1,XP_006502433.1,0,988,0,963
XP_011250676.1,XP_006502434.1,0,988,0,963
XP_011250676.1,XP_006525731.1,0,998,0,979
XP_011250676.1,XP_030106200.1,0,998,0,979
XP_011250676.1,XP_030106201.1,0,998,0,979
XP_011250676.1,XP_030106202.1,0,998,0,979
XP_011250680.1,NP_001028431.2,2.00E-85,270,4.00E-88,275
XP_011250680.1,XP_006513531.1,6.00E-86,270,7.00E-89,275
XP_011250680.1,XP_030100872.1,6.00E-86,270,7.00E-89,275
XP_011250681.1,NP_001351115.1,3.00E-27,101,8.00E-28,101
XP_011250681.1,NP_663387.3,3.00E-27,101,8.00E-28,101
XP_011250682.1,NP_081522.1,2.00E-42,137,3.00E-48,151
XP_011250683.1,NP_081479.1,1.00E-18,85.1,5.00E-31,119
XP_011250692.1,NP_001263384.1,9.00E-94,296,9.00E-100,311
XP_011250692.1,NP_085033.2,2.00E-93,296,1.00E-93,296
XP_011250692.1,NP_473428.1,2.00E-92,295,3.00E-99,311
XP_011250692.1,XP_006496642.1,2.00E-93,296,1.00E-93,296
XP_011250692.1,XP_006496643.1,2.00E-93,296,1.00E-93,296
XP_011250692.1,XP_011237017.1,2.00E-93,296,1.00E-93,296
XP_011250692.1,XP_011237018.1,2.00E-93,296,1.00E-93,296
XP_011250693.1,NP_543120.1,3.00E-56,198,1.00E-53,189
XP_011250693.1,XP_006496689.1,3.00E-56,198,1.00E-53,189
XP_011250693.1,XP_030099556.1,3.00E-56,198,1.00E-53,189
XP_011250695.1,NP_032997.3,6.00E-132,386,2.00E-132,386
