cflo,sinv,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_011250683.1,XP_011161263.1,3.00E-136,392,2.00E-144,413
XP_011250683.1,XP_025990906.1,3.00E-136,392,2.00E-144,413
XP_011250689.1,XP_011176245.1,0,2427,0,2452
XP_011250689.1,XP_011176246.1,0,2412,0,2435
XP_011250689.1,XP_025994133.1,0,2427,0,2452
XP_011250690.1,XP_011176245.1,0,2412,0,2435
XP_011250690.1,XP_011176246.1,0,2410,0,2436
XP_011250690.1,XP_025994133.1,0,2412,0,2435
XP_011250692.1,XP_011165011.1,0,673,0,671
XP_011250692.1,XP_011165012.1,0,673,0,671
XP_011250693.1,XP_011165014.1,0,700,0,701
XP_011250693.1,XP_011165015.1,0,702,0,702
XP_011250695.1,XP_011165227.1,0,672,0,672
XP_011250697.1,XP_011165124.1,8.00E-88,258,9.00E-88,258
XP_011250698.1,XP_011165123.1,1.00E-41,151,2.00E-38,142
XP_011250699.2,XP_011165121.1,4.00E-135,385,7.00E-141,400
XP_011250702.1,XP_025987471.1,0,980,0,979
XP_011250702.1,XP_025987472.1,0,980,0,979
XP_011250702.1,XP_025987473.1,0,981,0,980
XP_011250703.1,XP_025987471.1,0,984,0,983
XP_011250703.1,XP_025987472.1,0,984,0,983
XP_011250703.1,XP_025987473.1,0,985,0,984
XP_011250704.1,XP_011162611.1,0,914,0,955
XP_011250705.2,XP_011162609.1,0,600,0,599
XP_011250709.2,XP_011162046.1,0,1397,0,1397
XP_011250710.1,XP_011162047.1,0,714,0,715
XP_011250711.1,XP_011162052.1,0,1489,0,1484
XP_011250711.1,XP_011162053.1,0,1489,0,1484
XP_011250712.1,XP_011162052.1,0,1488,0,1482
XP_011250712.1,XP_011162053.1,0,1488,0,1482
XP_011250714.1,XP_025987003.1,0,1194,0,1174
XP_011250714.1,XP_025987004.1,0,1194,0,1174
XP_011250715.1,XP_025987003.1,0,1194,0,1174
XP_011250715.1,XP_025987004.1,0,1194,0,1174
XP_011250716.1,XP_011162055.1,0,614,0,621
XP_011250716.1,XP_011162056.1,0,615,0,620
XP_011250716.1,XP_025986971.1,0,615,0,620
XP_011250717.1,XP_011162055.1,0,614,0,621
XP_011250717.1,XP_011162056.1,0,615,0,620
XP_011250717.1,XP_025986971.1,0,615,0,620
XP_011250718.1,XP_011162058.1,0,673,0,658
XP_011250721.1,XP_011162059.1,0,1235,0,1235
XP_011250723.1,XP_011162059.1,0,1204,0,1204
XP_011250726.1,XP_025990966.1,0,1020,0,1020
XP_011250730.1,XP_025990985.1,8.00E-72,214,6.00E-70,209
XP_011250731.1,XP_025985893.1,5.00E-166,469,5.00E-170,480
XP_011250731.1,XP_025985894.1,3.00E-170,480,3.00E-174,490
XP_011250731.1,XP_025990781.1,5.00E-175,492,5.00E-179,502
XP_011250734.1,XP_011166703.1,2.00E-89,275,2.00E-89,275
XP_011250735.1,XP_011166700.1,4.00E-82,256,4.00E-82,256
XP_011250735.1,XP_011166701.1,7.00E-81,252,8.00E-81,252
XP_011250735.1,XP_011166704.1,1.00E-82,257,1.00E-82,257
XP_011250736.1,XP_011166710.1,0,1546,0,1546
XP_011250736.1,XP_025986014.1,0,1547,0,1547
XP_011250736.1,XP_025986015.1,0,1537,0,1537
XP_011250736.1,XP_025986017.1,0,1546,0,1546
XP_011250736.1,XP_025986018.1,0,1496,0,1496
XP_011250736.1,XP_025986019.1,0,1497,0,1497
XP_011250737.1,XP_011166710.1,0,1546,0,1546
XP_011250737.1,XP_025986014.1,0,1547,0,1547
XP_011250737.1,XP_025986015.1,0,1537,0,1537
XP_011250737.1,XP_025986017.1,0,1546,0,1546
XP_011250737.1,XP_025986018.1,0,1496,0,1496
XP_011250737.1,XP_025986019.1,0,1497,0,1497
XP_011250738.1,XP_011166710.1,0,1536,0,1536
XP_011250738.1,XP_025986014.1,0,1537,0,1537
XP_011250738.1,XP_025986015.1,0,1542,0,1542
XP_011250738.1,XP_025986017.1,0,1536,0,1536
XP_011250738.1,XP_025986018.1,0,1488,0,1488
XP_011250738.1,XP_025986019.1,0,1488,0,1488
XP_011250739.1,XP_011166710.1,0,1495,0,1495
XP_011250739.1,XP_025986014.1,0,1498,0,1498
XP_011250739.1,XP_025986015.1,0,1488,0,1488
XP_011250739.1,XP_025986017.1,0,1495,0,1495
XP_011250739.1,XP_025986019.1,0,1508,0,1508
XP_011250747.1,XP_025985827.1,2.00E-156,483,4.00E-151,469
XP_011250749.1,XP_011166713.1,5.00E-172,501,2.00E-176,513
XP_011250749.1,XP_011166714.1,5.00E-172,501,2.00E-176,513
XP_011250751.2,XP_011166717.1,0,685,0,685
XP_011250752.2,XP_011166717.1,0,691,0,691
XP_011250754.1,XP_025995701.1,0,794,0,791
XP_011250755.2,XP_025990969.1,0,1011,0,1001
XP_011250755.2,XP_025990970.1,0,1011,0,1001
XP_011250755.2,XP_025990971.1,0,1011,0,1001
XP_011250755.2,XP_025990972.1,0,1011,0,1001
XP_011250755.2,XP_025990973.1,0,970,0,961
XP_011250755.2,XP_025990974.1,0,971,0,961
XP_011250761.1,XP_011160792.1,0,1206,0,1206
XP_011250761.1,XP_025997187.1,0,1206,0,1206
XP_011250763.1,XP_025997385.1,0,971,0,971
XP_011250765.1,XP_011170653.1,5.00E-162,450,6.00E-162,450
XP_011250765.1,XP_011170654.1,5.00E-162,450,6.00E-162,450
XP_011250765.1,XP_011170655.1,5.00E-162,450,6.00E-162,450
XP_011250765.1,XP_011170656.1,5.00E-162,450,6.00E-162,450
XP_011250765.1,XP_011170657.1,5.00E-162,450,6.00E-162,450
XP_011250767.2,XP_025997158.1,0,1243,0,1207
XP_011250768.1,XP_011175281.1,9.00E-153,427,1.00E-152,427
XP_011250769.1,XP_011164983.1,3.00E-118,345,2.00E-106,315
XP_011250770.1,XP_011156433.2,0,1247,0,1247
XP_011250770.1,XP_011156434.2,0,1247,0,1247
XP_011250770.1,XP_025995723.1,0,1241,0,1240
XP_011250770.1,XP_025995724.1,0,1235,0,1236
XP_011250770.1,XP_025995725.1,0,1244,0,1245
XP_011250771.1,XP_011156433.2,0,1278,0,1280
XP_011250771.1,XP_011156434.2,0,1278,0,1280
XP_011250771.1,XP_025995723.1,0,1271,0,1273
XP_011250771.1,XP_025995724.1,0,1268,0,1269
XP_011250771.1,XP_025995725.1,0,1277,0,1277
XP_011250774.1,XP_011170653.1,5.00E-162,450,6.00E-162,450
XP_011250774.1,XP_011170654.1,5.00E-162,450,6.00E-162,450
XP_011250774.1,XP_011170655.1,5.00E-162,450,6.00E-162,450
XP_011250774.1,XP_011170656.1,5.00E-162,450,6.00E-162,450
XP_011250774.1,XP_011170657.1,5.00E-162,450,6.00E-162,450
XP_011250777.1,XP_011170252.2,4.00E-109,315,2.00E-115,332
XP_011250777.1,XP_025996242.1,3.00E-108,316,2.00E-114,332
XP_011250777.1,XP_025996243.1,4.00E-109,315,2.00E-115,332
XP_011250777.1,XP_025996244.1,4.00E-109,315,2.00E-115,332
XP_011250777.1,XP_025996245.1,4.00E-109,315,2.00E-115,332
XP_011250777.1,XP_025996246.1,4.00E-109,315,2.00E-115,332
XP_011250778.1,XP_011170252.2,4.00E-109,315,2.00E-115,332
XP_011250778.1,XP_025996242.1,3.00E-108,316,2.00E-114,332
XP_011250778.1,XP_025996243.1,4.00E-109,315,2.00E-115,332
XP_011250778.1,XP_025996244.1,4.00E-109,315,2.00E-115,332
XP_011250778.1,XP_025996245.1,4.00E-109,315,2.00E-115,332
XP_011250778.1,XP_025996246.1,4.00E-109,315,2.00E-115,332
XP_011250779.1,XP_011168618.1,0,737,0,732
XP_011250781.2,XP_011167212.1,2.00E-167,480,4.00E-157,453
XP_011250781.2,XP_025996872.1,2.00E-166,477,6.00E-156,451
XP_011250782.1,XP_011170653.1,5.00E-162,450,6.00E-162,450
XP_011250782.1,XP_011170654.1,5.00E-162,450,6.00E-162,450
XP_011250782.1,XP_011170655.1,5.00E-162,450,6.00E-162,450
XP_011250782.1,XP_011170656.1,5.00E-162,450,6.00E-162,450
XP_011250782.1,XP_011170657.1,5.00E-162,450,6.00E-162,450
XP_011250785.3,XP_011170279.2,5.00E-87,275,6.00E-87,275
XP_011250785.3,XP_025996264.1,2.00E-89,282,2.00E-89,282
XP_011250787.1,XP_011171305.1,0,1626,0,1625
XP_011250788.1,XP_011171306.1,0,1527,0,1526
XP_011250789.1,XP_011171301.1,0,682,0,682
XP_011250794.1,XP_025995704.1,0,593,0,593
XP_011250794.1,XP_025995705.1,0,567,0,567
XP_011250796.1,XP_011171302.1,0,724,0,739
XP_011250796.1,XP_011171303.1,0,724,0,739
XP_011250796.1,XP_011171304.1,0,724,0,739
XP_011250797.1,XP_011171309.1,0,5704,0,5697
XP_011250799.2,XP_011171310.1,0,560,0,570
XP_011250800.1,XP_011175889.1,2.00E-63,191,2.00E-55,171
XP_011250801.1,XP_025995703.1,0,599,0,599
XP_011250809.1,XP_025995705.1,0,585,0,585
XP_011250812.1,XP_011171324.1,0,1442,0,1442
XP_011250813.1,XP_011171352.1,0,1802,0,1802
XP_011250814.1,XP_011165226.1,1.00E-137,386,1.00E-137,386
XP_011250819.1,XP_025995706.1,5.00E-178,497,2.00E-179,501
XP_011250826.1,XP_011171348.1,3.00E-162,455,4.00E-163,457
XP_011250827.1,XP_011171350.2,3.00E-150,431,3.00E-152,436
XP_011250828.1,XP_011171337.1,0,533,0,514
XP_011250828.1,XP_011171338.1,0,533,0,514
XP_011250828.1,XP_011171339.1,0,533,0,514
XP_011250828.1,XP_025990641.1,0,533,0,514
XP_011250829.1,XP_011171337.1,0,533,0,514
XP_011250829.1,XP_011171338.1,0,533,0,514
XP_011250829.1,XP_011171339.1,0,533,0,514
XP_011250829.1,XP_025990641.1,0,533,0,514
XP_011250830.1,XP_011171337.1,0,533,0,514
XP_011250830.1,XP_011171338.1,0,533,0,514
XP_011250830.1,XP_011171339.1,0,533,0,514
XP_011250830.1,XP_025990641.1,0,533,0,514
XP_011250831.1,XP_011171335.1,0,863,0,871
XP_011250832.1,XP_011171353.1,0,748,0,748
XP_011250832.1,XP_011171356.2,0,737,0,737
XP_011250832.1,XP_025990602.1,0,724,0,724
XP_011250832.1,XP_025990603.1,0,744,0,744
XP_011250833.1,XP_011170662.1,0,516,0,540
XP_011250834.1,XP_011171367.1,2.00E-36,125,2.00E-42,141
XP_011250835.1,XP_011171357.1,4.00E-53,168,2.00E-55,174
XP_011250836.1,XP_011171358.1,3.00E-57,179,5.00E-65,199
XP_011250838.1,XP_011171362.1,3.00E-53,168,2.00E-59,184
XP_011250838.1,XP_025990612.1,3.00E-53,169,2.00E-59,185
XP_011250841.1,XP_011171369.1,0,1145,0,1145
XP_011250842.1,XP_011171370.1,2.00E-123,349,2.00E-123,349
XP_011250843.1,XP_025990648.1,0,1078,0,1082
XP_011250843.1,XP_025990649.1,0,1078,0,1082
XP_011250843.1,XP_025990650.1,0,1072,0,1076
XP_011250843.1,XP_025990651.1,0,1089,0,1092
XP_011250843.1,XP_025990652.1,0,1043,0,1048
XP_011250843.1,XP_025990653.1,0,1041,0,1046
XP_011250843.1,XP_025990654.1,0,1051,0,1057
XP_011250844.1,XP_025990648.1,0,1078,0,1082
XP_011250844.1,XP_025990649.1,0,1078,0,1082
XP_011250844.1,XP_025990650.1,0,1072,0,1076
XP_011250844.1,XP_025990651.1,0,1089,0,1092
XP_011250844.1,XP_025990652.1,0,1043,0,1048
XP_011250844.1,XP_025990653.1,0,1041,0,1046
XP_011250844.1,XP_025990654.1,0,1051,0,1057
XP_011250845.1,XP_025990648.1,0,1072,0,1076
XP_011250845.1,XP_025990649.1,0,1072,0,1076
XP_011250845.1,XP_025990650.1,0,1075,0,1080
