mono,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_012521371.1,XP_019885076.1,3.00E-151,426,1.00E-147,417
XP_012521372.1,XP_011266889.1,0,618,0,618
XP_012521373.1,XP_011263019.1,0,739,0,733
XP_012521373.1,XP_011263027.1,0,739,0,733
XP_012521375.1,XP_019885074.1,0,1361,0,1382
XP_012521377.1,XP_011266887.1,0,956,0,945
XP_012521378.1,XP_011266881.2,2.00E-180,524,0,565
XP_012521379.1,XP_011266883.1,0,913,0,913
XP_012521379.1,XP_011266884.1,0,913,0,913
XP_012521379.1,XP_011266885.1,0,913,0,913
XP_012521379.1,XP_011266886.1,0,913,0,913
XP_012521379.1,XP_019885075.1,0,917,0,917
XP_012521380.1,XP_011266883.1,0,913,0,913
XP_012521380.1,XP_011266884.1,0,913,0,913
XP_012521380.1,XP_011266885.1,0,913,0,913
XP_012521380.1,XP_011266886.1,0,913,0,913
XP_012521380.1,XP_019885075.1,0,913,0,913
XP_012521382.1,XP_011266877.1,0,759,0,759
XP_012521382.1,XP_025263852.1,0,760,0,760
XP_012521383.1,XP_011266882.1,4.00E-151,427,2.00E-158,446
XP_012521384.1,XP_011266882.1,4.00E-151,427,2.00E-158,446
XP_012521385.1,XP_011266882.1,4.00E-151,427,2.00E-158,446
XP_012521386.1,XP_011266882.1,4.00E-151,427,2.00E-158,446
XP_012521387.1,XP_011266882.1,5.00E-154,434,2.00E-161,453
XP_012521389.1,XP_011261578.1,0,773,0,787
XP_012521390.1,XP_011266876.2,4.00E-107,308,6.00E-99,287
XP_012521391.1,XP_011266890.2,0,2130,0,2117
XP_012521391.1,XP_011266891.2,0,2130,0,2117
XP_012521392.1,XP_011266890.2,0,2130,0,2117
XP_012521392.1,XP_011266891.2,0,2130,0,2117
XP_012521393.1,XP_011266894.2,0,815,0,814
XP_012521393.1,XP_011266895.2,0,815,0,814
XP_012521393.1,XP_025263938.1,0,815,0,815
XP_012521393.1,XP_025263939.1,0,831,0,811
XP_012521398.1,XP_011266894.2,0,811,0,830
XP_012521398.1,XP_011266895.2,0,811,0,830
XP_012521398.1,XP_025263938.1,0,811,0,831
XP_012521398.1,XP_025263939.1,0,837,0,836
XP_012521400.1,XP_011263041.1,0,763,0,763
XP_012521400.1,XP_011263049.1,0,733,0,733
XP_012521401.1,XP_011262230.1,0,1018,0,1023
XP_012521401.1,XP_011262232.1,0,1018,0,1023
XP_012521401.1,XP_011262233.1,0,1018,0,1023
XP_012521401.1,XP_019884228.1,0,1018,0,1023
XP_012521403.1,XP_011265148.1,0,602,0,601
XP_012521404.1,XP_011265148.1,0,602,0,601
XP_012521405.1,XP_011265148.1,0,602,0,601
XP_012521408.2,XP_011265150.1,2.00E-145,416,1.00E-145,416
XP_012521415.1,XP_011262238.1,0,2355,0,2382
XP_012521415.1,XP_011262239.1,0,2414,0,2454
XP_012521415.1,XP_011262240.1,0,2414,0,2454
XP_012521415.1,XP_019884224.1,0,2461,0,2489
XP_012521415.1,XP_025267065.1,0,2461,0,2489
XP_012521416.1,XP_011262238.1,0,2355,0,2382
XP_012521416.1,XP_011262239.1,0,2414,0,2454
XP_012521416.1,XP_011262240.1,0,2414,0,2454
XP_012521416.1,XP_019884224.1,0,2461,0,2489
XP_012521416.1,XP_025267065.1,0,2461,0,2489
XP_012521417.1,XP_011262238.1,0,2355,0,2382
XP_012521417.1,XP_011262239.1,0,2414,0,2454
XP_012521417.1,XP_011262240.1,0,2414,0,2454
XP_012521417.1,XP_019884224.1,0,2461,0,2489
XP_012521417.1,XP_025267065.1,0,2461,0,2489
XP_012521418.1,XP_011262238.1,0,2330,0,2356
XP_012521418.1,XP_011262239.1,0,2387,0,2427
XP_012521418.1,XP_011262240.1,0,2387,0,2427
XP_012521418.1,XP_019884224.1,0,2437,0,2464
XP_012521418.1,XP_025267065.1,0,2437,0,2464
XP_012521419.1,XP_011262238.1,0,2317,0,2358
XP_012521419.1,XP_011262239.1,0,2416,0,2455
XP_012521419.1,XP_011262240.1,0,2416,0,2455
XP_012521419.1,XP_019884224.1,0,2427,0,2464
XP_012521419.1,XP_025267065.1,0,2427,0,2464
XP_012521421.1,XP_011262238.1,0,2273,0,2302
XP_012521421.1,XP_011262239.1,0,2333,0,2370
XP_012521421.1,XP_011262240.1,0,2333,0,2370
XP_012521421.1,XP_019884224.1,0,2380,0,2409
XP_012521421.1,XP_025267065.1,0,2380,0,2409
XP_012521422.1,XP_011262238.1,0,2356,0,2382
XP_012521422.1,XP_011262239.1,0,2306,0,2345
XP_012521422.1,XP_011262240.1,0,2306,0,2345
XP_012521422.1,XP_019884224.1,0,2353,0,2382
XP_012521422.1,XP_025267065.1,0,2353,0,2382
XP_012521423.1,XP_011262238.1,0,2308,0,2342
XP_012521423.1,XP_011262239.1,0,2415,0,2453
XP_012521423.1,XP_011262240.1,0,2415,0,2453
XP_012521423.1,XP_019884224.1,0,2415,0,2451
XP_012521423.1,XP_025267065.1,0,2415,0,2451
XP_012521424.2,XP_011259192.2,0,865,0,865
XP_012521431.1,XP_011259617.2,8.00E-157,447,9.00E-157,447
XP_012521431.1,XP_011259619.2,6.00E-159,452,5.00E-159,452
XP_012521431.1,XP_011259620.2,6.00E-158,450,6.00E-158,449
XP_012521431.1,XP_019883700.2,2.00E-150,431,2.00E-150,431
XP_012521431.1,XP_025268854.1,2.00E-154,441,2.00E-154,441
XP_012521442.1,XP_025265101.1,2.00E-09,53.5,2.00E-09,53.9
XP_012521442.1,XP_025266185.1,3.00E-10,55.5,2.00E-10,55.5
XP_012521446.1,XP_011258995.2,0,1226,0,1273
XP_012521447.1,XP_011252503.1,0,764,0,792
XP_012521448.1,XP_025269518.1,0,1473,0,1473
XP_012521449.1,XP_025261949.1,3.00E-45,145,3.00E-38,127
XP_012521450.2,XP_025267600.1,0,1240,0,1224
XP_012521461.1,XP_025265101.1,2.00E-09,53.5,2.00E-09,53.9
XP_012521461.1,XP_025266185.1,3.00E-10,55.5,2.00E-10,55.5
XP_012521463.1,XP_025264883.1,0,750,0,750
XP_012521463.1,XP_025267301.1,0,751,0,751
XP_012521464.1,XP_011251481.1,4.00E-112,325,5.00E-112,325
XP_012521466.1,XP_011255971.1,0,882,0,879
XP_012521467.1,XP_011255971.1,0,882,0,879
XP_012521468.1,XP_011255971.1,0,882,0,879
XP_012521469.1,XP_011255971.1,0,882,0,879
XP_012521470.1,XP_011255971.1,0,866,0,859
XP_012521471.1,XP_011264120.1,8.00E-132,375,7.00E-132,375
XP_012521472.1,XP_025262247.1,2.00E-130,375,1.00E-130,375
XP_012521473.1,XP_011255957.1,2.00E-72,217,2.00E-72,217
XP_012521474.1,XP_011257992.1,0,3000,0,3000
XP_012521474.1,XP_011257994.1,0,2950,0,2938
XP_012521475.1,XP_011257992.1,0,2938,0,2950
XP_012521475.1,XP_011257994.1,0,2964,0,2964
XP_012521476.1,XP_011269379.1,3.00E-121,348,3.00E-121,348
XP_012521476.1,XP_011269380.1,3.00E-121,348,3.00E-121,348
XP_012521476.1,XP_011269381.1,3.00E-121,348,3.00E-121,348
XP_012521492.1,XP_019885221.2,0,1085,0,1085
XP_012521494.1,XP_011262629.1,0,995,0,987
XP_012521496.1,XP_011262632.1,0,747,0,744
XP_012521496.1,XP_025270784.1,0,747,0,744
XP_012521497.1,XP_011262632.1,0,747,0,744
XP_012521497.1,XP_025270784.1,0,747,0,744
XP_012521499.1,XP_011253904.1,0,546,0,546
XP_012521500.1,XP_011253786.1,0,1375,0,1375
XP_012521501.1,XP_011253786.1,0,1407,0,1407
XP_012521512.1,XP_011258981.1,1.00E-99,287,1.00E-104,300
XP_012521513.1,XP_011258986.1,2.00E-157,444,1.00E-157,444
XP_012521515.1,XP_011261933.2,1.00E-15,79.3,1.00E-15,79.3
XP_012521515.1,XP_011261935.2,1.00E-15,79.3,1.00E-15,79.3
XP_012521522.1,XP_011264624.1,0,1151,0,1173
XP_012521522.1,XP_011264625.1,0,1131,0,1153
XP_012521523.1,XP_011264624.1,0,1131,0,1153
XP_012521523.1,XP_011264625.1,0,1138,0,1161
XP_012521524.1,XP_011264623.1,0,696,0,696
XP_012521525.1,XP_011264623.1,0,706,0,706
XP_012521526.1,XP_011265740.1,0,1313,0,1313
XP_012521526.1,XP_025270733.1,0,1313,0,1313
XP_012521526.1,XP_025270734.1,0,1313,0,1313
XP_012521526.1,XP_025270735.1,0,1253,0,1253
XP_012521527.1,XP_011252503.1,0,764,0,792
XP_012521528.1,XP_011265740.1,0,1254,0,1254
XP_012521528.1,XP_025270733.1,0,1254,0,1254
XP_012521528.1,XP_025270734.1,0,1254,0,1254
XP_012521528.1,XP_025270735.1,0,1254,0,1254
XP_012521531.1,XP_025267839.1,0,574,0,575
XP_012521532.1,XP_025268822.1,0,2060,0,2047
XP_012521532.1,XP_025268823.1,0,2052,0,2039
XP_012521532.1,XP_025268824.1,0,2031,0,2017
XP_012521533.1,XP_025268822.1,0,2029,0,2017
XP_012521533.1,XP_025268823.1,0,2021,0,2008
XP_012521533.1,XP_025268824.1,0,2042,0,2029
XP_012521534.1,XP_025268825.1,0,1819,0,1804
XP_012521534.1,XP_025268826.1,0,1789,0,1775
XP_012521535.1,XP_025268825.1,0,1788,0,1775
XP_012521535.1,XP_025268826.1,0,1801,0,1788
XP_012521537.1,XP_025266540.1,0,814,0,753
XP_012521538.1,XP_025266546.1,0,897,0,897
XP_012521543.1,XP_011262882.1,0,1115,0,1111
XP_012521544.1,XP_011262881.1,0,862,0,906
XP_012521547.1,XP_011251011.1,0,803,0,815
XP_012521547.1,XP_011251012.1,0,803,0,815
XP_012521548.1,XP_011251011.1,0,803,0,815
XP_012521548.1,XP_011251012.1,0,803,0,815
XP_012521549.1,XP_011251014.2,1.00E-126,363,2.00E-130,373
XP_012521550.1,XP_011251014.2,1.00E-126,363,2.00E-130,373
XP_012521551.1,XP_011251017.2,2.00E-154,433,9.00E-162,451
XP_012521552.1,XP_011261687.1,2.00E-94,278,1.00E-94,278
XP_012521553.1,XP_011261687.1,3.00E-96,282,3.00E-96,282
XP_012521555.2,XP_011251015.1,4.00E-76,229,2.00E-76,229
XP_012521564.1,XP_011266436.1,0,1707,0,1739
XP_012521564.1,XP_011266438.1,0,1707,0,1739
XP_012521564.1,XP_025268539.1,0,1707,0,1739
XP_012521574.1,XP_011266433.1,2.00E-123,405,1.00E-120,398
XP_012521574.1,XP_025268541.1,2.00E-123,405,1.00E-120,398
XP_012521585.1,XP_011266432.1,0,1394,0,1394
XP_012521596.1,XP_011266434.1,3.00E-177,492,3.00E-177,492
XP_012521682.1,XP_011269003.1,1.00E-81,239,1.00E-81,239
XP_012521689.1,XP_011269003.1,2.00E-81,238,2.00E-81,238
XP_012521746.1,XP_011267017.1,0,2732,0,2723
XP_012521746.1,XP_025263033.1,0,2732,0,2723
XP_012521746.1,XP_025263034.1,0,2686,0,2677
XP_012521751.1,XP_011267017.1,0,2732,0,2723
XP_012521751.1,XP_025263033.1,0,2732,0,2723
XP_012521751.1,XP_025263034.1,0,2686,0,2677
XP_012521759.1,XP_011267017.1,0,2732,0,2723
XP_012521759.1,XP_025263033.1,0,2732,0,2723
XP_012521759.1,XP_025263034.1,0,2686,0,2677
XP_012521766.1,XP_011267017.1,0,2732,0,2723
XP_012521766.1,XP_025263033.1,0,2732,0,2723
XP_012521766.1,XP_025263034.1,0,2686,0,2677
XP_012521769.1,XP_011267017.1,0,2732,0,2723
XP_012521769.1,XP_025263033.1,0,2732,0,2723
XP_012521769.1,XP_025263034.1,0,2686,0,2677
XP_012521778.1,XP_011255339.1,1.00E-141,398,1.00E-141,398
XP_012521779.1,XP_011259084.1,0,700,0,700
XP_012521780.1,XP_011255339.1,5.00E-135,380,5.00E-135,380
XP_012521782.1,XP_011257439.1,0,1380,0,1380
XP_012521782.1,XP_011257440.1,0,1380,0,1380
XP_012521782.1,XP_011257441.1,0,1380,0,1380
XP_012521782.1,XP_011257442.1,0,1384,0,1384
XP_012521782.1,XP_011257443.1,0,1390,0,1390
XP_012521783.1,XP_011257438.1,0,974,0,972
XP_012521784.1,XP_019883159.1,0,1056,0,1056
XP_012521784.1,XP_025265318.1,0,1090,0,1090
XP_012521785.1,XP_019883159.1,0,1037,0,1037
XP_012521785.1,XP_025265318.1,0,1038,0,1038
XP_012521786.1,XP_019883159.1,0,1037,0,1037
XP_012521786.1,XP_025265318.1,0,1038,0,1038
XP_012521787.1,XP_011256654.1,1.00E-124,355,9.00E-125,355
XP_012521789.1,XP_011252770.3,0,860,0,848
XP_012521791.1,XP_019883555.2,0,3660,0,3669
XP_012521791.1,XP_019883556.2,0,3659,0,3668
XP_012521791.1,XP_019883557.2,0,3638,0,3648
XP_012521791.1,XP_025264211.1,0,3701,0,3711
XP_012521791.1,XP_025264212.1,0,3701,0,3711
XP_012521792.1,XP_019883555.2,0,3660,0,3669
XP_012521792.1,XP_019883556.2,0,3659,0,3668
XP_012521792.1,XP_019883557.2,0,3638,0,3648
XP_012521792.1,XP_025264211.1,0,3701,0,3711
XP_012521792.1,XP_025264212.1,0,3701,0,3711
XP_012521796.1,XP_025264233.1,0,1640,0,1620
XP_012521798.1,XP_011258650.1,0,1337,0,1337
XP_012521798.1,XP_011258651.1,0,1337,0,1337
XP_012521799.1,XP_011258650.1,0,1337,0,1337
XP_012521799.1,XP_011258651.1,0,1337,0,1337
XP_012521800.1,XP_011258652.1,0,1251,0,1251
XP_012521801.1,XP_011259083.2,0,1774,0,1729
XP_012521802.1,XP_019883566.2,0,969,0,969
XP_012521803.1,XP_011258659.1,0,1000,0,976
XP_012521804.1,XP_011264024.1,0,1912,0,1936
XP_012521804.1,XP_011264025.1,0,1906,0,1929
XP_012521807.1,XP_011257716.2,0,996,0,1011
XP_012521807.1,XP_019883362.2,0,987,0,1003
XP_012521808.1,XP_011257716.2,0,996,0,1011
XP_012521808.1,XP_019883362.2,0,987,0,1003
XP_012521809.1,XP_011252075.1,0,2093,0,2083
XP_012521811.1,XP_011269602.1,0,547,0,559
XP_012521814.1,XP_011256189.2,0,1865,0,1881
XP_012521814.1,XP_011256190.2,0,1790,0,1806
XP_012521814.1,XP_019883073.2,0,1854,0,1869
XP_012521814.1,XP_025262723.1,0,1854,0,1869
XP_012521815.1,XP_011256189.2,0,1858,0,1874
XP_012521815.1,XP_011256190.2,0,1784,0,1800
XP_012521815.1,XP_019883073.2,0,1848,0,1863
XP_012521815.1,XP_025262723.1,0,1848,0,1863
XP_012521816.1,XP_011256189.2,0,1803,0,1819
XP_012521816.1,XP_011256190.2,0,1805,0,1820
XP_012521816.1,XP_019883073.2,0,1792,0,1807
XP_012521816.1,XP_025262723.1,0,1792,0,1807
XP_012521818.1,XP_011268036.2,3.00E-118,340,3.00E-118,340
XP_012521818.1,XP_011268037.2,2.00E-118,340,2.00E-118,340
XP_012521818.1,XP_019885327.2,2.00E-118,340,2.00E-118,340
XP_012521819.2,XP_011268036.2,7.00E-119,344,5.00E-119,344
XP_012521819.2,XP_011268037.2,3.00E-118,342,2.00E-118,342
XP_012521819.2,XP_019885327.2,3.00E-118,342,2.00E-118,342
XP_012521823.1,XP_011267424.1,0,778,0,778
XP_012521824.1,XP_011267425.3,4.00E-168,473,5.00E-163,460
XP_012521826.1,XP_019885188.1,0,1303,0,1291
XP_012521833.1,XP_025270561.1,0,1048,0,1588
XP_012521833.1,XP_025270562.1,0,1048,0,1527
XP_012521834.1,XP_025270561.1,0,1049,0,1528
XP_012521834.1,XP_025270562.1,0,1049,0,1557
XP_012521836.1,XP_011266529.1,0,795,0,793
XP_012521837.1,XP_011250445.2,1.00E-45,169,1.00E-45,169
XP_012521837.1,XP_025266439.1,7.00E-47,172,8.00E-47,172
XP_012521837.1,XP_025267836.1,5.00E-46,169,6.00E-46,169
XP_012521840.1,XP_011258470.1,0,669,0,665
XP_012521842.2,XP_025265273.1,0,2956,0,2749
XP_012521842.2,XP_025265274.1,0,2956,0,2749
XP_012521842.2,XP_025265275.1,0,2944,0,2738
XP_012521844.1,XP_011251262.1,0,768,0,768
XP_012521845.1,XP_011251260.2,0,1508,0,1520
XP_012521845.1,XP_025265309.1,0,1502,0,1514
XP_012521845.1,XP_025265310.1,0,1473,0,1484
XP_012521846.2,XP_011255166.1,0,1003,0,1003
XP_012521849.1,XP_011257120.1,1.00E-70,209,1.00E-70,209
XP_012521850.1,XP_011257122.1,1.00E-54,167,1.00E-54,167
XP_012521851.1,XP_011257123.1,0,689,0,704
XP_012521851.1,XP_011257124.1,0,689,0,704
XP_012521851.1,XP_019883280.1,0,689,0,704
XP_012521852.2,XP_025265412.1,8.00E-68,210,5.00E-68,210
XP_012521858.1,XP_011263783.1,1.00E-98,293,2.00E-98,293
XP_012521859.1,XP_011262952.1,0,1921,0,1939
XP_012521859.1,XP_011262953.1,0,1928,0,1946
XP_012521860.1,XP_011263673.2,0,1299,0,1288
XP_012521860.1,XP_025262821.1,0,1299,0,1288
XP_012521862.1,XP_011263674.1,7.00E-129,364,6.00E-129,364
XP_012521864.1,XP_011263582.2,5.00E-118,344,4.00E-118,344
XP_012521864.1,XP_025268131.1,5.00E-118,344,4.00E-118,344
XP_012521866.1,XP_011264145.1,0,1400,0,1400
XP_012521866.1,XP_011264146.1,0,1401,0,1401
XP_012521867.1,XP_011264145.1,0,1400,0,1400
XP_012521867.1,XP_011264146.1,0,1401,0,1401
XP_012521868.1,XP_011259007.1,0,1038,0,1038
XP_012521868.1,XP_025267201.1,0,1038,0,1038
XP_012521869.1,XP_011259007.1,0,1038,0,1038
XP_012521869.1,XP_025267201.1,0,1038,0,1038
XP_012521870.1,XP_011259007.1,0,1038,0,1038
XP_012521870.1,XP_025267201.1,0,1038,0,1038
XP_012521871.1,XP_011264144.1,0,1561,0,1561
XP_012521872.1,XP_011263582.2,5.00E-118,344,4.00E-118,344
XP_012521872.1,XP_025268131.1,5.00E-118,344,4.00E-118,344
XP_012521874.1,XP_011264724.1,0,1251,0,1238
XP_012521875.1,XP_011260575.1,1.00E-119,342,2.00E-126,360
XP_012521878.1,XP_025263742.1,1.00E-55,171,9.00E-56,171
XP_012521878.1,XP_025263743.1,1.00E-55,171,9.00E-56,171
XP_012521879.1,XP_025263742.1,1.00E-55,171,9.00E-56,171
XP_012521879.1,XP_025263743.1,1.00E-55,171,9.00E-56,171
XP_012521880.1,XP_011257384.1,7.00E-55,167,7.00E-55,167
XP_012521881.1,XP_011267561.1,3.00E-177,497,3.00E-177,497
XP_012521881.1,XP_011267562.1,3.00E-177,496,3.00E-177,496
XP_012521881.1,XP_019885211.1,9.00E-177,496,8.00E-177,496
XP_012521882.1,XP_011267561.1,7.00E-177,496,7.00E-177,496
XP_012521882.1,XP_011267562.1,4.00E-177,496,4.00E-177,496
XP_012521882.1,XP_019885211.1,2.00E-176,495,1.00E-176,495
XP_012521887.1,XP_025267997.1,1.00E-169,486,1.00E-169,486
XP_012521887.1,XP_025267998.1,1.00E-169,486,1.00E-169,486
XP_012521889.1,XP_011263580.1,0,2145,0,2144
XP_012521889.1,XP_025268129.1,0,2228,0,2223
XP_012521889.1,XP_025268130.1,0,2185,0,2197
XP_012521893.1,XP_011250979.1,0,803,0,803
XP_012521894.1,XP_011260976.1,0,949,0,949
XP_012521894.1,XP_011260977.1,0,962,0,962
XP_012521895.1,XP_011260976.1,0,938,0,913
XP_012521895.1,XP_011260977.1,0,948,0,916
XP_012521896.1,XP_011260979.1,3.00E-95,280,2.00E-95,280
XP_012521897.1,XP_011263580.1,0,2139,0,2137
XP_012521897.1,XP_025268129.1,0,2221,0,2217
XP_012521897.1,XP_025268130.1,0,2179,0,2190
XP_012521898.2,XP_025270064.1,2.00E-19,83.6,4.00E-20,85.1
XP_012521902.1,XP_011268779.1,2.00E-153,428,2.00E-153,428
XP_012521902.1,XP_011268780.1,2.00E-153,428,2.00E-153,428
XP_012521903.1,XP_011268779.1,2.00E-153,428,2.00E-153,428
XP_012521903.1,XP_011268780.1,2.00E-153,428,2.00E-153,428
XP_012521905.1,XP_011263580.1,0,2120,0,2102
XP_012521905.1,XP_025268129.1,0,2201,0,2184
XP_012521905.1,XP_025268130.1,0,2195,0,2190
XP_012521906.1,XP_011252909.2,2.00E-105,314,7.00E-90,275
XP_012521907.1,XP_011265066.1,0,942,0,942
XP_012521907.1,XP_011265077.1,0,942,0,942
XP_012521909.1,XP_011255912.1,0,677,0,1004
XP_012521909.1,XP_011255913.1,0,677,0,1004
XP_012521909.1,XP_011255914.1,0,677,0,1004
XP_012521910.1,XP_011255912.1,0,678,0,1007
XP_012521910.1,XP_011255913.1,0,678,0,1007
XP_012521910.1,XP_011255914.1,0,678,0,1007
XP_012521911.1,XP_011255912.1,0,641,0,969
XP_012521911.1,XP_011255913.1,0,641,0,969
XP_012521911.1,XP_011255914.1,0,641,0,969
XP_012521913.1,XP_011255912.1,0,642,0,970
XP_012521913.1,XP_011255913.1,0,642,0,970
XP_012521913.1,XP_011255914.1,0,642,0,970
XP_012521914.1,XP_011255912.1,0,642,0,970
XP_012521914.1,XP_011255913.1,0,642,0,970
XP_012521914.1,XP_011255914.1,0,642,0,970
XP_012521915.1,XP_011265081.1,0,1645,0,1645
XP_012521919.1,XP_011255220.1,0,521,0,525
XP_012521919.1,XP_011255221.1,0,521,0,525
XP_012521919.1,XP_011255222.1,0,521,0,525
XP_012521919.1,XP_025264549.1,0,521,0,525
XP_012521920.1,XP_025267488.1,8.00E-149,426,7.00E-149,426
XP_012521921.1,XP_011265721.1,3.00E-174,497,3.00E-178,507
XP_012521922.1,XP_011252943.2,0,967,0,967
XP_012521925.1,XP_011264508.2,0,1238,0,1193
XP_012521926.1,XP_025269972.1,1.00E-154,503,1.00E-160,519
XP_012521928.2,XP_025270191.1,1.00E-117,347,1.00E-117,347
