agam,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_001237393.3,XP_011265500.2,9.00E-115,343,1.00E-115,344
XP_001237393.3,XP_025264288.1,9.00E-115,343,6.00E-115,342
XP_001237393.3,XP_025264945.1,3.00E-120,357,2.00E-120,357
XP_001237393.3,XP_025264950.1,9.00E-115,343,1.00E-115,344
XP_001237393.3,XP_025264951.1,9.00E-115,343,1.00E-115,344
XP_001237393.3,XP_025265741.1,1.00E-113,340,6.00E-114,339
XP_001237396.2,XP_011267261.1,4.00E-34,128,2.00E-34,128
XP_001237397.1,XP_011267261.1,4.00E-34,128,2.00E-34,128
XP_001237398.2,XP_011256783.1,2.00E-26,106,2.00E-29,114
XP_001237404.1,XP_025269568.1,6.00E-09,52,3.00E-09,52
XP_001237407.3,XP_011256617.2,1.00E-122,397,3.00E-122,395
XP_001237411.2,XP_011266434.1,7.00E-126,369,9.00E-121,354
XP_001237457.2,XP_011269096.1,1.00E-76,231,1.00E-72,219
XP_001237468.3,XP_011266940.1,8.00E-37,131,3.00E-36,129
XP_001237469.3,XP_011258499.2,0,667,0,639
XP_001237469.3,XP_011258500.2,0,667,0,639
XP_001237469.3,XP_025265676.1,0,667,0,639
XP_001237487.2,XP_011261243.1,5.00E-111,343,1.00E-108,336
XP_001237499.3,XP_011262961.1,2.00E-76,279,6.00E-150,493
XP_001237499.3,XP_011262963.1,1.00E-76,280,9.00E-150,493
XP_001237499.3,XP_011262964.1,2.00E-76,279,5.00E-150,493
XP_001237504.2,XP_011261147.1,0,728,0,746
XP_001237504.2,XP_011261148.1,0,728,0,746
XP_001237504.2,XP_011261150.1,0,728,0,746
XP_001237504.2,XP_025262871.1,0,728,0,746
XP_001237521.2,XP_011264890.1,2.00E-28,107,5.00E-29,107
XP_001237521.2,XP_011264892.1,1.00E-28,107,4.00E-29,107
XP_001237526.3,XP_011264032.1,1.00E-172,502,9.00E-173,501
XP_001237544.3,XP_011263058.1,5.00E-35,131,2.00E-35,131
XP_001237553.3,XP_025269747.1,6.00E-87,267,3.00E-87,267
XP_001237560.2,XP_019883593.1,5.00E-106,335,1.00E-109,343
XP_001237560.2,XP_025270401.1,5.00E-106,335,1.00E-109,343
XP_001237561.2,XP_011258087.1,5.00E-58,193,4.00E-62,202
XP_001237566.1,XP_025267459.1,7.00E-31,117,2.00E-37,134
XP_001237568.1,XP_011258952.1,2.00E-25,97.4,8.00E-26,97.4
XP_001237568.1,XP_011258953.1,2.00E-25,97.4,8.00E-26,97.4
XP_001237594.2,XP_011263451.1,4.00E-121,374,2.00E-121,374
XP_001237600.2,XP_019884081.1,5.00E-40,133,2.00E-40,133
XP_001237618.1,XP_011264505.2,3.00E-87,271,4.00E-83,260
XP_001237618.1,XP_011269639.2,5.00E-86,268,4.00E-82,257
XP_001237621.1,XP_011253396.1,2.00E-47,164,3.00E-47,162
XP_001237622.2,XP_025264147.1,0,1852,0,1859
XP_001237627.2,XP_011266454.1,1.00E-79,266,8.00E-88,287
XP_001237627.2,XP_011266459.1,8.00E-83,274,1.00E-88,289
XP_001237627.2,XP_011266467.1,6.00E-78,261,9.00E-87,284
XP_001237627.2,XP_011266475.1,4.00E-81,270,2.00E-87,286
XP_001237627.2,XP_011266487.1,1.00E-79,266,4.00E-87,285
XP_001237627.2,XP_011266496.1,2.00E-80,268,3.00E-88,288
XP_001237627.2,XP_011266510.1,4.00E-80,266,2.00E-87,285
XP_001237627.2,XP_011266521.1,3.00E-81,268,3.00E-89,288
XP_001237627.2,XP_025269818.1,1.00E-78,263,3.00E-87,285
XP_001237627.2,XP_025269819.1,1.00E-81,271,3.00E-88,288
XP_001237635.3,XP_011254887.1,4.00E-99,317,2.00E-110,346
XP_001237635.3,XP_025262421.1,1.00E-99,318,5.00E-111,347
XP_001237644.1,XP_019884689.1,2.00E-31,107,1.00E-29,102
XP_001237651.1,XP_011259278.2,1.00E-116,362,5.00E-117,362
XP_001237651.1,XP_011259279.2,6.00E-114,354,2.00E-114,354
XP_001237659.2,XP_011264609.1,9.00E-82,265,4.00E-82,264
XP_001237663.2,XP_011266186.1,0,1452,0,1440
XP_001237663.2,XP_025262716.1,0,1452,0,1440
XP_001237676.2,XP_011253558.1,8.00E-67,211,4.00E-67,211
XP_001237679.2,XP_019884901.2,2.00E-63,204,8.00E-64,204
XP_001237692.2,XP_011258401.1,1.00E-39,149,6.00E-44,160
XP_001237693.2,XP_011254589.1,1.00E-125,379,2.00E-131,394
XP_001237707.2,XP_011253788.1,6.00E-76,252,4.00E-81,265
XP_001237707.2,XP_011253789.1,6.00E-76,251,3.00E-81,265
XP_001237707.2,XP_011253790.1,6.00E-76,251,3.00E-81,265
XP_001237707.2,XP_019882640.1,8.00E-76,252,5.00E-81,265
XP_001237707.2,XP_025264958.1,7.00E-76,252,4.00E-81,265
XP_001237711.2,XP_011259623.1,0,601,0,578
XP_001237711.2,XP_011259624.1,0,601,0,578
XP_001237714.2,XP_011261750.1,4.00E-27,113,3.00E-32,127
XP_001237714.2,XP_011261751.1,1.00E-26,112,5.00E-32,126
XP_001237714.2,XP_011261752.1,2.00E-27,114,1.00E-32,128
XP_001237719.2,XP_011252223.1,1.00E-78,240,1.00E-77,237
XP_001237728.2,XP_025268329.1,1.00E-111,340,4.00E-111,338
XP_001237740.2,XP_025270067.1,3.00E-14,70.1,1.00E-14,70.1
XP_001237747.2,XP_011251584.1,1.00E-107,326,4.00E-110,331
XP_001237747.2,XP_025262366.1,6.00E-108,326,4.00E-110,330
XP_001237747.2,XP_025262369.1,8.00E-108,325,3.00E-110,330
XP_001237748.2,XP_011258213.1,3.00E-91,303,6.00E-93,307
XP_001237748.2,XP_025261861.1,3.00E-91,303,6.00E-93,307
XP_001237757.1,XP_011251689.1,4.00E-36,128,2.00E-36,128
XP_001237757.1,XP_025266623.1,1.00E-34,123,4.00E-35,123
XP_001237786.1,XP_011266509.1,1.00E-08,48.5,6.00E-09,48.5
XP_001237810.1,XP_019882931.1,3.00E-17,71.6,1.00E-17,71.6
XP_001237811.1,XP_025262963.1,0,544,9.00E-176,530
XP_001237811.1,XP_025262965.1,0,544,3.00E-176,530
XP_001237813.1,XP_025264883.1,4.00E-151,446,2.00E-151,446
XP_001237813.1,XP_025267301.1,7.00E-150,442,3.00E-150,442
XP_001237815.1,XP_011263606.1,5.00E-115,332,2.00E-115,332
XP_001237830.2,XP_011268748.1,1.00E-146,419,5.00E-147,419
XP_001237830.2,XP_011268749.1,1.00E-146,419,5.00E-147,419
XP_001237833.2,XP_011256081.1,4.00E-84,260,2.00E-89,273
XP_001237835.2,XP_019882668.2,4.00E-87,266,3.00E-87,266
XP_001237835.2,XP_025269341.1,6.00E-91,275,2.00E-91,275
XP_001237835.2,XP_025269342.1,4.00E-87,266,3.00E-87,266
XP_001237835.2,XP_025269343.1,4.00E-87,266,3.00E-87,266
XP_001237854.2,XP_011268957.2,4.00E-36,136,2.00E-36,136
XP_001237854.2,XP_025271204.1,3.00E-36,137,1.00E-36,137
XP_001237854.2,XP_025271205.1,3.00E-36,137,1.00E-36,137
XP_001237854.2,XP_025271206.1,3.00E-36,137,1.00E-36,137
XP_001237856.2,XP_011250549.1,3.00E-26,108,5.00E-25,103
XP_001237856.2,XP_011250551.1,3.00E-26,108,5.00E-25,103
XP_001237862.2,XP_011266753.2,6.00E-93,300,7.00E-94,301
XP_001237862.2,XP_025265807.1,7.00E-93,300,1.00E-93,300
XP_001237862.2,XP_025265809.1,9.00E-90,291,8.00E-91,293
XP_001237863.2,XP_011251676.1,0,2002,0,1956
XP_001237863.2,XP_011251677.1,0,2008,0,1961
XP_001237863.2,XP_011251678.1,0,2008,0,1962
XP_001237863.2,XP_011251679.1,0,2006,0,1961
XP_001237863.2,XP_011251680.1,0,2012,0,1967
XP_001237878.2,XP_011253990.1,6.00E-96,297,3.00E-96,297
XP_001237881.1,XP_011259257.1,3.00E-42,138,1.00E-42,138
XP_001237881.1,XP_011259258.1,3.00E-42,138,1.00E-42,138
XP_001237881.1,XP_025269607.1,3.00E-42,138,1.00E-42,138
XP_001237899.1,XP_011265864.1,3.00E-16,76.3,2.00E-16,76.3
XP_001237910.2,XP_011251827.1,2.00E-41,147,2.00E-35,130
XP_001237912.2,XP_011267075.1,2.00E-50,182,6.00E-51,181
XP_001237912.2,XP_011267076.1,2.00E-50,182,6.00E-51,181
XP_001237912.2,XP_025271003.1,2.00E-50,182,6.00E-51,181
XP_001237925.1,XP_011259390.1,7.00E-132,392,3.00E-132,392
XP_001237925.1,XP_011259391.1,4.00E-135,399,2.00E-135,399
XP_001237950.2,XP_011263215.1,0,723,0,702
XP_001237951.2,XP_011267299.1,1.00E-18,77.4,4.00E-19,77.4
XP_001237951.2,XP_011267300.1,1.00E-18,77.4,4.00E-19,77.4
XP_001237955.2,XP_011257294.2,1.00E-23,104,8.00E-24,104
XP_001237955.2,XP_019883298.2,1.00E-23,104,8.00E-24,103
XP_001237956.2,XP_011262098.1,6.00E-15,70.1,4.00E-16,72
XP_001237956.2,XP_011262099.1,6.00E-15,70.1,4.00E-16,72
XP_001237956.2,XP_011262100.1,6.00E-15,70.1,4.00E-16,72
XP_001237956.2,XP_025262396.1,7.00E-15,70.1,6.00E-16,72
XP_001237956.2,XP_025262397.1,7.00E-15,70.1,6.00E-16,72
XP_001237961.1,XP_011256235.1,1.00E-29,105,2.00E-31,109
XP_001237981.2,XP_019882220.2,2.00E-58,201,7.00E-59,201
XP_001237981.2,XP_019882221.2,2.00E-56,194,9.00E-57,193
XP_001237981.2,XP_025268957.1,9.00E-59,202,4.00E-59,202
XP_001238010.2,XP_011262577.1,9.00E-149,416,4.00E-149,416
XP_001238012.1,XP_011250503.1,3.00E-43,151,9.00E-44,151
XP_001238041.2,XP_025269000.1,0,2002,0,1972
XP_001238044.2,XP_011261386.2,0,3033,0,3033
XP_001238044.2,XP_025268999.1,0,2896,0,2896
XP_001238049.2,XP_019884835.2,2.00E-74,233,9.00E-75,233
XP_001238053.2,XP_011267538.1,0,677,0,677
XP_001238056.2,XP_011267538.1,0,675,0,675
XP_001238057.1,XP_011267538.1,0,671,0,671
XP_001238071.2,XP_011267020.1,7.00E-23,97.4,3.00E-23,97.4
XP_001238071.2,XP_025263112.1,7.00E-23,97.4,3.00E-23,97.4
XP_001238081.2,XP_011269758.1,1.00E-49,159,4.00E-50,159
XP_001238081.2,XP_025268316.1,2.00E-48,154,7.00E-49,154
XP_001238089.2,XP_025266889.1,1.00E-23,97.4,5.00E-24,97.4
XP_001238124.1,XP_011260336.2,4.00E-20,87,6.00E-40,140
XP_001238137.2,XP_025263879.1,1.00E-79,262,5.00E-80,262
XP_001238137.2,XP_025263880.1,6.00E-80,262,3.00E-80,262
XP_001238137.2,XP_025263881.1,4.00E-80,262,2.00E-80,262
XP_001238150.1,XP_011259707.1,4.00E-40,136,2.00E-40,136
XP_001238152.1,XP_011266311.1,1.00E-17,70.5,6.00E-18,70.5
XP_001238156.1,XP_011259862.1,2.00E-21,87,9.00E-22,87
XP_001238158.2,XP_011253368.1,0,733,0,736
XP_001238158.2,XP_011253369.2,0,732,0,736
XP_001238160.2,XP_011251960.1,1.00E-32,113,2.00E-38,127
XP_001238162.2,XP_011269488.1,2.00E-103,314,1.00E-104,316
XP_001238162.2,XP_011269489.1,9.00E-99,302,5.00E-100,304
XP_001238162.2,XP_011269490.1,2.00E-103,313,1.00E-104,316
XP_001238182.2,XP_011264737.1,9.00E-77,246,6.00E-75,241
XP_001238182.2,XP_011264738.1,2.00E-76,246,1.00E-74,240
XP_001238183.2,XP_011252824.1,1.00E-39,144,3.00E-38,139
XP_001238192.2,XP_011265551.2,0,1784,0,1739
XP_001238192.2,XP_011265554.2,0,1784,0,1739
XP_001238192.2,XP_011265555.2,0,1784,0,1739
XP_001238192.2,XP_025264782.1,0,1784,0,1739
XP_001238192.2,XP_025264784.1,0,1784,0,1739
XP_001238192.2,XP_025264785.1,0,1784,0,1739
XP_001238192.2,XP_025264786.1,0,1784,0,1739
XP_001238192.2,XP_025264787.1,0,1784,0,1739
XP_001238217.1,XP_011253881.1,5.00E-49,165,2.00E-51,171
XP_001238225.2,XP_025265272.1,6.00E-68,220,2.00E-68,220
XP_001238225.2,XP_025265569.1,1.00E-68,221,5.00E-69,221
XP_001238233.2,XP_011264151.2,2.00E-22,95.5,4.00E-29,114
XP_001238233.2,XP_011264152.2,1.00E-22,95.9,2.00E-29,115
XP_001238233.2,XP_011264153.2,2.00E-22,95.5,3.00E-29,114
XP_001238233.2,XP_025263635.1,1.00E-22,95.9,2.00E-29,114
XP_001238249.2,XP_011255750.1,1.00E-65,221,8.00E-69,229
XP_001238256.1,XP_011264959.1,4.00E-43,146,2.00E-43,146
XP_001238258.1,XP_011265026.1,0,543,0,543
XP_001238262.1,XP_011250842.1,5.00E-104,300,2.00E-104,300
XP_001238263.2,XP_019885570.1,1.00E-53,178,5.00E-54,178
XP_001238263.2,XP_019885571.1,1.00E-53,178,5.00E-54,178
XP_001238270.2,XP_011251951.1,8.00E-19,80.5,2.00E-17,75.9
XP_001238272.2,XP_011268251.1,5.00E-139,418,2.00E-137,412
XP_001238272.2,XP_011268252.1,5.00E-139,417,3.00E-138,415
XP_001238278.2,XP_011263148.2,8.00E-123,374,3.00E-123,374
XP_001238278.2,XP_011263149.2,1.00E-123,377,6.00E-124,377
XP_001238278.2,XP_011263150.2,7.00E-126,382,3.00E-126,382
XP_001238278.2,XP_011263154.1,1.00E-126,384,5.00E-127,384
XP_001238278.2,XP_011266965.2,1.00E-122,374,4.00E-123,374
XP_001238278.2,XP_019884430.2,2.00E-119,366,3.00E-124,377
XP_001238278.2,XP_025263872.1,3.00E-120,368,9.00E-126,381
XP_001238278.2,XP_025263901.1,8.00E-122,374,3.00E-122,374
XP_001238278.2,XP_025263902.1,1.00E-124,379,5.00E-125,379
XP_001238278.2,XP_025263903.1,7.00E-126,382,3.00E-126,382
XP_001238278.2,XP_025263906.1,4.00E-120,368,2.00E-120,368
XP_001238280.1,XP_025263901.1,2.00E-125,383,4.00E-123,376
XP_001238280.1,XP_025263902.1,7.00E-126,382,6.00E-123,374
XP_001238280.1,XP_025263903.1,6.00E-129,390,4.00E-126,382
XP_001238288.2,XP_011263082.2,9.00E-147,441,3.00E-153,457
XP_001238288.2,XP_011263083.2,9.00E-147,441,3.00E-153,457
XP_001238288.2,XP_025263333.1,9.00E-147,441,3.00E-153,457
XP_001238300.1,XP_011264342.1,6.00E-73,217,2.00E-67,202
XP_001238300.1,XP_011264345.1,6.00E-73,217,2.00E-67,202
XP_001238300.1,XP_011265835.1,6.00E-73,217,2.00E-67,202
XP_001238300.1,XP_011268843.1,6.00E-73,217,2.00E-67,202
XP_001238304.2,XP_025264812.1,4.00E-94,290,1.00E-94,290
XP_001238304.2,XP_025264813.1,4.00E-94,290,1.00E-94,290
XP_001238304.2,XP_025264814.1,4.00E-94,290,1.00E-94,290
XP_001238304.2,XP_025264815.1,3.00E-95,293,1.00E-95,293
XP_001238304.2,XP_025264816.1,3.00E-95,293,1.00E-95,293
XP_001238304.2,XP_025264817.1,2.00E-94,290,7.00E-95,290
XP_001238304.2,XP_025264818.1,7.00E-94,289,3.00E-94,289
XP_001238304.2,XP_025264819.1,7.00E-94,289,3.00E-94,289
XP_001238306.1,XP_011268201.1,5.00E-39,131,2.00E-39,131
XP_001238321.1,XP_025263015.1,8.00E-11,57.4,2.00E-11,57.4
XP_001238321.1,XP_025266185.1,3.00E-10,55.5,9.00E-11,55.5
XP_001238322.2,XP_025262659.1,0,987,0,974
XP_001238322.2,XP_025262660.1,0,983,0,971
XP_001238322.2,XP_025262661.1,0,984,0,972
XP_001238322.2,XP_025262662.1,0,1004,0,990
XP_001238322.2,XP_025262663.1,0,1001,0,988
XP_001238322.2,XP_025262664.1,0,983,0,969
XP_001238322.2,XP_025262665.1,0,983,0,971
XP_001238322.2,XP_025262666.1,0,983,0,971
XP_001238322.2,XP_025262667.1,0,983,0,971
XP_001238322.2,XP_025262668.1,0,983,0,971
XP_001238322.2,XP_025262669.1,0,983,0,971
XP_001238322.2,XP_025262670.1,0,983,0,971
XP_001238322.2,XP_025262671.1,0,998,0,985
XP_001238354.2,XP_011264125.1,2.00E-37,137,1.00E-37,137
XP_001238360.1,XP_011254240.1,3.00E-10,53.9,1.00E-10,53.9
XP_001238361.2,XP_011255574.1,7.00E-134,402,3.00E-134,402
XP_001238364.2,XP_011269385.1,3.00E-94,287,2.00E-94,287
XP_001238387.2,XP_011258101.1,5.00E-49,157,2.00E-49,157
XP_001238387.2,XP_025261930.1,5.00E-49,157,2.00E-49,157
XP_001238433.2,XP_025267379.1,1.00E-139,409,1.00E-141,413
XP_001238452.2,XP_025268809.1,2.00E-15,66.2,1.00E-15,66.2
XP_001238453.1,XP_011259631.1,6.00E-59,191,2.00E-59,191
XP_001238474.3,XP_011256634.1,0,589,0,580
XP_001238476.3,XP_025269742.1,0,1320,0,1320
XP_001238481.1,XP_011260335.2,2.00E-28,109,4.00E-45,152
XP_001238481.1,XP_011265278.1,2.00E-29,111,6.00E-29,108
XP_001238517.2,XP_011260063.1,0,601,0,573
XP_001238545.2,XP_011258862.2,4.00E-82,245,2.00E-82,245
XP_001238550.1,XP_011257559.1,4.00E-37,129,1.00E-37,129
XP_001238576.3,XP_025270013.1,2.00E-33,132,5.00E-31,124
XP_001238801.1,XP_011266988.1,1.00E-16,74.7,5.00E-17,74.7
XP_001238801.1,XP_011266989.1,1.00E-16,74.7,5.00E-17,74.7
XP_001238801.1,XP_025264554.1,1.00E-16,74.7,5.00E-17,74.7
XP_001238802.1,XP_011259137.1,6.00E-18,74.7,3.00E-18,74.7
XP_001238803.2,XP_011268528.1,4.00E-136,417,2.00E-136,417
XP_001238805.2,XP_011250627.1,0,550,0,553
XP_001238805.2,XP_011250628.2,0,551,0,555
XP_001238809.3,XP_011264072.1,2.00E-48,156,7.00E-49,156
