temno,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
TGZ31851.1,XP_025263522.1,0,3311,0,3311
TGZ31852.1,XP_011261400.3,0,925,0,905
TGZ31853.1,XP_011252104.1,2.00E-96,283,4.00E-97,283
TGZ31853.1,XP_011252105.1,1.00E-98,288,1.00E-99,290
TGZ31855.1,XP_025262279.1,0,2161,0,2179
TGZ31855.1,XP_025262280.1,0,2115,0,2136
TGZ31858.1,XP_025270299.1,9.00E-33,112,3.00E-33,112
TGZ31859.1,XP_019882832.2,0,4242,0,4178
TGZ31860.1,XP_025263520.1,0,912,0,897
TGZ31860.1,XP_025263521.1,0,905,0,891
TGZ31863.1,XP_011261967.1,0,999,0,1011
TGZ31863.1,XP_011262050.1,0,999,0,1011
TGZ31863.1,XP_011262137.1,0,999,0,1011
TGZ31863.1,XP_025266462.1,0,999,0,1011
TGZ31864.1,XP_025266485.1,0,2051,0,2060
TGZ31864.1,XP_025266486.1,0,2051,0,2060
TGZ31864.1,XP_025266487.1,0,1966,0,1971
TGZ31864.1,XP_025266491.1,0,1952,0,1956
TGZ31869.1,XP_025269824.1,0,597,0,597
TGZ31870.1,XP_019884720.1,0,1036,0,1008
TGZ31874.1,XP_011264831.1,4.00E-174,492,2.00E-174,492
TGZ31875.1,XP_011264829.1,0,1173,0,1222
TGZ31876.1,XP_025268955.1,8.00E-105,307,3.00E-105,307
TGZ31884.1,XP_011252909.2,7.00E-148,429,6.00E-134,392
TGZ31885.1,XP_011252907.1,0,1472,0,1472
TGZ31886.1,XP_011252106.1,4.00E-177,493,2.00E-177,493
TGZ31887.1,XP_011266692.2,0,934,0,935
TGZ31890.1,XP_011252910.1,0,2073,0,2073
TGZ31890.1,XP_011252911.1,0,2073,0,2073
TGZ31891.1,XP_011261299.1,0,655,0,660
TGZ31892.1,XP_025261767.1,2.00E-55,169,1.00E-55,169
TGZ31893.1,XP_025261806.1,0,1491,0,1489
TGZ31894.1,XP_011261297.1,0,896,0,896
TGZ31895.1,XP_011257945.1,0,1794,0,1771
TGZ31895.1,XP_011257946.1,0,1795,0,1770
TGZ31895.1,XP_011257947.1,0,1808,0,1783
TGZ31895.1,XP_011257948.1,0,1795,0,1770
TGZ31896.1,XP_025265761.1,0,583,0,566
TGZ31896.1,XP_025265762.1,0,583,0,566
TGZ31896.1,XP_025265763.1,0,583,0,566
TGZ31896.1,XP_025265764.1,0,574,0,561
TGZ31896.1,XP_025265845.1,0,580,0,563
TGZ31896.1,XP_025269874.1,0,572,0,568
TGZ31897.1,XP_025265718.1,0,541,0,541
TGZ31897.1,XP_025265753.1,0,533,0,533
TGZ31897.1,XP_025266476.1,0,546,0,546
TGZ31897.1,XP_025266477.1,0,546,0,546
TGZ31897.1,XP_025266478.1,0,546,0,546
TGZ31897.1,XP_025266479.1,0,549,0,549
TGZ31897.1,XP_025266480.1,0,533,0,533
TGZ31898.1,XP_011257950.1,0,671,0,671
TGZ31898.1,XP_025266346.1,0,670,0,670
TGZ31901.1,XP_011261300.1,0,880,0,877
TGZ31904.1,XP_011264795.2,0,14538,0,14400
TGZ31904.1,XP_011264797.2,0,14544,0,14405
TGZ31904.1,XP_011264798.2,0,14540,0,14402
TGZ31904.1,XP_011264799.2,0,14546,0,14407
TGZ31904.1,XP_011264800.2,0,14491,0,14357
TGZ31904.1,XP_011264801.2,0,14480,0,14402
TGZ31904.1,XP_011264802.2,0,14552,0,14417
TGZ31904.1,XP_011264804.2,0,14479,0,14399
TGZ31904.1,XP_011264805.2,0,14496,0,14361
TGZ31904.1,XP_011264807.2,0,14468,0,14340
TGZ31904.1,XP_011264808.2,0,14540,0,14405
TGZ31904.1,XP_011264809.2,0,14539,0,14394
TGZ31904.1,XP_011264810.2,0,14548,0,14412
TGZ31904.1,XP_011264811.2,0,14388,0,14312
TGZ31904.1,XP_011264812.2,0,14487,0,14407
TGZ31904.1,XP_011264813.2,0,14361,0,14221
TGZ31904.1,XP_011264814.2,0,14388,0,14311
TGZ31904.1,XP_011264815.2,0,14485,0,14401
TGZ31904.1,XP_011264816.2,0,14481,0,14397
TGZ31904.1,XP_011264817.2,0,14633,0,14503
TGZ31904.1,XP_011264818.2,0,14633,0,14503
TGZ31904.1,XP_011264820.2,0,14633,0,14503
TGZ31904.1,XP_011264821.2,0,14481,0,14385
TGZ31904.1,XP_011264826.2,0,14520,0,14373
TGZ31904.1,XP_011264827.2,0,14567,0,14428
TGZ31904.1,XP_011264828.2,0,14348,0,14271
TGZ31904.1,XP_019884714.2,0,14539,0,14394
TGZ31904.1,XP_019884716.2,0,14542,0,14395
TGZ31904.1,XP_019884717.2,0,14545,0,14392
TGZ31904.1,XP_019884718.2,0,14542,0,14401
TGZ31904.1,XP_019884719.2,0,14549,0,14398
TGZ31904.1,XP_025269853.1,0,14558,0,14420
TGZ31904.1,XP_025269854.1,0,14539,0,14394
TGZ31904.1,XP_025269855.1,0,14476,0,14392
TGZ31904.1,XP_025269856.1,0,14659,0,14535
TGZ31904.1,XP_025269857.1,0,14520,0,14387
TGZ31906.1,XP_025262156.1,0,824,0,839
TGZ31906.1,XP_025262157.1,0,824,0,839
TGZ31906.1,XP_025262158.1,0,824,0,839
TGZ31907.1,XP_011252913.2,2.00E-113,327,4.00E-102,297
TGZ31907.1,XP_011252914.2,2.00E-113,327,4.00E-102,297
TGZ31907.1,XP_011252915.2,2.00E-113,327,4.00E-102,297
TGZ31908.1,XP_011252916.1,2.00E-140,399,2.00E-132,378
TGZ31908.1,XP_011252917.1,2.00E-140,399,2.00E-132,378
TGZ31908.1,XP_025269885.1,2.00E-140,399,2.00E-132,378
TGZ31908.1,XP_025269886.1,2.00E-140,399,2.00E-132,378
TGZ31909.1,XP_011254511.2,0,1382,0,1382
TGZ31909.1,XP_011254512.2,0,1382,0,1382
TGZ31910.1,XP_025262170.1,0,1036,0,1021
TGZ31911.1,XP_011254513.1,5.00E-160,452,1.00E-159,451
TGZ31915.1,XP_011265279.1,0,656,0,656
TGZ31915.1,XP_011265280.1,0,664,0,664
TGZ31917.1,XP_011252921.1,0,2261,0,2282
TGZ31917.1,XP_011252922.1,0,2251,0,2273
TGZ31917.1,XP_011252923.1,0,2249,0,2271
TGZ31917.1,XP_011252924.1,0,2269,0,2293
TGZ31917.1,XP_025269884.1,0,2257,0,2282
TGZ31920.1,XP_025267018.1,0,2905,0,2892
TGZ31922.1,XP_025267011.1,0,816,0,787
TGZ31922.1,XP_025267014.1,0,834,0,832
TGZ31922.1,XP_025267015.1,0,834,0,832
TGZ31922.1,XP_025267016.1,0,834,0,832
TGZ31922.1,XP_025267017.1,0,834,0,832
TGZ31922.1,XP_025268566.1,0,817,0,808
TGZ31922.1,XP_025269858.1,0,810,0,801
TGZ31923.1,XP_011254510.1,0,557,0,557
TGZ31926.1,XP_025262169.1,3.00E-127,366,1.00E-127,366
TGZ31928.1,XP_011264313.1,0,514,0,514
TGZ31928.1,XP_025262933.1,0,511,0,511
TGZ31930.1,XP_011264311.1,8.00E-168,485,2.00E-168,485
TGZ31930.1,XP_011264312.1,3.00E-164,474,7.00E-165,474
TGZ31931.1,XP_011251705.2,5.00E-108,319,3.00E-108,319
TGZ31931.1,XP_025267019.1,7.00E-108,319,4.00E-108,319
TGZ31933.1,XP_011265278.1,2.00E-71,218,5.00E-56,178
TGZ31943.1,XP_011258753.1,0,860,0,859
TGZ31943.1,XP_011258763.1,0,860,0,859
TGZ31945.1,XP_011258796.2,7.00E-145,409,3.00E-145,409
TGZ31946.1,XP_025267657.1,0,959,0,935
TGZ31948.1,XP_011258989.1,0,1434,0,1430
TGZ31949.1,XP_011258804.1,0,3461,0,3461
TGZ31949.1,XP_011258812.1,0,3461,0,3461
TGZ31949.1,XP_011258821.1,0,3461,0,3461
TGZ31949.1,XP_011258829.1,0,3461,0,3461
TGZ31949.1,XP_011258839.1,0,3454,0,3454
TGZ31949.1,XP_011258850.1,0,3466,0,3466
TGZ31949.1,XP_011258858.1,0,3466,0,3466
TGZ31949.1,XP_011258867.1,0,3462,0,3462
TGZ31949.1,XP_011258876.1,0,3449,0,3449
TGZ31949.1,XP_011258890.1,0,3466,0,3466
TGZ31949.1,XP_011258900.1,0,3468,0,3468
TGZ31949.1,XP_011258908.1,0,3465,0,3465
TGZ31949.1,XP_011258917.1,0,3469,0,3469
TGZ31949.1,XP_011258926.1,0,3476,0,3476
TGZ31949.1,XP_011258936.1,0,3345,0,3345
TGZ31949.1,XP_019883623.1,0,3332,0,3332
TGZ31949.1,XP_025264392.1,0,3466,0,3466
TGZ31949.1,XP_025264393.1,0,3471,0,3471
TGZ31949.1,XP_025264394.1,0,3360,0,3360
TGZ31949.1,XP_025264395.1,0,3350,0,3350
TGZ31949.1,XP_025264396.1,0,3338,0,3338
TGZ31951.1,XP_025265157.1,7.00E-172,494,4.00E-171,492
TGZ31951.1,XP_025265158.1,5.00E-172,492,5.00E-172,491
TGZ31951.1,XP_025265159.1,5.00E-172,492,5.00E-172,491
TGZ31951.1,XP_025265160.1,2.00E-172,493,3.00E-172,492
TGZ31951.1,XP_025265161.1,2.00E-172,492,2.00E-172,492
TGZ31953.1,XP_011269784.1,0,678,0,678
TGZ31954.1,XP_011269785.1,0,666,0,645
TGZ31954.1,XP_011269786.1,0,666,0,645
TGZ31956.1,XP_011265711.1,0,833,0,850
TGZ31956.1,XP_025265115.1,0,836,0,852
TGZ31956.1,XP_025265116.1,0,833,0,850
TGZ31957.1,XP_011265709.1,0,524,0,524
TGZ31973.1,XP_011265714.1,1.00E-77,232,4.00E-78,232
TGZ31975.1,XP_011265698.1,0,684,0,683
TGZ31975.1,XP_011265699.1,0,684,0,683
TGZ31977.1,XP_011265694.1,0,870,0,889
TGZ31977.1,XP_011265695.1,0,879,0,898
TGZ31979.1,XP_025265168.1,2.00E-163,486,9.00E-164,486
TGZ31979.1,XP_025265169.1,3.00E-162,483,1.00E-162,483
TGZ31980.1,XP_011265696.1,4.00E-140,397,3.00E-140,396
TGZ31980.1,XP_011265697.1,4.00E-140,397,3.00E-140,396
TGZ31981.1,XP_011265707.1,0,796,0,796
TGZ31983.1,XP_011261444.1,0,2456,0,2440
TGZ31986.1,XP_025269730.1,0,2138,0,2138
TGZ31990.1,XP_011261438.1,0,1206,0,1195
TGZ31990.1,XP_011261439.1,0,1206,0,1195
TGZ31990.1,XP_011261440.1,0,1206,0,1195
TGZ31990.1,XP_025268953.1,0,1206,0,1195
TGZ31990.1,XP_025268954.1,0,1206,0,1195
TGZ31992.1,XP_011261441.1,0,1240,0,1220
TGZ31992.1,XP_011261442.1,0,1240,0,1220
TGZ32001.1,XP_011254703.1,0,1159,0,1159
TGZ32002.1,XP_011262314.1,0,1845,0,1853
TGZ32003.1,XP_025263458.1,0,1175,0,1260
TGZ32003.1,XP_025263459.1,0,1183,0,1268
TGZ32004.1,XP_011267935.1,0,1771,0,1771
TGZ32005.1,XP_025267519.1,0,567,0,603
TGZ32006.1,XP_011267938.1,0,967,0,967
TGZ32007.1,XP_025267560.1,4.00E-93,273,3.00E-93,273
TGZ32008.1,XP_011267925.1,0,960,0,960
TGZ32009.1,XP_025267542.1,0,1206,0,1218
TGZ32010.1,XP_011267934.2,0,1844,0,1854
TGZ32011.1,XP_011267932.1,0,534,0,534
TGZ32011.1,XP_025267595.1,0,523,0,523
TGZ32012.1,XP_011267942.1,1.00E-43,140,1.00E-43,139
TGZ32014.1,XP_011262714.1,0,852,0,852
TGZ32014.1,XP_011262715.1,0,852,0,852
TGZ32014.1,XP_019884347.1,0,863,0,863
TGZ32015.1,XP_011262717.1,0,511,0,512
TGZ32017.1,XP_011262718.1,0,929,0,904
TGZ32019.1,XP_011262722.2,2.00E-116,347,2.00E-124,366
TGZ32020.1,XP_011267967.1,0,1363,0,1363
TGZ32020.1,XP_011267971.1,0,1363,0,1362
TGZ32020.1,XP_019885311.1,0,1363,0,1363
TGZ32020.1,XP_025267573.1,0,1359,0,1358
TGZ32020.1,XP_025267574.1,0,1360,0,1359
TGZ32020.1,XP_025267575.1,0,1367,0,1366
TGZ32020.1,XP_025267576.1,0,1367,0,1367
TGZ32020.1,XP_025267577.1,0,1363,0,1363
TGZ32020.1,XP_025267578.1,0,1363,0,1362
TGZ32020.1,XP_025267579.1,0,1370,0,1369
TGZ32020.1,XP_025267580.1,0,1364,0,1363
TGZ32020.1,XP_025267581.1,0,1363,0,1363
TGZ32020.1,XP_025267582.1,0,1362,0,1362
TGZ32020.1,XP_025267583.1,0,1362,0,1362
TGZ32021.1,XP_011267965.1,6.00E-143,406,1.00E-148,420
TGZ32022.1,XP_011267964.1,1.00E-91,273,4.00E-99,291
TGZ32025.1,XP_011254693.1,2.00E-162,454,4.00E-164,457
TGZ32030.1,XP_011254683.1,0,3513,0,3509
TGZ32031.1,XP_025261973.1,0,907,0,911
TGZ32033.1,XP_011267966.1,0,706,0,706
TGZ32035.1,XP_011267956.1,0,1753,0,1755
TGZ32035.1,XP_011267957.1,0,1758,0,1759
TGZ32035.1,XP_011267958.1,0,1761,0,1761
TGZ32035.1,XP_011267959.1,0,1753,0,1753
TGZ32035.1,XP_011267960.1,0,1754,0,1753
TGZ32035.1,XP_011267961.1,0,1753,0,1756
TGZ32037.1,XP_011267945.1,0,644,0,657
TGZ32038.1,XP_011267949.1,7.00E-135,382,3.00E-135,382
TGZ32039.1,XP_011267940.1,6.00E-154,444,8.00E-149,429
TGZ32040.1,XP_011267943.1,4.00E-80,237,8.00E-68,205
TGZ32040.1,XP_011267944.1,4.00E-80,237,8.00E-68,205
TGZ32045.1,XP_011262711.2,0,1211,0,1211
TGZ32046.1,XP_011262712.1,2.00E-35,125,1.00E-35,125
TGZ32047.1,XP_025267569.1,3.00E-175,497,0,524
TGZ32048.1,XP_011262709.1,0,738,0,738
TGZ32049.1,XP_011262708.1,0,4148,0,4151
TGZ32050.1,XP_011261335.1,0,963,0,975
TGZ32051.1,XP_011261333.1,0,1037,0,1037
TGZ32052.1,XP_011251907.1,0,540,0,540
TGZ32053.1,XP_011267927.1,5.00E-118,335,2.00E-118,335
TGZ32053.1,XP_011267928.1,5.00E-118,335,2.00E-118,335
TGZ32053.1,XP_011267929.1,5.00E-118,335,2.00E-118,335
TGZ32053.1,XP_025267543.1,5.00E-118,335,2.00E-118,335
TGZ32055.1,XP_011267922.1,0,1711,0,1778
TGZ32055.1,XP_011267923.1,0,1715,0,1783
TGZ32064.1,XP_011250657.2,3.00E-92,290,2.00E-89,282
TGZ32064.1,XP_025264618.1,1.00E-92,291,5.00E-90,283
TGZ32064.1,XP_025267613.1,2.00E-92,290,1.00E-89,282
TGZ32064.1,XP_025267614.1,2.00E-92,290,1.00E-89,282
TGZ32064.1,XP_025270806.1,1.00E-91,288,6.00E-89,280
TGZ32065.1,XP_025266079.1,2.00E-39,140,8.00E-40,140
TGZ32065.1,XP_025266663.1,9.00E-38,135,5.00E-38,135
TGZ32065.1,XP_025267662.1,3.00E-38,136,2.00E-38,136
TGZ32065.1,XP_025268017.1,2.00E-39,140,8.00E-40,140
TGZ32065.1,XP_025271019.1,5.00E-39,139,3.00E-39,139
TGZ32071.1,XP_025265304.1,0,848,0,848
TGZ32071.1,XP_025265305.1,0,847,0,847
TGZ32071.1,XP_025265306.1,0,847,0,847
TGZ32071.1,XP_025265307.1,0,854,0,854
TGZ32071.1,XP_025265308.1,0,826,0,826
TGZ32076.1,XP_011257845.1,2.00E-111,318,9.00E-112,318
TGZ32078.1,XP_011254676.1,0,1211,0,1209
TGZ32078.1,XP_025264150.1,0,1211,0,1209
TGZ32078.1,XP_025264151.1,0,1188,0,1187
TGZ32079.1,XP_011254678.2,0,585,0,585
TGZ32081.1,XP_011254684.1,0,547,0,547
TGZ32085.1,XP_011265297.1,0,674,0,682
TGZ32095.1,XP_011252308.1,3.00E-86,259,1.00E-82,249
TGZ32096.1,XP_011252309.2,2.00E-79,250,6.00E-80,250
TGZ32097.1,XP_011251960.1,2.00E-57,177,1.00E-64,194
TGZ32106.1,XP_011265341.1,0,1495,0,1471
TGZ32110.1,XP_011265319.3,0,577,0,605
TGZ32113.1,XP_011265324.1,0,2301,0,2301
TGZ32113.1,XP_011265325.1,0,2266,0,2266
TGZ32114.1,XP_011265329.1,9.00E-155,434,3.00E-146,411
TGZ32114.1,XP_025268209.1,9.00E-155,434,3.00E-146,411
TGZ32115.1,XP_011265321.1,0,998,0,978
TGZ32116.1,XP_011265323.1,9.00E-159,453,5.00E-150,430
TGZ32117.1,XP_011265328.1,1.00E-123,352,4.00E-124,352
TGZ32118.1,XP_011265330.1,3.00E-165,461,4.00E-174,483
TGZ32119.1,XP_011265295.1,1.00E-49,164,3.00E-50,164
TGZ32119.1,XP_011265296.1,1.00E-49,164,3.00E-50,164
TGZ32120.1,XP_011262406.1,0,3228,0,3250
TGZ32121.1,XP_011267409.1,0,615,0,575
TGZ32121.1,XP_011267410.1,0,615,0,575
TGZ32121.1,XP_011267411.1,0,615,0,575
TGZ32121.1,XP_025266688.1,0,615,0,575
TGZ32122.1,XP_011267408.2,3.00E-133,388,4.00E-142,409
TGZ32123.1,XP_025268226.1,0,623,0,659
TGZ32128.1,XP_011251951.1,7.00E-112,320,3.00E-112,320
TGZ32130.1,XP_011251967.2,0,635,0,681
TGZ32131.1,XP_011251950.1,2.00E-149,421,2.00E-149,419
TGZ32132.1,XP_011251952.1,0,1216,0,1216
TGZ32133.1,XP_019882277.1,2.00E-175,491,6.00E-176,491
TGZ32137.1,XP_011252470.1,0,994,0,994
TGZ32137.1,XP_011252479.1,0,994,0,994
TGZ32140.1,XP_011252493.1,3.00E-154,449,4.00E-152,443
TGZ32141.1,XP_019882364.1,3.00E-31,106,1.00E-31,106
TGZ32142.1,XP_011252512.1,0,3411,0,3370
TGZ32148.1,XP_025263332.1,0,662,0,692
TGZ32149.1,XP_011262345.1,9.00E-141,404,9.00E-138,396
TGZ32149.1,XP_011262353.1,8.00E-141,404,1.00E-137,396
TGZ32150.1,XP_025261987.1,0,796,0,796
TGZ32150.1,XP_025261988.1,0,774,0,774
TGZ32150.1,XP_025261990.1,0,774,0,774
TGZ32150.1,XP_025262010.1,0,775,0,775
TGZ32156.1,XP_025268222.1,0,1944,0,1927
TGZ32156.1,XP_025268223.1,0,1919,0,1904
TGZ32164.1,XP_011252310.1,1.00E-139,400,1.00E-139,400
TGZ32164.1,XP_011252311.1,3.00E-140,401,2.00E-140,401
TGZ32164.1,XP_011252312.1,1.00E-140,401,8.00E-141,401
TGZ32172.1,XP_011258501.1,0,1036,0,1052
TGZ32174.1,XP_011265335.3,0,723,0,723
TGZ32175.1,XP_011265334.1,0,646,0,646
TGZ32176.1,XP_011265331.1,0,758,0,773
TGZ32176.1,XP_011265333.1,0,758,0,773
TGZ32177.1,XP_011265301.1,3.00E-151,424,1.00E-143,404
TGZ32177.1,XP_011265302.1,3.00E-151,424,1.00E-143,404
TGZ32179.1,XP_011265303.1,2.00E-99,288,9.00E-100,288
TGZ32179.1,XP_025268211.1,2.00E-99,288,9.00E-100,288
TGZ32180.1,XP_019883465.1,5.00E-148,446,6.00E-146,440
TGZ32183.1,XP_011265309.2,8.00E-83,246,3.00E-83,246
TGZ32185.1,XP_011265310.1,0,1651,0,1640
TGZ32185.1,XP_011265312.1,0,1651,0,1640
TGZ32185.1,XP_011265314.1,0,1618,0,1607
TGZ32185.1,XP_019884816.1,0,1659,0,1647
TGZ32185.1,XP_019884817.1,0,1587,0,1576
TGZ32186.1,XP_011265304.1,0,1837,0,1833
TGZ32186.1,XP_011265307.1,0,1788,0,1784
TGZ32186.1,XP_025268217.1,0,1835,0,1832
TGZ32186.1,XP_025268218.1,0,1835,0,1832
TGZ32186.1,XP_025268219.1,0,1836,0,1833
TGZ32186.1,XP_025268220.1,0,1836,0,1833
TGZ32187.1,XP_011262384.2,0,788,0,769
TGZ32189.1,XP_011262331.1,3.00E-170,479,4.00E-159,449
TGZ32190.1,XP_011264418.1,0,1048,0,1048
TGZ32190.1,XP_011264420.1,0,1048,0,1048
TGZ32190.1,XP_011264421.1,0,1048,0,1048
TGZ32190.1,XP_011264423.1,0,1048,0,1048
TGZ32190.1,XP_025263386.1,0,1048,0,1048
TGZ32190.1,XP_025263387.1,0,1048,0,1048
TGZ32190.1,XP_025263388.1,0,1048,0,1048
TGZ32190.1,XP_025263389.1,0,1048,0,1048
TGZ32190.1,XP_025263390.1,0,1048,0,1048
TGZ32190.1,XP_025263391.1,0,1048,0,1048
TGZ32190.1,XP_025263392.1,0,1048,0,1048
TGZ32190.1,XP_025263393.1,0,1048,0,1048
TGZ32190.1,XP_025263394.1,0,1048,0,1048
TGZ32190.1,XP_025263395.1,0,1048,0,1048
TGZ32191.1,XP_011264417.2,9.00E-142,398,4.00E-142,398
TGZ32194.1,XP_025263331.1,0,1857,0,1857
TGZ32195.1,XP_011251963.2,0,3312,0,3350
TGZ32195.1,XP_011251964.2,0,3321,0,3361
TGZ32195.1,XP_011251965.2,0,3320,0,3360
TGZ32195.1,XP_011251966.2,0,3330,0,3369
TGZ32197.1,XP_011251962.1,4.00E-155,434,2.00E-155,434
TGZ32200.1,XP_011259539.1,0,1061,0,1061
TGZ32202.1,XP_011269560.1,3.00E-130,372,6.00E-135,383
TGZ32202.1,XP_019885582.1,3.00E-123,356,9.00E-128,367
TGZ32204.1,XP_011269561.1,0,851,0,851
TGZ32204.1,XP_011269562.1,0,858,0,858
TGZ32205.1,XP_011265292.1,0,1865,0,1865
TGZ32205.1,XP_025268225.1,0,1785,0,1785
TGZ32207.1,XP_011261348.1,0,1077,0,1075
TGZ32208.1,XP_025262294.1,0,2173,0,2173
TGZ32208.1,XP_025262295.1,0,2179,0,2179
TGZ32208.1,XP_025262296.1,0,2173,0,2173
TGZ32210.1,XP_011255701.1,1.00E-82,244,5.00E-87,254
TGZ32210.1,XP_011255702.1,4.00E-81,240,2.00E-85,250
TGZ32210.1,XP_011255703.1,4.00E-81,240,2.00E-85,250
TGZ32210.1,XP_011255705.1,4.00E-81,240,2.00E-85,250
TGZ32211.1,XP_011255700.1,1.00E-124,353,5.00E-125,353
TGZ32212.1,XP_011268986.1,5.00E-175,492,2.00E-175,492
TGZ32212.1,XP_011268988.1,5.00E-175,492,2.00E-175,492
TGZ32213.1,XP_025271211.1,5.00E-54,166,2.00E-54,166
TGZ32213.1,XP_025271212.1,5.00E-54,166,2.00E-54,166
TGZ32214.1,XP_025267866.1,2.00E-35,133,6.00E-37,136
TGZ32214.1,XP_025267867.1,1.00E-35,133,4.00E-37,136
TGZ32214.1,XP_025267868.1,5.00E-36,133,2.00E-37,136
TGZ32215.1,XP_025269397.1,0,559,0,532
TGZ32216.1,XP_011261970.1,1.00E-57,176,5.00E-58,176
TGZ32216.1,XP_011261971.1,9.00E-56,171,4.00E-56,171
TGZ32217.1,XP_025269532.1,0,803,0,803
TGZ32219.1,XP_011261994.1,7.00E-110,335,2.00E-110,335
TGZ32219.1,XP_011261996.1,7.00E-110,335,2.00E-110,335
TGZ32219.1,XP_025269551.1,7.00E-110,335,2.00E-110,335
TGZ32220.1,XP_011261989.1,1.00E-142,423,2.00E-142,422
TGZ32220.1,XP_011261992.1,5.00E-147,434,2.00E-147,434
TGZ32220.1,XP_019884165.1,5.00E-142,421,3.00E-142,421
TGZ32221.1,XP_011261972.1,0,1852,0,1852
TGZ32221.1,XP_011261973.1,0,1852,0,1852
TGZ32221.1,XP_011261974.1,0,1852,0,1852
TGZ32221.1,XP_011261975.1,0,1807,0,1808
TGZ32222.1,XP_011261976.1,0,784,0,781
TGZ32222.1,XP_019884166.1,0,824,0,819
TGZ32222.1,XP_025269394.1,0,825,0,819
TGZ32223.1,XP_011261984.1,0,523,0,523
TGZ32223.1,XP_011261985.1,0,523,0,523
TGZ32223.1,XP_011261986.1,0,523,0,523
TGZ32223.1,XP_011261987.1,0,523,0,523
TGZ32225.1,XP_011253395.1,3.00E-86,257,1.00E-86,257
TGZ32225.1,XP_019882576.1,1.00E-84,253,6.00E-85,253
TGZ32225.1,XP_019882577.1,1.00E-84,253,6.00E-85,253
TGZ32225.1,XP_025266644.1,1.00E-84,253,6.00E-85,253
TGZ32225.1,XP_025266645.1,1.00E-84,253,6.00E-85,253
TGZ32225.1,XP_025266646.1,3.00E-86,257,1.00E-86,257
TGZ32225.1,XP_025266647.1,3.00E-86,257,1.00E-86,257
TGZ32226.1,XP_025262681.1,0,1282,0,1303
TGZ32227.1,XP_025266603.1,0,880,0,879
