cflo,clonal ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_011250770.1,XP_011330924.1,0,2626,0,2595
XP_011250770.1,XP_026827815.1,0,2618,0,2587
XP_011250771.1,XP_011330924.1,0,2654,0,2620
XP_011250771.1,XP_026827815.1,0,2647,0,2615
XP_011250772.1,XP_011330924.1,0,2647,0,2613
XP_011250772.1,XP_026827815.1,0,2641,0,2607
XP_011250774.1,XP_011337063.1,3.00E-161,448,4.00E-161,448
XP_011250774.1,XP_011337064.1,3.00E-161,448,4.00E-161,448
XP_011250777.1,XP_011330933.1,8.00E-101,296,4.00E-112,325
XP_011250777.1,XP_011330934.1,3.00E-101,295,9.00E-113,325
XP_011250777.1,XP_011330936.1,3.00E-101,295,1.00E-112,324
XP_011250777.1,XP_011330937.1,3.00E-101,295,1.00E-112,324
XP_011250777.1,XP_011330938.1,3.00E-101,295,1.00E-112,324
XP_011250777.1,XP_011330939.1,3.00E-101,295,1.00E-112,324
XP_011250777.1,XP_011330940.1,3.00E-101,295,1.00E-112,324
XP_011250777.1,XP_011330941.1,3.00E-101,295,1.00E-112,324
XP_011250778.1,XP_011330933.1,8.00E-101,296,4.00E-112,325
XP_011250778.1,XP_011330934.1,3.00E-101,295,9.00E-113,325
XP_011250778.1,XP_011330936.1,3.00E-101,295,1.00E-112,324
XP_011250778.1,XP_011330937.1,3.00E-101,295,1.00E-112,324
XP_011250778.1,XP_011330938.1,3.00E-101,295,1.00E-112,324
XP_011250778.1,XP_011330939.1,3.00E-101,295,1.00E-112,324
XP_011250778.1,XP_011330940.1,3.00E-101,295,1.00E-112,324
XP_011250778.1,XP_011330941.1,3.00E-101,295,1.00E-112,324
XP_011250779.1,XP_011344353.1,0,745,0,743
XP_011250781.2,XP_011330930.1,7.00E-157,453,1.00E-156,453
XP_011250781.2,XP_011330932.1,2.00E-156,452,2.00E-156,452
XP_011250782.1,XP_011337063.1,3.00E-161,448,4.00E-161,448
XP_011250782.1,XP_011337064.1,3.00E-161,448,4.00E-161,448
XP_011250785.3,XP_011336417.2,0,548,0,548
XP_011250788.1,XP_011338823.1,0,1479,0,1461
XP_011250788.1,XP_011338824.1,0,1474,0,1457
XP_011250789.1,XP_011338825.1,0,662,0,662
XP_011250789.1,XP_026826004.1,0,645,0,645
XP_011250789.1,XP_026826005.1,0,645,0,645
XP_011250794.1,XP_011337060.1,0,536,0,536
XP_011250796.1,XP_019887510.1,0,589,3.00E-180,537
XP_011250796.1,XP_026825827.1,0,589,3.00E-180,537
XP_011250796.1,XP_026825828.1,0,589,3.00E-180,537
XP_011250796.1,XP_026825829.1,0,589,3.00E-180,537
XP_011250796.1,XP_026825830.1,0,589,3.00E-180,537
XP_011250796.1,XP_026825831.1,0,589,3.00E-180,537
XP_011250796.1,XP_026825833.1,0,589,3.00E-180,537
XP_011250797.1,XP_011338836.2,0,5494,0,5461
XP_011250797.1,XP_026826377.1,0,5494,0,5461
XP_011250797.1,XP_026826378.1,0,5503,0,5469
XP_011250799.2,XP_019886320.1,0,565,3.00E-174,497
XP_011250800.1,XP_011332555.1,1.00E-51,160,1.00E-43,140
XP_011250801.1,XP_011337061.1,0,577,0,577
XP_011250809.1,XP_011337062.1,2.00E-180,503,0,505
XP_011250812.1,XP_011345590.1,0,1334,0,1293
XP_011250813.1,XP_011345591.3,0,1779,0,1779
XP_011250814.1,XP_011352102.1,2.00E-137,386,2.00E-137,386
XP_011250826.1,XP_011345592.2,9.00E-160,449,5.00E-157,442
XP_011250827.1,XP_011345595.1,1.00E-140,406,1.00E-140,406
XP_011250827.1,XP_011345596.1,1.00E-140,406,1.00E-140,406
XP_011250827.1,XP_011345597.1,1.00E-140,406,1.00E-140,406
XP_011250828.1,XP_011345608.1,0,531,0,511
XP_011250829.1,XP_011345608.1,0,531,0,511
XP_011250830.1,XP_011345608.1,0,531,0,511
XP_011250831.1,XP_011345610.1,0,833,0,873
XP_011250832.1,XP_011345635.1,0,738,0,738
XP_011250832.1,XP_026826537.1,0,759,0,759
XP_011250833.1,XP_011337058.1,2.00E-142,410,4.00E-143,412
XP_011250833.1,XP_011337059.1,2.00E-143,413,3.00E-144,415
XP_011250835.1,XP_019888748.2,1.00E-40,137,6.00E-35,122
XP_011250836.1,XP_019888757.1,2.00E-27,102,2.00E-27,102
XP_011250838.1,XP_019888749.1,2.00E-35,122,2.00E-35,122
XP_011250838.1,XP_019888750.1,2.00E-35,122,2.00E-35,122
XP_011250838.1,XP_019888751.1,2.00E-35,122,2.00E-35,122
XP_011250838.1,XP_019888752.1,2.00E-35,122,2.00E-35,122
XP_011250838.1,XP_019888753.1,2.00E-35,122,2.00E-35,122
XP_011250838.1,XP_019888754.1,2.00E-35,122,2.00E-35,122
XP_011250838.1,XP_019888755.1,2.00E-35,122,2.00E-35,122
XP_011250841.1,XP_011345637.1,0,1156,0,1156
XP_011250842.1,XP_011345636.1,1.00E-123,350,1.00E-123,350
XP_011250843.1,XP_026826079.1,0,1085,0,1073
XP_011250843.1,XP_026826080.1,0,1085,0,1073
XP_011250843.1,XP_026826081.1,0,1086,0,1073
XP_011250843.1,XP_026826082.1,0,1094,0,1082
XP_011250843.1,XP_026826083.1,0,1095,0,1082
XP_011250843.1,XP_026826084.1,0,1051,0,1038
XP_011250843.1,XP_026826085.1,0,1061,0,1048
XP_011250844.1,XP_026826079.1,0,1085,0,1073
XP_011250844.1,XP_026826080.1,0,1085,0,1073
XP_011250844.1,XP_026826081.1,0,1086,0,1073
XP_011250844.1,XP_026826082.1,0,1094,0,1082
XP_011250844.1,XP_026826083.1,0,1095,0,1082
XP_011250844.1,XP_026826084.1,0,1051,0,1038
XP_011250844.1,XP_026826085.1,0,1061,0,1048
XP_011250845.1,XP_026826079.1,0,1080,0,1066
