pogo,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_011629484.1,XP_011264321.1,0,832,0,808
XP_011629484.1,XP_011264322.1,0,832,0,808
XP_011629485.1,XP_011264318.1,0,832,0,808
XP_011629485.1,XP_011264320.1,0,832,0,808
XP_011629485.1,XP_011264321.1,0,832,0,808
XP_011629485.1,XP_011264322.1,0,832,0,808
XP_011629487.1,XP_011264323.1,0,1336,0,1336
XP_011629487.1,XP_011264324.1,0,1320,0,1320
XP_011629487.1,XP_011264325.1,0,1287,0,1287
XP_011629487.1,XP_025269935.1,0,1272,0,1272
XP_011629488.1,XP_011264323.1,0,1320,0,1320
XP_011629488.1,XP_011264324.1,0,1325,0,1325
XP_011629488.1,XP_011264325.1,0,1272,0,1272
XP_011629488.1,XP_025269935.1,0,1276,0,1276
XP_011629489.1,XP_011264323.1,0,1287,0,1287
XP_011629489.1,XP_011264324.1,0,1272,0,1272
XP_011629489.1,XP_011264325.1,0,1299,0,1299
XP_011629489.1,XP_025269935.1,0,1284,0,1284
XP_011629490.1,XP_011254703.1,0,1212,0,1197
XP_011629491.1,XP_011254693.1,2.00E-173,481,2.00E-173,481
XP_011629492.1,XP_011254683.1,0,3473,0,3426
XP_011629493.1,XP_025266022.1,4.00E-41,143,9.00E-39,136
XP_011629494.1,XP_025261973.1,0,878,0,856
XP_011629495.1,XP_025261973.1,0,878,0,856
XP_011629496.1,XP_025261973.1,0,865,0,842
XP_011629498.1,XP_025261949.1,1.00E-44,143,5.00E-45,143
XP_011629499.1,XP_025267600.1,0,1223,0,1226
XP_011629501.1,XP_011267920.1,0,1026,0,1040
XP_011629501.1,XP_011267921.1,0,1020,0,1033
XP_011629502.1,XP_011267920.1,0,1008,0,1021
XP_011629502.1,XP_011267921.1,0,1002,0,1014
XP_011629503.1,XP_011267920.1,0,1041,0,1055
XP_011629503.1,XP_011267921.1,0,1035,0,1048
XP_011629504.1,XP_011267920.1,0,1023,0,1036
XP_011629504.1,XP_011267921.1,0,1017,0,1030
XP_011629505.1,XP_011269161.1,1.00E-50,160,4.00E-48,153
XP_011629506.1,XP_011267922.1,0,2045,0,2087
XP_011629506.1,XP_011267923.1,0,2061,0,2103
XP_011629507.1,XP_011267925.1,0,966,0,966
XP_011629508.1,XP_025267542.1,0,1283,0,1292
XP_011629509.1,XP_025267595.1,0,563,0,563
XP_011629510.1,XP_011267932.1,0,527,0,527
XP_011629511.1,XP_011269161.1,9.00E-50,158,2.00E-47,151
XP_011629512.1,XP_011267935.1,0,1785,0,1785
XP_011629513.1,XP_025267519.1,0,573,0,608
XP_011629514.1,XP_011267934.2,0,1844,0,1866
XP_011629516.1,XP_025267560.1,2.00E-109,319,9.00E-110,319
XP_011629517.1,XP_011267938.1,0,953,0,954
XP_011629519.1,XP_011267940.1,1.00E-168,474,9.00E-159,449
XP_011629520.1,XP_025267528.1,6.00E-153,431,4.00E-153,431
XP_011629521.1,XP_011267941.2,0,1762,0,1746
XP_011629522.1,XP_011267942.1,5.00E-43,139,6.00E-43,138
XP_011629523.1,XP_011269158.1,0,720,0,716
XP_011629524.1,XP_011267943.1,1.00E-86,253,1.00E-75,225
XP_011629524.1,XP_011267944.1,1.00E-86,253,1.00E-75,225
XP_011629525.1,XP_011267943.1,1.00E-86,253,1.00E-75,225
XP_011629525.1,XP_011267944.1,1.00E-86,253,1.00E-75,225
XP_011629526.1,XP_011267945.1,0,659,0,672
XP_011629527.1,XP_011267946.1,2.00E-82,241,2.00E-82,241
XP_011629528.1,XP_011267949.1,2.00E-135,383,1.00E-135,383
XP_011629532.1,XP_011269158.1,0,702,0,700
XP_011629532.1,XP_011269159.1,0,737,0,736
XP_011629533.1,XP_011267952.3,2.00E-91,269,1.00E-97,285
XP_011629534.1,XP_011267955.1,3.00E-115,333,2.00E-125,358
XP_011629535.1,XP_011267956.1,0,2063,0,2063
XP_011629535.1,XP_011267957.1,0,1998,0,1998
XP_011629535.1,XP_011267958.1,0,2039,0,2039
XP_011629536.1,XP_011267956.1,0,2038,0,2038
XP_011629536.1,XP_011267957.1,0,1973,0,1973
XP_011629536.1,XP_011267958.1,0,2045,0,2045
XP_011629537.1,XP_011267959.1,0,1959,0,1959
XP_011629537.1,XP_011267960.1,0,1900,0,1900
XP_011629537.1,XP_011267961.1,0,1899,0,1899
XP_011629538.1,XP_011267957.1,0,1908,0,1908
XP_011629538.1,XP_011267959.1,0,1900,0,1900
XP_011629538.1,XP_011267960.1,0,1900,0,1900
XP_011629538.1,XP_011267961.1,0,1906,0,1906
XP_011629539.1,XP_011267963.1,0,1783,0,1783
XP_011629542.1,XP_011269157.1,7.00E-167,471,1.00E-152,435
XP_011629543.1,XP_011267964.1,3.00E-97,288,9.00E-90,268
XP_011629545.1,XP_025269925.1,0,1036,0,1049
XP_011629547.2,XP_011254648.3,5.00E-170,493,4.00E-159,464
XP_011629548.1,XP_011267927.1,1.00E-84,249,1.00E-84,249
XP_011629548.1,XP_011267928.1,1.00E-84,249,1.00E-84,249
XP_011629548.1,XP_011267929.1,1.00E-84,249,1.00E-84,249
XP_011629548.1,XP_025267543.1,1.00E-84,249,1.00E-84,249
XP_011629549.1,XP_025267520.1,3.00E-62,192,1.00E-54,172
XP_011629550.1,XP_025266036.1,0,654,0,623
XP_011629551.1,XP_011251714.1,0,1156,0,1118
XP_011629551.1,XP_011251715.1,0,1156,0,1118
XP_011629551.1,XP_025269710.1,0,1156,0,1118
XP_011629553.1,XP_011251716.1,0,1236,0,1229
XP_011629554.1,XP_011251711.1,0,717,0,717
XP_011629555.1,XP_011257109.1,2.00E-53,169,1.00E-53,169
XP_011629555.1,XP_011257110.1,2.00E-53,169,1.00E-53,169
XP_011629556.1,XP_025266036.1,0,654,0,623
XP_011629557.1,XP_011257109.1,2.00E-53,169,1.00E-53,169
XP_011629557.1,XP_011257110.1,2.00E-53,169,1.00E-53,169
XP_011629558.1,XP_011257112.1,0,1189,0,1404
XP_011629559.1,XP_011257111.1,0,2266,0,2269
XP_011629560.1,XP_011257108.1,0,655,0,655
XP_011629564.1,XP_025266036.1,0,632,0,601
XP_011629567.1,XP_011257103.1,8.00E-89,259,5.00E-89,259
XP_011629568.1,XP_011257104.1,6.00E-74,220,4.00E-74,220
XP_011629570.1,XP_019883269.1,3.00E-26,94,2.00E-26,94
XP_011629571.1,XP_025267335.1,0,787,0,763
XP_011629572.1,XP_025267335.1,0,781,0,758
XP_011629573.1,XP_025266036.1,0,632,0,601
XP_011629574.1,XP_025267335.1,0,773,0,749
XP_011629575.1,XP_025267275.1,5.00E-92,270,3.00E-92,270
XP_011629576.1,XP_025267292.1,0,1540,0,1516
XP_011629577.1,XP_025267292.1,0,1612,0,1587
XP_011629579.1,XP_011257094.1,5.00E-46,149,3.00E-46,149
XP_011629581.1,XP_025266036.1,0,632,0,601
XP_011629582.1,XP_011266861.1,0,1509,0,1509
XP_011629582.1,XP_011266863.1,0,1509,0,1509
XP_011629582.1,XP_025266964.1,0,1509,0,1509
XP_011629582.1,XP_025266965.1,0,1509,0,1509
XP_011629582.1,XP_025266967.1,0,1509,0,1509
XP_011629583.1,XP_011266861.1,0,1509,0,1509
XP_011629583.1,XP_011266863.1,0,1509,0,1509
XP_011629583.1,XP_025266964.1,0,1509,0,1509
XP_011629583.1,XP_025266965.1,0,1509,0,1509
XP_011629583.1,XP_025266967.1,0,1509,0,1509
XP_011629584.1,XP_011266861.1,0,1509,0,1509
XP_011629584.1,XP_011266863.1,0,1509,0,1509
XP_011629584.1,XP_025266964.1,0,1509,0,1509
XP_011629584.1,XP_025266965.1,0,1509,0,1509
XP_011629584.1,XP_025266967.1,0,1509,0,1509
XP_011629590.1,XP_025266036.1,0,632,0,601
XP_011629591.1,XP_011266860.1,0,1317,0,1317
XP_011629591.1,XP_025266959.1,0,1319,0,1319
XP_011629594.1,XP_011251708.1,3.00E-88,259,3.00E-88,259
XP_011629594.1,XP_025269712.1,3.00E-88,259,3.00E-88,259
XP_011629596.1,XP_011257099.1,0,1208,0,1207
XP_011629598.2,XP_011257093.1,0,627,0,627
XP_011629599.1,XP_011259824.1,2.00E-72,218,1.00E-72,218
XP_011629599.1,XP_019883736.1,2.00E-72,218,1.00E-72,218
XP_011629601.1,XP_025265982.1,0,562,0,562
XP_011629602.1,XP_025266742.1,1.00E-58,182,6.00E-59,182
XP_011629602.1,XP_025266743.1,1.00E-58,182,6.00E-59,182
XP_011629604.1,XP_025266742.1,1.00E-58,182,6.00E-59,182
XP_011629604.1,XP_025266743.1,1.00E-58,182,6.00E-59,182
XP_011629605.1,XP_025266742.1,1.00E-58,182,6.00E-59,182
XP_011629605.1,XP_025266743.1,1.00E-58,182,6.00E-59,182
XP_011629607.1,XP_011257021.1,2.00E-132,377,1.00E-132,377
XP_011629608.1,XP_011262569.1,0,710,0,710
XP_011629609.1,XP_011262569.1,0,721,0,721
XP_011629613.2,XP_025266052.1,1.00E-137,400,1.00E-137,400
XP_011629613.2,XP_025266053.1,1.00E-137,400,1.00E-137,400
XP_011629613.2,XP_025266054.1,1.00E-137,400,1.00E-137,400
XP_011629614.1,XP_011257020.1,0,2347,0,2360
XP_011629621.1,XP_011256130.1,0,803,0,800
XP_011629623.1,XP_011256131.1,0,691,0,688
XP_011629623.1,XP_011256132.1,0,695,0,692
XP_011629624.1,XP_011256131.1,0,702,0,698
XP_011629624.1,XP_011256132.1,0,691,0,687
XP_011629625.1,XP_011256125.1,0,777,0,739
XP_011629625.1,XP_011256126.1,0,780,0,741
XP_011629625.1,XP_011256127.1,0,778,0,739
XP_011629626.1,XP_011256125.1,0,771,0,733
XP_011629626.1,XP_011256126.1,0,778,0,738
XP_011629626.1,XP_011256127.1,0,778,0,740
XP_011629627.1,XP_011263791.1,0,2108,0,2125
XP_011629627.1,XP_011263792.1,0,2057,0,2085
XP_011629628.1,XP_011263791.1,0,2113,0,2130
XP_011629628.1,XP_011263792.1,0,2062,0,2090
XP_011629629.1,XP_011263791.1,0,2060,0,2085
XP_011629629.1,XP_011263792.1,0,2059,0,2085
XP_011629630.2,XP_011263789.1,0,912,0,907
XP_011629630.2,XP_011263790.1,0,912,0,907
XP_011629631.1,XP_011256081.1,0,570,0,570
XP_011629633.1,XP_025262659.1,0,1471,0,1473
XP_011629633.1,XP_025262660.1,0,1449,0,1451
XP_011629633.1,XP_025262661.1,0,1468,0,1470
XP_011629633.1,XP_025262664.1,0,1519,0,1507
XP_011629633.1,XP_025262665.1,0,1466,0,1467
XP_011629633.1,XP_025262666.1,0,1466,0,1467
XP_011629633.1,XP_025262667.1,0,1466,0,1467
XP_011629633.1,XP_025262668.1,0,1466,0,1467
XP_011629633.1,XP_025262669.1,0,1466,0,1467
XP_011629633.1,XP_025262670.1,0,1466,0,1467
XP_011629634.1,XP_025262659.1,0,1451,0,1452
XP_011629634.1,XP_025262660.1,0,1460,0,1462
XP_011629634.1,XP_025262661.1,0,1447,0,1449
XP_011629634.1,XP_025262664.1,0,1498,0,1486
XP_011629634.1,XP_025262665.1,0,1446,0,1447
XP_011629634.1,XP_025262666.1,0,1446,0,1447
XP_011629634.1,XP_025262667.1,0,1446,0,1447
XP_011629634.1,XP_025262668.1,0,1446,0,1447
XP_011629634.1,XP_025262669.1,0,1446,0,1447
XP_011629634.1,XP_025262670.1,0,1446,0,1447
XP_011629635.1,XP_025262659.1,0,1471,0,1471
XP_011629635.1,XP_025262660.1,0,1448,0,1448
XP_011629635.1,XP_025262661.1,0,1467,0,1467
XP_011629635.1,XP_025262664.1,0,1466,0,1466
XP_011629635.1,XP_025262665.1,0,1508,0,1508
XP_011629635.1,XP_025262666.1,0,1508,0,1508
XP_011629635.1,XP_025262667.1,0,1508,0,1508
XP_011629635.1,XP_025262668.1,0,1508,0,1508
XP_011629635.1,XP_025262669.1,0,1508,0,1508
XP_011629635.1,XP_025262670.1,0,1508,0,1508
XP_011629636.1,XP_025262659.1,0,1471,0,1471
XP_011629636.1,XP_025262660.1,0,1448,0,1448
XP_011629636.1,XP_025262661.1,0,1467,0,1467
XP_011629636.1,XP_025262664.1,0,1466,0,1466
XP_011629636.1,XP_025262665.1,0,1508,0,1508
XP_011629636.1,XP_025262666.1,0,1508,0,1508
XP_011629636.1,XP_025262667.1,0,1508,0,1508
XP_011629636.1,XP_025262668.1,0,1508,0,1508
XP_011629636.1,XP_025262669.1,0,1508,0,1508
XP_011629636.1,XP_025262670.1,0,1508,0,1508
XP_011629637.1,XP_025262662.1,0,1368,0,1369
XP_011629637.1,XP_025262663.1,0,1379,0,1379
XP_011629637.1,XP_025262671.1,0,1425,0,1411
XP_011629638.1,XP_011256082.1,0,2076,0,2128
XP_011629640.1,XP_011256088.1,0,3010,0,3043
XP_011629640.1,XP_011256094.1,0,3010,0,3045
XP_011629640.1,XP_019883069.1,0,3010,0,3043
XP_011629640.1,XP_025262673.1,0,3010,0,3043
XP_011629640.1,XP_025262674.1,0,3010,0,3043
XP_011629640.1,XP_025262675.1,0,3010,0,3043
XP_011629640.1,XP_025262676.1,0,3010,0,3043
XP_011629640.1,XP_025262677.1,0,3010,0,3043
XP_011629640.1,XP_025262678.1,0,3010,0,3043
XP_011629640.1,XP_025262679.1,0,2996,0,3029
XP_011629641.1,XP_011256088.1,0,3010,0,3043
XP_011629641.1,XP_011256094.1,0,3010,0,3045
XP_011629641.1,XP_019883069.1,0,3010,0,3043
XP_011629641.1,XP_025262673.1,0,3010,0,3043
XP_011629641.1,XP_025262674.1,0,3010,0,3043
XP_011629641.1,XP_025262675.1,0,3010,0,3043
XP_011629641.1,XP_025262676.1,0,3010,0,3043
XP_011629641.1,XP_025262677.1,0,3010,0,3043
XP_011629641.1,XP_025262678.1,0,3010,0,3043
XP_011629641.1,XP_025262679.1,0,2996,0,3029
XP_011629642.1,XP_011256088.1,0,3005,0,3039
XP_011629642.1,XP_011256094.1,0,3007,0,3041
XP_011629642.1,XP_019883069.1,0,3005,0,3039
XP_011629642.1,XP_025262673.1,0,3005,0,3039
XP_011629642.1,XP_025262674.1,0,3005,0,3039
XP_011629642.1,XP_025262675.1,0,3005,0,3039
XP_011629642.1,XP_025262676.1,0,3005,0,3039
XP_011629642.1,XP_025262677.1,0,3005,0,3039
XP_011629642.1,XP_025262678.1,0,3005,0,3039
XP_011629642.1,XP_025262679.1,0,2992,0,3025
XP_011629643.1,XP_011256088.1,0,2996,0,3030
XP_011629643.1,XP_011256094.1,0,2994,0,3028
XP_011629643.1,XP_019883069.1,0,2996,0,3030
XP_011629643.1,XP_025262673.1,0,2996,0,3030
XP_011629643.1,XP_025262674.1,0,2996,0,3030
XP_011629643.1,XP_025262675.1,0,2996,0,3030
XP_011629643.1,XP_025262676.1,0,2996,0,3030
XP_011629643.1,XP_025262677.1,0,2996,0,3030
XP_011629643.1,XP_025262678.1,0,2996,0,3030
XP_011629643.1,XP_025262679.1,0,3000,0,3037
XP_011629644.1,XP_011256088.1,0,2995,0,3028
XP_011629644.1,XP_011256094.1,0,2991,0,3026
XP_011629644.1,XP_019883069.1,0,2995,0,3028
XP_011629644.1,XP_025262673.1,0,2995,0,3028
XP_011629644.1,XP_025262674.1,0,2995,0,3028
XP_011629644.1,XP_025262675.1,0,2995,0,3028
XP_011629644.1,XP_025262676.1,0,2995,0,3028
XP_011629644.1,XP_025262677.1,0,2995,0,3028
XP_011629644.1,XP_025262678.1,0,2995,0,3028
XP_011629644.1,XP_025262679.1,0,2977,0,3012
XP_011629645.1,XP_011256088.1,0,2948,0,2985
XP_011629645.1,XP_011256094.1,0,2949,0,2982
XP_011629645.1,XP_019883069.1,0,2948,0,2985
XP_011629645.1,XP_025262673.1,0,2948,0,2985
XP_011629645.1,XP_025262674.1,0,2948,0,2985
XP_011629645.1,XP_025262675.1,0,2948,0,2985
XP_011629645.1,XP_025262676.1,0,2948,0,2985
XP_011629645.1,XP_025262677.1,0,2948,0,2985
XP_011629645.1,XP_025262678.1,0,2948,0,2985
XP_011629645.1,XP_025262679.1,0,2933,0,2968
XP_011629646.1,XP_011256088.1,0,2928,0,2965
XP_011629646.1,XP_011256094.1,0,2927,0,2962
XP_011629646.1,XP_019883069.1,0,2928,0,2965
XP_011629646.1,XP_025262673.1,0,2928,0,2965
XP_011629646.1,XP_025262674.1,0,2928,0,2965
XP_011629646.1,XP_025262675.1,0,2928,0,2965
XP_011629646.1,XP_025262676.1,0,2928,0,2965
XP_011629646.1,XP_025262677.1,0,2928,0,2965
XP_011629646.1,XP_025262678.1,0,2928,0,2965
XP_011629646.1,XP_025262679.1,0,2914,0,2949
XP_011629647.1,XP_011256088.1,0,2892,0,2946
XP_011629647.1,XP_011256094.1,0,2892,0,2946
XP_011629647.1,XP_019883069.1,0,2892,0,2946
XP_011629647.1,XP_025262673.1,0,2892,0,2946
XP_011629647.1,XP_025262674.1,0,2892,0,2946
XP_011629647.1,XP_025262675.1,0,2892,0,2946
XP_011629647.1,XP_025262676.1,0,2892,0,2946
XP_011629647.1,XP_025262677.1,0,2892,0,2946
XP_011629647.1,XP_025262678.1,0,2892,0,2946
XP_011629647.1,XP_025262679.1,0,2877,0,2929
XP_011629649.1,XP_011256095.1,0,942,0,941
XP_011629654.2,XP_011256085.2,0,2402,0,2412
XP_011629656.1,XP_011257255.1,0,1314,0,1334
XP_011629657.1,XP_025268459.1,3.00E-21,84.3,2.00E-21,84.3
XP_011629659.1,XP_011259067.1,0,1581,0,1583
XP_011629659.1,XP_011259068.1,0,1575,0,1567
XP_011629659.1,XP_019883630.1,0,1553,0,1553
XP_011629668.2,XP_025270610.1,0,1155,0,1155
XP_011629670.1,XP_011256154.2,0,1542,0,1542
XP_011629674.1,XP_011256298.2,0,579,0,579
XP_011629675.1,XP_011256146.1,4.00E-161,456,4.00E-152,433
XP_011629675.1,XP_011256147.1,4.00E-161,456,4.00E-152,433
XP_011629675.1,XP_025262653.1,4.00E-161,456,4.00E-152,433
XP_011629676.1,XP_011256148.1,0,2092,0,2130
XP_011629677.1,XP_011256148.1,0,2093,0,2132
XP_011629678.1,XP_011256142.1,0,1892,0,1892
XP_011629679.1,XP_011256142.1,0,1881,0,1881
XP_011629680.1,XP_011256142.1,0,1896,0,1896
XP_011629681.1,XP_011256142.1,0,1886,0,1886
XP_011629682.1,XP_011256143.1,0,1782,0,1782
XP_011629684.1,XP_011256141.1,4.00E-84,252,2.00E-84,253
XP_011629686.1,XP_011256139.3,1.00E-90,266,9.00E-91,266
XP_011629687.1,XP_025262775.1,0,847,0,851
XP_011629688.1,XP_011263803.1,0,924,0,908
XP_011629692.1,XP_011256134.1,0,827,0,827
XP_011629692.1,XP_011256135.1,0,827,0,827
XP_011629693.1,XP_011256134.1,0,824,0,824
XP_011629693.1,XP_011256135.1,0,824,0,824
XP_011629695.1,XP_011256134.1,0,824,0,824
XP_011629695.1,XP_011256135.1,0,824,0,824
XP_011629696.1,XP_011256134.1,0,824,0,824
XP_011629696.1,XP_011256135.1,0,824,0,824
XP_011629698.1,XP_011256133.1,0,1448,0,1418
XP_011629699.1,XP_011254571.1,0,872,0,872
XP_011629700.1,XP_011263802.1,0,534,0,534
XP_011629701.1,XP_011263802.1,0,534,0,534
XP_011629702.2,XP_011266186.1,0,2313,0,2313
XP_011629702.2,XP_025262716.1,0,2313,0,2313
XP_011629703.1,XP_011266189.2,0,913,0,925
XP_011629704.1,XP_025262590.1,6.00E-45,157,7.00E-47,161
XP_011629704.1,XP_025262591.1,4.00E-45,157,3.00E-47,162
XP_011629705.1,XP_011266187.1,1.00E-156,444,7.00E-157,444
XP_011629705.1,XP_025262819.1,1.00E-156,444,7.00E-157,444
XP_011629706.1,XP_011266188.1,3.00E-105,305,2.00E-112,323
XP_011629708.1,XP_011266196.2,0,561,0,561
XP_011629709.1,XP_011266197.1,0,1434,0,1441
XP_011629710.1,XP_011266198.2,0,829,0,829
XP_011629710.1,XP_025262695.1,0,796,0,796
XP_011629710.1,XP_025262696.1,0,796,0,796
XP_011629710.1,XP_025262697.1,0,810,0,810
XP_011629710.1,XP_025262698.1,0,816,0,816
XP_011629710.1,XP_025262700.1,0,816,0,816
XP_011629710.1,XP_025266100.1,0,795,0,795
XP_011629711.1,XP_011266198.2,0,829,0,829
XP_011629711.1,XP_025262695.1,0,796,0,796
XP_011629711.1,XP_025262696.1,0,796,0,796
XP_011629711.1,XP_025262697.1,0,810,0,810
XP_011629711.1,XP_025262698.1,0,816,0,816
XP_011629711.1,XP_025262700.1,0,816,0,816
XP_011629711.1,XP_025266100.1,0,795,0,795
XP_011629712.1,XP_011266198.2,0,829,0,829
XP_011629712.1,XP_025262695.1,0,796,0,796
XP_011629712.1,XP_025262696.1,0,796,0,796
XP_011629712.1,XP_025262697.1,0,810,0,810
XP_011629712.1,XP_025262698.1,0,816,0,816
XP_011629712.1,XP_025262700.1,0,816,0,816
XP_011629712.1,XP_025266100.1,0,795,0,795
XP_011629713.1,XP_025262590.1,6.00E-45,157,7.00E-47,161
XP_011629713.1,XP_025262591.1,4.00E-45,157,3.00E-47,162
XP_011629718.2,XP_025262762.1,0,2855,0,2858
XP_011629719.1,XP_011266190.1,0,2360,0,2360
XP_011629720.1,XP_025271196.1,3.00E-24,95.9,2.00E-24,95.9
XP_011629721.1,XP_025262590.1,6.00E-45,157,7.00E-47,161
XP_011629721.1,XP_025262591.1,4.00E-45,157,3.00E-47,162
XP_011629724.1,XP_011268647.1,0,885,0,885
XP_011629724.1,XP_011268648.1,0,885,0,885
XP_011629725.1,XP_011268647.1,0,885,0,885
XP_011629725.1,XP_011268648.1,0,885,0,885
XP_011629726.1,XP_011268649.1,0,786,0,786
XP_011629726.1,XP_011268650.1,0,788,0,788
XP_011629727.1,XP_011268643.1,0,831,0,832
XP_011629727.1,XP_011268644.1,0,836,0,838
XP_011629728.2,XP_011268651.1,0,1774,0,1774
XP_011629728.2,XP_011268652.1,0,1776,0,1776
XP_011629728.2,XP_019885422.1,0,1776,0,1776
XP_011629729.1,XP_019885423.1,0,1154,0,1126
XP_011629730.1,XP_025262590.1,6.00E-45,157,7.00E-47,161
XP_011629730.1,XP_025262591.1,4.00E-45,157,3.00E-47,162
XP_011629732.1,XP_011268657.1,0,1186,0,1181
XP_011629732.1,XP_025267417.1,0,1212,0,1206
XP_011629733.1,XP_011268657.1,0,1195,0,1189
XP_011629733.1,XP_025267417.1,0,1188,0,1181
XP_011629734.1,XP_011268659.1,7.00E-121,344,5.00E-121,344
XP_011629735.1,XP_011268661.1,0,3794,0,3770
XP_011629735.1,XP_019885424.1,0,3805,0,3780
XP_011629735.1,XP_019885425.1,0,3791,0,3767
XP_011629735.1,XP_019885426.1,0,3721,0,3696
XP_011629735.1,XP_019885427.1,0,3687,0,3688
XP_011629736.1,XP_011268661.1,0,3803,0,3778
XP_011629736.1,XP_019885424.1,0,3794,0,3770
XP_011629736.1,XP_019885425.1,0,3780,0,3758
XP_011629736.1,XP_019885426.1,0,3710,0,3685
XP_011629736.1,XP_019885427.1,0,3676,0,3678
XP_011629737.1,XP_011268661.1,0,3782,0,3757
XP_011629737.1,XP_019885424.1,0,3790,0,3766
XP_011629737.1,XP_019885425.1,0,3803,0,3776
XP_011629737.1,XP_019885426.1,0,3707,0,3680
XP_011629737.1,XP_019885427.1,0,3690,0,3694
XP_011629738.1,XP_011268661.1,0,3800,0,3776
XP_011629738.1,XP_019885424.1,0,3809,0,3785
XP_011629738.1,XP_019885425.1,0,3796,0,3775
XP_011629738.1,XP_019885426.1,0,3727,0,3702
XP_011629738.1,XP_019885427.1,0,3694,0,3696
XP_011629740.1,XP_011268661.1,0,3786,0,3763
XP_011629740.1,XP_019885424.1,0,3796,0,3774
XP_011629740.1,XP_019885425.1,0,3805,0,3784
XP_011629740.1,XP_019885426.1,0,3714,0,3688
XP_011629740.1,XP_019885427.1,0,3697,0,3701
XP_011629742.1,XP_011268661.1,0,3734,0,3712
XP_011629742.1,XP_019885424.1,0,3744,0,3722
XP_011629742.1,XP_019885425.1,0,3732,0,3709
XP_011629742.1,XP_019885426.1,0,3663,0,3638
XP_011629742.1,XP_019885427.1,0,3632,0,3634
XP_011629743.1,XP_011268661.1,0,3710,0,3685
