cflo,dmel ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
XP_011250638.1,NP_523510.1,4.00E-82,264,3.00E-82,264
XP_011250639.1,NP_001260245.1,4.00E-80,257,3.00E-80,257
XP_011250640.1,NP_001260246.1,3.00E-82,263,2.00E-82,263
XP_011250640.1,NP_523510.1,2.00E-82,264,2.00E-82,264
XP_011250643.1,NP_001260246.1,3.00E-82,263,2.00E-82,263
XP_011250643.1,NP_523510.1,2.00E-82,264,2.00E-82,264
XP_011250645.2,NP_651085.2,6.00E-84,285,5.00E-84,285
XP_011250662.1,NP_647865.2,1.00E-168,488,4.00E-170,492
XP_011250669.1,NP_001246805.1,1.00E-110,330,1.00E-107,322
XP_011250669.1,NP_648923.1,1.00E-110,330,1.00E-107,322
XP_011250671.1,NP_609557.1,2.00E-64,197,2.00E-64,197
XP_011250673.1,NP_001261764.1,2.00E-22,99.4,5.00E-21,95.5
XP_011250673.1,NP_648578.1,2.00E-22,99.4,5.00E-21,95.5
XP_011250675.1,NP_001163354.1,0,1394,0,1358
XP_011250675.1,NP_523946.1,0,1394,0,1358
XP_011250676.1,NP_001163354.1,0,1394,0,1358
XP_011250676.1,NP_523946.1,0,1394,0,1358
XP_011250680.1,NP_001246647.1,2.00E-97,303,2.00E-97,303
XP_011250680.1,NP_001286954.1,7.00E-98,301,2.00E-97,300
XP_011250680.1,NP_652706.3,1.00E-98,303,2.00E-98,302
XP_011250680.1,NP_729173.1,1.00E-98,303,2.00E-98,302
XP_011250680.1,NP_729174.2,1.00E-98,303,2.00E-98,302
XP_011250680.1,NP_996002.2,6.00E-98,304,2.00E-97,302
XP_011250680.1,NP_996003.1,7.00E-95,290,6.00E-95,290
XP_011250680.1,NP_996004.1,1.00E-98,303,2.00E-98,302
XP_011250681.1,NP_001033999.2,4.00E-27,100,5.00E-27,100
XP_011250682.1,NP_523708.2,2.00E-50,157,1.00E-50,157
XP_011250683.1,NP_649996.1,5.00E-45,157,1.00E-45,159
XP_011250692.1,NP_650029.1,3.00E-116,353,5.00E-118,357
XP_011250693.1,NP_524954.2,2.00E-80,260,9.00E-76,247
XP_011250693.1,NP_788678.1,2.00E-80,260,9.00E-76,247
XP_011250695.1,NP_650338.1,1.00E-150,432,9.00E-151,432
XP_011250697.1,NP_001245490.1,1.00E-50,163,9.00E-51,163
XP_011250697.1,NP_525050.1,1.00E-50,163,8.00E-51,163
XP_011250705.2,NP_001247313.1,2.00E-107,324,1.00E-103,314
XP_011250705.2,NP_651468.1,2.00E-107,324,1.00E-103,314
XP_011250709.2,NP_001245829.1,2.00E-155,476,6.00E-153,469
XP_011250709.2,NP_001285557.1,2.00E-155,476,6.00E-153,469
XP_011250709.2,NP_524666.2,2.00E-155,476,6.00E-153,469
XP_011250710.1,NP_001262031.1,4.00E-109,333,3.00E-110,337
XP_011250710.1,NP_001262032.1,8.00E-110,333,4.00E-111,336
XP_011250710.1,NP_649087.1,8.00E-110,333,4.00E-111,336
XP_011250711.1,NP_733058.1,0,559,6.00E-177,538
XP_011250711.1,NP_733059.1,0,559,6.00E-177,538
XP_011250712.1,NP_733058.1,0,558,6.00E-177,537
XP_011250712.1,NP_733059.1,0,558,6.00E-177,537
XP_011250714.1,NP_651307.2,1.00E-156,468,3.00E-158,472
XP_011250715.1,NP_651307.2,1.00E-156,468,3.00E-158,472
XP_011250716.1,NP_001286187.1,2.00E-149,429,4.00E-153,438
XP_011250716.1,NP_652028.1,2.00E-149,429,4.00E-153,438
XP_011250716.1,NP_724649.1,2.00E-149,429,4.00E-153,438
XP_011250716.1,NP_724650.1,2.00E-149,429,4.00E-153,438
XP_011250716.1,NP_724651.1,2.00E-149,429,4.00E-153,438
XP_011250717.1,NP_001286187.1,2.00E-149,429,4.00E-153,438
XP_011250717.1,NP_652028.1,2.00E-149,429,4.00E-153,438
XP_011250717.1,NP_724649.1,2.00E-149,429,4.00E-153,438
XP_011250717.1,NP_724650.1,2.00E-149,429,4.00E-153,438
XP_011250717.1,NP_724651.1,2.00E-149,429,4.00E-153,438
XP_011250718.1,NP_001097911.1,4.00E-122,364,4.00E-122,364
XP_011250721.1,NP_650594.1,0,903,0,904
XP_011250721.1,NP_732202.2,0,903,0,905
XP_011250721.1,NP_788685.1,0,903,0,904
XP_011250723.1,NP_650594.1,0,878,0,880
XP_011250723.1,NP_732202.2,0,877,0,880
XP_011250723.1,NP_788685.1,0,878,0,880
XP_011250730.1,NP_609209.2,8.00E-31,109,2.00E-30,108
XP_011250731.1,NP_001096954.1,3.00E-125,365,3.00E-120,353
XP_011250736.1,NP_001027407.2,0,744,0,729
XP_011250736.1,NP_001027408.1,0,734,0,728
XP_011250736.1,NP_001097287.1,0,738,0,727
XP_011250736.1,NP_001246280.1,0,732,0,726
XP_011250736.1,NP_523712.3,0,734,0,728
XP_011250736.1,NP_725171.1,0,734,0,728
XP_011250736.1,NP_725172.2,0,734,0,728
XP_011250737.1,NP_001027407.2,0,744,0,729
XP_011250737.1,NP_001027408.1,0,734,0,728
XP_011250737.1,NP_001097287.1,0,738,0,727
XP_011250737.1,NP_001246280.1,0,732,0,726
XP_011250737.1,NP_523712.3,0,734,0,728
XP_011250737.1,NP_725171.1,0,734,0,728
XP_011250737.1,NP_725172.2,0,734,0,728
XP_011250738.1,NP_001027407.2,0,735,0,720
XP_011250738.1,NP_001027408.1,0,725,0,719
XP_011250738.1,NP_001097287.1,0,729,0,717
XP_011250738.1,NP_001246280.1,0,723,0,718
XP_011250738.1,NP_523712.3,0,725,0,718
XP_011250738.1,NP_725171.1,0,726,0,719
XP_011250738.1,NP_725172.2,0,725,0,719
XP_011250739.1,NP_001027407.2,0,748,0,729
XP_011250739.1,NP_001027408.1,0,735,0,728
XP_011250739.1,NP_001097287.1,0,738,0,726
XP_011250739.1,NP_001246280.1,0,732,0,726
XP_011250739.1,NP_523712.3,0,734,0,727
XP_011250739.1,NP_725171.1,0,734,0,728
XP_011250739.1,NP_725172.2,0,734,0,728
XP_011250751.2,NP_611750.1,1.00E-104,321,1.00E-104,321
XP_011250752.2,NP_611750.1,9.00E-105,321,9.00E-105,321
XP_011250754.1,NP_001163144.1,0,694,0,662
XP_011250754.1,NP_524752.1,0,694,0,662
XP_011250755.2,NP_001034024.2,0,718,0,714
XP_011250755.2,NP_001261894.1,0,719,0,715
XP_011250755.2,NP_001356981.1,0,719,0,716
XP_011250761.1,NP_001263070.1,0,649,0,674
XP_011250761.1,NP_733292.1,0,649,0,674
XP_011250761.1,NP_733293.1,0,649,0,674
XP_011250761.1,NP_996303.1,0,643,0,667
XP_011250762.1,NP_001287269.1,0,816,0,816
XP_011250762.1,NP_476880.1,0,816,0,816
XP_011250762.1,NP_476881.1,0,815,0,815
XP_011250762.1,NP_599111.1,0,815,0,815
XP_011250762.1,NP_599112.1,0,815,0,815
XP_011250762.1,NP_599113.1,0,815,0,815
XP_011250762.1,NP_731451.1,0,816,0,816
XP_011250762.1,NP_731452.1,0,815,0,815
XP_011250762.1,NP_731453.1,0,815,0,815
XP_011250763.1,NP_001287269.1,0,842,0,843
XP_011250763.1,NP_476880.1,0,842,0,843
XP_011250763.1,NP_476881.1,0,820,0,820
XP_011250763.1,NP_599111.1,0,820,0,820
XP_011250763.1,NP_599112.1,0,820,0,820
XP_011250763.1,NP_599113.1,0,820,0,820
XP_011250763.1,NP_731451.1,0,842,0,843
XP_011250763.1,NP_731452.1,0,820,0,820
XP_011250763.1,NP_731453.1,0,820,0,820
XP_011250764.1,NP_001287269.1,0,818,0,818
XP_011250764.1,NP_476880.1,0,818,0,818
XP_011250764.1,NP_476881.1,0,816,0,816
XP_011250764.1,NP_599111.1,0,816,0,816
XP_011250764.1,NP_599112.1,0,816,0,816
XP_011250764.1,NP_599113.1,0,816,0,816
XP_011250764.1,NP_731451.1,0,818,0,818
XP_011250764.1,NP_731452.1,0,816,0,816
XP_011250764.1,NP_731453.1,0,816,0,816
XP_011250765.1,NP_001285111.1,7.00E-149,417,6.00E-149,417
XP_011250765.1,NP_001285112.1,7.00E-149,417,6.00E-149,417
XP_011250765.1,NP_651969.1,7.00E-149,417,6.00E-149,417
XP_011250765.1,NP_727499.1,7.00E-149,417,6.00E-149,417
XP_011250767.2,NP_001262451.1,3.00E-45,177,2.00E-45,177
XP_011250767.2,NP_649982.1,3.00E-45,177,2.00E-45,177
XP_011250768.1,NP_788616.1,3.00E-127,362,3.00E-127,362
XP_011250770.1,NP_001261736.1,0,1139,0,1123
XP_011250770.1,NP_001261737.1,0,1140,0,1122
XP_011250770.1,NP_001261738.1,0,1137,0,1121
XP_011250770.1,NP_001261739.1,0,1140,0,1122
XP_011250770.1,NP_648542.1,0,1137,0,1121
XP_011250770.1,NP_729778.1,0,1141,0,1123
XP_011250770.1,NP_729779.1,0,1137,0,1121
XP_011250770.1,NP_729780.1,0,1139,0,1123
XP_011250770.1,NP_729781.1,0,1139,0,1123
XP_011250771.1,NP_001261736.1,0,1139,0,1122
XP_011250771.1,NP_001261737.1,0,1140,0,1122
XP_011250771.1,NP_001261738.1,0,1136,0,1120
XP_011250771.1,NP_001261739.1,0,1139,0,1122
XP_011250771.1,NP_648542.1,0,1136,0,1120
XP_011250771.1,NP_729778.1,0,1140,0,1122
XP_011250771.1,NP_729779.1,0,1136,0,1120
XP_011250771.1,NP_729780.1,0,1138,0,1122
XP_011250771.1,NP_729781.1,0,1138,0,1122
XP_011250772.1,NP_001261736.1,0,1139,0,1122
XP_011250772.1,NP_001261737.1,0,1139,0,1122
XP_011250772.1,NP_001261738.1,0,1136,0,1120
XP_011250772.1,NP_001261739.1,0,1139,0,1122
XP_011250772.1,NP_648542.1,0,1137,0,1120
XP_011250772.1,NP_729778.1,0,1141,0,1123
XP_011250772.1,NP_729779.1,0,1137,0,1120
XP_011250772.1,NP_729780.1,0,1139,0,1122
XP_011250772.1,NP_729781.1,0,1139,0,1122
XP_011250774.1,NP_001285111.1,7.00E-149,417,6.00E-149,417
XP_011250774.1,NP_001285112.1,7.00E-149,417,6.00E-149,417
XP_011250774.1,NP_651969.1,7.00E-149,417,6.00E-149,417
XP_011250774.1,NP_727499.1,7.00E-149,417,6.00E-149,417
XP_011250777.1,NP_001246792.1,4.00E-76,231,3.00E-76,231
XP_011250777.1,NP_001261938.1,4.00E-76,231,3.00E-76,231
XP_011250777.1,NP_001261939.1,4.00E-76,231,3.00E-76,231
XP_011250777.1,NP_648881.1,4.00E-76,231,3.00E-76,231
XP_011250778.1,NP_001246792.1,4.00E-76,231,3.00E-76,231
XP_011250778.1,NP_001261938.1,4.00E-76,231,3.00E-76,231
XP_011250778.1,NP_001261939.1,4.00E-76,231,3.00E-76,231
XP_011250778.1,NP_648881.1,4.00E-76,231,3.00E-76,231
XP_011250782.1,NP_001285111.1,7.00E-149,417,6.00E-149,417
XP_011250782.1,NP_001285112.1,7.00E-149,417,6.00E-149,417
XP_011250782.1,NP_651969.1,7.00E-149,417,6.00E-149,417
XP_011250782.1,NP_727499.1,7.00E-149,417,6.00E-149,417
XP_011250789.1,NP_524451.1,5.00E-155,443,9.00E-157,447
XP_011250794.1,NP_001189276.1,7.00E-157,444,5.00E-159,449
XP_011250794.1,NP_001303545.1,8.00E-157,444,1.00E-158,448
XP_011250794.1,NP_524475.1,8.00E-157,444,1.00E-158,448
XP_011250797.1,NP_001261139.1,0,1971,0,1981
XP_011250797.1,NP_001261140.1,0,1974,0,1983
XP_011250797.1,NP_726234.3,0,1971,0,1984
XP_011250801.1,NP_001189276.1,3.00E-164,462,2.00E-166,468
XP_011250801.1,NP_001303545.1,3.00E-164,462,2.00E-166,468
XP_011250801.1,NP_524475.1,3.00E-164,462,2.00E-166,468
XP_011250809.1,NP_001189276.1,7.00E-158,447,3.00E-158,447
XP_011250809.1,NP_001303545.1,5.00E-158,447,3.00E-158,447
XP_011250809.1,NP_524475.1,5.00E-158,447,3.00E-158,447
XP_011250812.1,NP_001261362.1,0,1184,0,1117
XP_011250812.1,NP_523899.1,0,1184,0,1117
XP_011250813.1,NP_001261195.1,0,891,0,900
XP_011250813.1,NP_612021.1,0,891,0,900
XP_011250814.1,NP_001287225.1,9.00E-127,359,7.00E-127,359
XP_011250814.1,NP_001287226.1,9.00E-127,359,7.00E-127,359
XP_011250814.1,NP_649769.1,9.00E-127,359,7.00E-127,359
XP_011250826.1,NP_570087.1,9.00E-45,155,5.00E-45,155
XP_011250826.1,NP_996346.2,9.00E-45,155,5.00E-45,155
XP_011250826.1,NP_996347.1,9.00E-45,155,5.00E-45,155
XP_011250826.1,NP_996348.1,1.00E-45,156,3.00E-46,157
XP_011250828.1,NP_649569.1,8.00E-99,296,8.00E-96,288
XP_011250829.1,NP_649569.1,8.00E-99,296,8.00E-96,288
XP_011250830.1,NP_649569.1,8.00E-99,296,8.00E-96,288
XP_011250832.1,NP_611385.1,6.00E-132,394,5.00E-132,394
XP_011250832.1,NP_611386.2,5.00E-135,402,4.00E-135,402
XP_011250832.1,NP_788413.4,5.00E-135,402,4.00E-135,402
XP_011250833.1,NP_647747.1,5.00E-39,145,4.00E-39,145
XP_011250841.1,NP_651667.1,0,627,0,627
XP_011250842.1,NP_523874.1,2.00E-98,286,2.00E-98,286
XP_011250843.1,NP_001097494.1,2.00E-127,409,7.00E-117,380
XP_011250843.1,NP_001097495.2,2.00E-127,406,9.00E-118,381
XP_011250843.1,NP_001261375.1,1.00E-128,405,9.00E-118,376
XP_011250843.1,NP_728896.1,3.00E-133,422,1.00E-123,397
XP_011250843.1,NP_728897.1,1.00E-133,425,7.00E-123,397
XP_011250843.1,NP_995990.3,8.00E-128,404,2.00E-117,377
XP_011250844.1,NP_001097494.1,2.00E-127,409,7.00E-117,380
XP_011250844.1,NP_001097495.2,2.00E-127,406,9.00E-118,381
XP_011250844.1,NP_001261375.1,1.00E-128,405,9.00E-118,376
XP_011250844.1,NP_728896.1,3.00E-133,422,1.00E-123,397
XP_011250844.1,NP_728897.1,1.00E-133,425,7.00E-123,397
XP_011250844.1,NP_995990.3,8.00E-128,404,2.00E-117,377
XP_011250845.1,NP_001097494.1,4.00E-128,410,1.00E-117,382
XP_011250845.1,NP_728896.1,9.00E-135,426,2.00E-125,401
XP_011250845.1,NP_728897.1,2.00E-135,429,1.00E-124,401
XP_011250846.1,NP_001097494.1,2.00E-129,413,7.00E-119,385
XP_011250846.1,NP_001097495.2,3.00E-129,411,1.00E-119,385
XP_011250846.1,NP_001189043.1,1.00E-130,400,2.00E-121,375
XP_011250846.1,NP_001246607.1,7.00E-132,405,4.00E-122,379
XP_011250846.1,NP_001261375.1,2.00E-130,409,7.00E-120,381
XP_011250846.1,NP_728896.1,1.00E-127,407,5.00E-118,382
XP_011250846.1,NP_728897.1,6.00E-128,409,3.00E-117,381
XP_011250846.1,NP_728898.1,5.00E-129,407,2.00E-119,381
XP_011250846.1,NP_995990.3,2.00E-129,409,2.00E-119,382
XP_011250848.1,NP_001097494.1,6.00E-131,417,2.00E-120,389
XP_011250848.1,NP_001097495.2,6.00E-131,415,5.00E-121,389
XP_011250848.1,NP_001189043.1,3.00E-132,404,7.00E-123,379
XP_011250848.1,NP_001246607.1,1.00E-133,409,2.00E-123,382
XP_011250848.1,NP_001261375.1,5.00E-132,413,3.00E-121,385
XP_011250848.1,NP_728898.1,1.00E-130,410,6.00E-121,385
XP_011250848.1,NP_995990.3,4.00E-131,413,6.00E-121,386
XP_011250849.1,NP_001097494.1,2.00E-128,410,3.00E-117,380
XP_011250849.1,NP_001097495.2,2.00E-128,408,5.00E-118,380
XP_011250849.1,NP_001261375.1,2.00E-129,406,4.00E-118,376
XP_011250849.1,NP_728896.1,6.00E-134,423,6.00E-124,397
XP_011250849.1,NP_728897.1,2.00E-134,426,3.00E-123,396
XP_011250849.1,NP_995990.3,6.00E-129,407,8.00E-118,377
XP_011250850.1,NP_001189043.1,1.00E-129,395,2.00E-120,371
XP_011250850.1,NP_001246607.1,2.00E-129,396,7.00E-120,371
XP_011250850.1,NP_001261375.1,2.00E-128,402,1.00E-117,374
XP_011250850.1,NP_728898.1,1.00E-126,398,3.00E-117,374
XP_011250852.1,NP_001097494.1,1.00E-128,408,3.00E-117,379
XP_011250852.1,NP_001097495.2,1.00E-128,407,5.00E-118,379
XP_011250852.1,NP_001261375.1,4.00E-130,406,3.00E-118,375
XP_011250852.1,NP_728896.1,4.00E-134,421,5.00E-124,395
XP_011250852.1,NP_728897.1,2.00E-134,424,4.00E-123,394
XP_011250852.1,NP_995990.3,5.00E-129,405,7.00E-118,375
XP_011250856.1,NP_001261567.1,1.00E-105,305,9.00E-106,305
