amel,cflo ,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
NP_001013377.2,XP_011267547.1,2.00E-133,393,2.00E-133,393
NP_001013377.2,XP_011267548.2,6.00E-133,391,6.00E-133,391
NP_001013377.2,XP_025271241.1,3.00E-127,377,3.00E-127,377
NP_001013379.1,XP_011256085.2,0,2236,0,2264
NP_001014983.1,XP_025267468.1,0,963,0,994
NP_001014983.1,XP_025267469.1,0,922,0,979
NP_001014983.1,XP_025267470.1,0,946,0,977
NP_001014991.1,XP_011267342.1,0,3513,0,3490
NP_001014991.1,XP_019885167.1,0,3447,0,3424
NP_001014991.1,XP_025268093.1,0,3484,0,3462
NP_001014991.1,XP_025268094.1,0,3563,0,3541
NP_001014991.1,XP_025268095.1,0,3440,0,3420
NP_001014993.1,XP_011269702.1,0,925,0,925
NP_001014993.1,XP_011269703.1,0,925,0,925
NP_001014994.1,XP_011261605.2,0,577,0,577
NP_001019868.1,XP_011265869.1,4.00E-115,347,3.00E-115,347
NP_001027532.1,XP_011253737.1,0,1295,0,1313
NP_001032395.1,XP_025264360.1,0,712,0,712
NP_001035057.1,XP_011263727.1,3.00E-126,369,4.00E-138,399
NP_001035293.1,XP_011253374.2,2.00E-88,258,3.00E-88,258
NP_001035293.1,XP_011253375.2,2.00E-88,258,3.00E-88,258
NP_001035293.1,XP_025266651.1,2.00E-88,258,3.00E-88,258
NP_001035294.1,XP_011253323.1,1.00E-88,258,1.00E-88,258
NP_001035310.1,XP_025264199.1,1.00E-09,54.7,2.00E-09,54.3
NP_001035314.1,XP_025265691.1,1.00E-20,84.3,2.00E-20,84.3
NP_001035315.1,XP_011254774.2,5.00E-48,154,9.00E-52,164
NP_001035316.1,XP_011253326.1,5.00E-33,117,6.00E-33,117
NP_001035319.1,XP_025269029.1,1.00E-07,48.5,1.00E-07,48.5
NP_001035319.1,XP_025269030.1,1.00E-07,48.5,1.00E-07,48.5
NP_001035320.1,XP_011255026.1,0,1002,0,1000
NP_001035320.1,XP_025262956.1,0,1002,0,1000
NP_001035323.1,XP_011267879.1,0,883,0,897
NP_001035324.1,XP_025262192.1,0,696,0,696
NP_001035324.1,XP_025263422.1,0,687,0,687
NP_001035324.1,XP_025266355.1,0,702,0,702
NP_001035324.1,XP_025269276.1,0,689,0,689
NP_001035324.1,XP_025269348.1,0,683,0,683
NP_001035325.2,XP_011264848.2,0,3465,0,3395
NP_001035325.2,XP_011264853.2,0,3450,0,3417
NP_001035326.1,XP_019882607.2,0,580,0,569
NP_001035326.1,XP_025263040.1,0,570,0,570
NP_001035327.1,XP_011253391.1,0,1951,0,1899
NP_001035327.1,XP_011253392.1,0,1931,0,1879
NP_001035345.1,XP_025263684.1,0,728,0,736
NP_001035346.1,XP_011266674.1,2.00E-116,335,6.00E-116,333
NP_001035346.1,XP_011266680.1,4.00E-111,321,1.00E-110,320
NP_001035347.1,XP_011255244.1,0,828,0,803
NP_001035347.1,XP_011255245.1,0,827,0,803
NP_001035347.1,XP_025264587.1,0,829,0,805
NP_001035348.1,XP_011265780.1,0,564,0,543
NP_001035348.1,XP_019884889.1,0,569,0,534
NP_001035349.1,XP_011261897.2,0,741,0,741
NP_001035349.1,XP_011261898.2,0,763,0,763
NP_001035352.2,XP_011251015.1,2.00E-67,204,2.00E-65,199
NP_001035353.1,XP_011263602.1,0,647,0,658
NP_001035353.1,XP_011263603.1,0,647,0,658
NP_001035353.1,XP_011263604.1,0,647,0,658
NP_001035353.1,XP_025268062.1,0,647,0,658
NP_001035354.1,XP_011255461.1,1.00E-180,508,1.00E-180,508
NP_001035355.1,XP_025270671.1,0,655,0,653
NP_001035355.1,XP_025270672.1,0,655,0,652
NP_001035355.1,XP_025270673.1,0,655,0,652
NP_001035355.1,XP_025270674.1,0,655,0,652
NP_001035355.1,XP_025270675.1,0,655,0,652
NP_001035355.1,XP_025270676.1,0,655,0,652
NP_001035355.1,XP_025270677.1,0,676,0,690
NP_001035356.1,XP_025267219.1,0,745,0,764
NP_001035356.1,XP_025267220.1,0,731,0,750
NP_001035357.1,XP_011268121.1,1.00E-157,461,5.00E-160,467
NP_001035359.1,XP_011261026.1,7.00E-27,99.8,8.00E-27,99.8
NP_001035359.1,XP_025268430.1,7.00E-27,99.8,8.00E-27,99.8
NP_001035367.1,XP_011266317.1,0,719,0,722
NP_001035367.1,XP_025264550.1,0,712,0,714
NP_001035771.1,XP_025271023.1,1.00E-67,237,6.00E-64,227
NP_001035923.1,XP_011254726.1,4.00E-140,398,2.00E-129,371
NP_001035925.1,XP_011256708.1,1.00E-101,305,7.00E-95,288
NP_001071276.1,XP_011267559.2,0,1577,0,1594
NP_001071277.1,XP_011262558.1,0,830,0,832
NP_001071277.1,XP_011262559.1,0,839,0,840
NP_001071277.1,XP_011262560.1,0,827,0,829
NP_001071277.1,XP_011262561.1,0,823,0,825
NP_001071277.1,XP_011262562.1,0,829,0,831
NP_001071278.1,XP_011269585.1,1.00E-63,193,1.00E-63,193
NP_001071279.1,XP_011255766.1,0,822,0,822
NP_001071280.1,XP_011263819.2,0,892,0,892
NP_001071280.1,XP_025270638.1,0,892,0,892
NP_001071280.1,XP_025270640.1,0,892,0,892
NP_001071281.1,XP_011268622.1,0,1457,0,1440
NP_001071281.1,XP_011268623.1,0,1457,0,1440
NP_001071281.1,XP_025266781.1,0,1442,0,1424
NP_001071281.1,XP_025266785.1,0,1410,0,1391
NP_001071282.1,XP_011255579.1,5.00E-52,164,5.00E-52,164
NP_001071284.1,XP_025268687.1,0,900,0,907
NP_001071284.1,XP_025268690.1,0,906,0,911
NP_001071284.1,XP_025268691.1,0,917,0,922
NP_001071286.1,XP_011250677.1,6.00E-151,450,5.00E-165,487
NP_001071287.1,XP_011258406.1,7.00E-53,166,7.00E-53,166
NP_001071288.1,XP_011253063.2,2.00E-34,118,2.00E-34,118
NP_001071288.1,XP_011265982.1,2.00E-36,123,2.00E-36,123
NP_001071289.1,XP_025262812.1,0,790,0,795
NP_001071289.1,XP_025262813.1,0,790,0,795
NP_001071289.1,XP_025262814.1,0,799,0,805
NP_001071291.1,XP_011266988.1,1.00E-66,204,2.00E-66,204
NP_001071291.1,XP_011266989.1,1.00E-66,204,2.00E-66,204
NP_001071291.1,XP_025264554.1,1.00E-66,204,1.00E-66,204
NP_001071292.1,XP_011268213.1,0,920,0,921
NP_001071293.1,XP_025264056.1,0,613,0,613
NP_001071293.1,XP_025264057.1,0,613,0,613
NP_001072129.1,XP_011258405.1,5.00E-19,77.8,5.00E-19,78.2
NP_001073028.1,XP_011252780.1,0,999,0,999
NP_001073029.1,XP_011257482.1,0,1134,0,1134
NP_001073029.1,XP_011257484.1,0,1134,0,1134
NP_001073029.1,XP_025268362.1,0,1134,0,1134
NP_001073029.1,XP_025268363.1,0,1099,0,1099
NP_001073563.2,XP_019884279.1,0,528,0,545
NP_001073563.2,XP_025261818.1,0,528,0,545
NP_001073564.1,XP_011253436.1,0,917,0,917
NP_001073579.1,XP_011259848.2,0,1609,0,1494
NP_001073674.1,XP_025270297.1,0,1420,0,1441
NP_001077099.1,XP_011254741.2,0,1042,0,1009
NP_001077099.1,XP_011254749.2,0,1042,0,1009
NP_001077099.1,XP_011254767.2,0,1048,0,1017
NP_001090623.1,XP_011259256.1,1.00E-159,447,2.00E-159,447
NP_001091636.1,XP_011261977.1,5.00E-86,250,6.00E-86,250
NP_001091684.1,XP_011256957.1,0,1152,0,1152
NP_001091684.1,XP_011256959.1,0,1153,0,1152
NP_001091684.1,XP_025269463.1,0,1152,0,1151
NP_001091685.2,XP_019882982.1,0,855,0,851
NP_001091685.2,XP_025265213.1,0,855,0,851
NP_001091685.2,XP_025265214.1,0,855,0,851
NP_001091687.1,XP_019884892.2,0,735,0,735
NP_001091687.1,XP_025263546.1,0,735,0,735
NP_001091687.1,XP_025263547.1,0,735,0,735
NP_001091687.1,XP_025263548.1,0,734,0,734
NP_001091688.1,XP_011265509.1,0,733,0,733
NP_001091688.1,XP_011265510.1,0,733,0,733
NP_001091688.1,XP_011265513.1,0,738,0,738
NP_001091688.1,XP_019884850.1,0,733,0,733
NP_001091688.1,XP_025264942.1,0,733,0,733
NP_001091691.1,XP_011257616.1,0,1136,0,1136
NP_001091693.1,XP_025266133.1,0,690,0,690
NP_001091693.1,XP_025266134.1,0,690,0,690
NP_001091694.1,XP_011262692.1,5.00E-175,501,6.00E-175,501
NP_001091698.1,XP_011265872.1,0,556,0,557
NP_001091699.1,XP_011262693.1,5.00E-108,329,6.00E-108,329
NP_001091704.1,XP_011251016.1,8.00E-95,275,1.00E-94,275
NP_001092187.1,XP_011255341.2,0,815,0,826
NP_001104182.1,XP_011257226.1,8.00E-56,178,8.00E-51,165
NP_001106140.1,XP_011258259.1,0,1016,0,996
NP_001106140.1,XP_011258260.1,0,1016,0,996
NP_001106140.1,XP_011258261.1,0,1017,0,997
NP_001106140.1,XP_011258263.1,0,1016,0,996
NP_001106140.1,XP_025266062.1,0,1016,0,996
NP_001106141.1,XP_011269546.1,0,939,0,941
NP_001106142.2,XP_011258265.1,2.00E-180,506,0,518
NP_001106756.1,XP_011260790.1,0,678,0,715
NP_001107211.1,XP_025264837.1,0,714,0,701
NP_001107660.1,XP_025269347.1,0,751,0,777
NP_001107670.1,XP_011254475.1,2.00E-42,144,2.00E-39,136
NP_001108550.1,XP_011250919.1,0,683,0,706
NP_001108550.1,XP_025270481.1,0,683,0,706
NP_001116485.2,XP_011257654.1,0,3176,0,3153
NP_001116485.2,XP_025267602.1,0,3176,0,3153
NP_001119715.2,XP_011256937.1,0,847,0,847
NP_001124510.1,XP_011265378.1,0,622,0,617
NP_001127699.1,XP_011253187.1,0,791,0,791
NP_001127699.1,XP_011253188.1,0,791,0,791
NP_001127699.1,XP_011253189.1,0,791,0,791
NP_001127699.1,XP_011253190.1,0,791,0,791
NP_001127699.1,XP_019882544.1,0,791,0,791
NP_001127843.1,XP_011254663.1,3.00E-81,244,3.00E-81,244
NP_001128140.1,XP_011257645.1,0,977,0,987
NP_001128141.1,XP_019883342.1,1.00E-62,194,4.00E-61,191
NP_001128141.1,XP_025265948.1,1.00E-62,194,4.00E-61,191
NP_001128194.1,XP_025266681.1,3.00E-13,58.2,3.00E-13,58.2
NP_001128300.1,XP_011256745.2,7.00E-42,155,4.00E-71,233
NP_001128300.1,XP_011256754.2,6.00E-42,155,3.00E-71,233
NP_001128300.1,XP_011256764.2,6.00E-42,155,3.00E-71,233
NP_001128406.1,XP_011251442.1,0,1142,0,1142
NP_001128412.1,XP_011253651.1,0,571,0,571
NP_001128414.1,XP_011253638.1,6.00E-175,501,2.00E-170,489
NP_001128415.1,XP_011253641.1,0,745,0,761
NP_001128420.1,XP_011264074.1,0,1293,0,1254
NP_001128420.1,XP_011264075.1,0,1256,0,1217
NP_001128421.1,XP_011262244.1,0,1320,0,1320
NP_001128421.1,XP_011262245.1,0,1321,0,1321
NP_001128421.1,XP_011262246.1,0,1329,0,1329
NP_001128421.1,XP_011262247.1,0,1330,0,1330
NP_001128421.1,XP_011262248.1,0,1331,0,1331
NP_001128421.1,XP_011262249.1,0,1333,0,1333
NP_001128421.1,XP_011262250.1,0,1340,0,1340
NP_001128421.1,XP_019884226.1,0,1334,0,1334
NP_001128422.1,XP_011262251.2,0,1059,0,1059
NP_001128422.1,XP_025267123.1,0,1055,0,1055
NP_001128422.1,XP_025267124.1,0,1061,0,1061
NP_001128422.1,XP_025267125.1,0,1066,0,1066
NP_001129207.1,XP_011266404.2,0,544,0,520
NP_001129377.1,XP_019882886.1,6.00E-30,102,6.00E-30,102
NP_001129659.1,XP_025271133.1,8.00E-48,150,9.00E-48,150
NP_001135436.1,XP_011252047.1,3.00E-51,162,3.00E-54,170
NP_001135908.1,XP_011266412.1,3.00E-179,506,0,516
NP_001135933.1,XP_011256997.1,5.00E-132,376,8.00E-124,355
NP_001135933.1,XP_011256998.1,2.00E-137,389,2.00E-129,369
NP_001136033.1,XP_025266618.1,0,559,0,554
NP_001136033.1,XP_025266619.1,0,559,0,554
NP_001136033.1,XP_025266620.1,0,559,0,554
NP_001136033.1,XP_025266621.1,0,559,0,554
NP_001136079.1,XP_019884441.1,4.00E-44,145,4.00E-44,145
NP_001136081.1,XP_011262613.2,6.00E-180,521,2.00E-178,517
NP_001136128.1,XP_011265519.1,7.00E-59,187,7.00E-59,187
NP_001137350.1,XP_025268705.1,0,842,0,844
NP_001137350.1,XP_025268712.1,0,847,0,850
NP_001137350.1,XP_025268715.1,0,852,0,855
NP_001137351.1,XP_025268705.1,0,885,0,887
NP_001137351.1,XP_025268712.1,0,843,0,845
NP_001137351.1,XP_025268715.1,0,842,0,845
NP_001137352.1,XP_025268696.1,0,895,0,897
NP_001137352.1,XP_025268698.1,0,905,0,907
NP_001137393.1,XP_011254902.3,6.00E-159,458,7.00E-159,458
NP_001138311.1,XP_011263424.1,1.00E-74,224,2.00E-69,211
NP_001139207.1,XP_011256509.1,0,731,0,724
NP_001139207.1,XP_011256510.1,0,731,0,724
NP_001139207.1,XP_025271116.1,0,731,0,724
NP_001139207.1,XP_025271120.1,0,731,0,724
NP_001139207.1,XP_025271125.1,0,723,0,716
NP_001139208.1,XP_025268575.1,0,1296,0,1278
NP_001139209.1,XP_025268587.1,0,999,0,998
NP_001139210.1,XP_011259116.2,0,1102,0,1110
NP_001139210.1,XP_011259125.2,0,1102,0,1110
NP_001139211.1,XP_025266544.1,0,1422,0,1442
NP_001139211.1,XP_025266545.1,0,1422,0,1442
NP_001139212.1,XP_011266534.2,0,2109,0,2110
NP_001139212.1,XP_025270659.1,0,2167,0,2170
NP_001152775.1,XP_011266002.1,0,684,0,684
NP_001152775.1,XP_019884913.1,0,684,0,684
NP_001152827.1,XP_011255784.1,0,770,0,766
NP_001152827.1,XP_011255785.1,0,736,0,747
NP_001153520.1,XP_025261711.1,0,1271,0,1275
NP_001153522.1,XP_011259986.1,0,1306,0,1306
NP_001153524.1,XP_011266030.1,0,1218,0,1218
NP_001153524.1,XP_025269686.1,0,1208,0,1209
NP_001153536.1,XP_011250812.1,0,1422,0,1422
NP_001153544.1,XP_011268514.1,0,1225,0,1237
NP_001153742.1,XP_011265517.1,5.00E-85,254,6.00E-85,254
NP_001153877.1,XP_025262663.1,0,1334,0,1334
NP_001153877.1,XP_025262671.1,0,1372,0,1372
NP_001155181.1,XP_011269099.1,4.00E-140,395,4.00E-140,395
NP_001155259.1,XP_011259836.1,7.00E-09,48.1,7.00E-09,48.1
NP_001155259.1,XP_011259837.1,7.00E-09,48.1,7.00E-09,48.1
NP_001155259.1,XP_011259838.1,7.00E-09,48.1,7.00E-09,48.1
NP_001155259.1,XP_011259839.1,7.00E-09,48.1,7.00E-09,48.1
NP_001155259.1,XP_011259842.1,7.00E-09,48.1,7.00E-09,48.1
NP_001155259.1,XP_025263801.1,7.00E-09,48.1,7.00E-09,48.1
NP_001155260.1,XP_011259836.1,7.00E-09,48.1,7.00E-09,48.1
NP_001155260.1,XP_011259837.1,7.00E-09,48.1,7.00E-09,48.1
NP_001155260.1,XP_011259838.1,7.00E-09,48.1,7.00E-09,48.1
NP_001155260.1,XP_011259839.1,7.00E-09,48.1,7.00E-09,48.1
NP_001155260.1,XP_011259842.1,7.00E-09,48.1,7.00E-09,48.1
NP_001155260.1,XP_025263801.1,7.00E-09,48.1,7.00E-09,48.1
NP_001155303.1,XP_011266314.1,8.00E-16,69.3,9.00E-16,69.3
NP_001155303.1,XP_011266315.1,8.00E-16,69.3,9.00E-16,69.3
NP_001155870.1,XP_011266311.1,2.00E-26,93.6,2.00E-26,93.6
NP_001155988.1,XP_011267681.1,0,795,0,773
NP_001155988.1,XP_011267682.1,0,796,0,775
NP_001155988.1,XP_011267683.1,0,800,0,778
NP_001155988.1,XP_011267684.1,0,806,0,785
NP_001155988.1,XP_011267685.1,0,814,0,794
NP_001155988.1,XP_011267687.1,0,793,0,771
NP_001155988.1,XP_011267688.1,0,826,0,805
NP_001155988.1,XP_011267689.1,0,815,0,795
NP_001156935.1,XP_019883427.1,1.00E-14,65.9,8.00E-24,90.1
NP_001157184.1,XP_011258610.2,4.00E-110,334,7.00E-118,355
NP_001157184.1,XP_011258617.1,5.00E-106,322,8.00E-107,324
NP_001157184.1,XP_025264242.1,2.00E-108,330,1.00E-116,351
NP_001157186.1,XP_011264688.1,3.00E-145,428,4.00E-145,428
NP_001157186.1,XP_011264690.1,3.00E-145,428,4.00E-145,428
NP_001157187.1,XP_011253840.1,1.00E-81,244,1.00E-81,244
NP_001157187.1,XP_011253841.1,3.00E-85,253,3.00E-85,253
NP_001157188.1,XP_011262801.1,2.00E-70,218,3.00E-70,218
NP_001157188.1,XP_011262811.1,2.00E-70,216,2.00E-70,216
NP_001157189.1,XP_011266713.1,1.00E-98,295,2.00E-94,284
NP_001157480.1,XP_011256325.1,0,634,0,643
NP_001158281.1,XP_011255920.2,2.00E-19,77.4,2.00E-19,77.4
NP_001158282.1,XP_011255917.1,3.00E-62,189,4.00E-62,189
NP_001158282.1,XP_011255918.1,1.00E-64,195,2.00E-64,195
NP_001159376.1,XP_011268429.1,0,3142,0,3172
NP_001159376.1,XP_011268431.1,0,3143,0,3174
NP_001159377.1,XP_025269364.1,0,3744,0,3717
NP_001159377.1,XP_025269365.1,0,3763,0,3733
NP_001159377.1,XP_025269366.1,0,3675,0,3651
NP_001159377.1,XP_025269367.1,0,3685,0,3657
NP_001159378.1,XP_019883295.1,0,985,0,985
NP_001159378.1,XP_025268522.1,0,985,0,985
NP_001159378.1,XP_025268827.1,0,936,0,936
NP_001161181.1,XP_011256308.1,4.00E-53,172,4.00E-53,172
NP_001161181.1,XP_011256309.1,4.00E-53,172,4.00E-53,172
NP_001161192.1,XP_011256013.1,2.00E-29,107,2.00E-29,107
NP_001161308.1,XP_011268574.2,5.00E-134,394,1.00E-128,381
NP_001161365.1,XP_011251609.1,2.00E-87,262,4.00E-72,223
NP_001161808.1,XP_011254159.1,4.00E-157,439,7.00E-164,456
NP_001161897.1,XP_011250903.1,0,604,0,604
NP_001162171.1,XP_011258058.1,0,539,0,569
NP_001162171.1,XP_025266162.1,0,539,0,569
NP_001164443.1,XP_011267981.1,5.00E-93,273,6.00E-93,273
NP_001164443.1,XP_011267982.1,5.00E-93,273,6.00E-93,273
NP_001164443.1,XP_011267984.1,5.00E-93,273,6.00E-93,273
NP_001164444.1,XP_025268048.1,2.00E-143,404,2.00E-143,404
NP_001164445.1,XP_025266903.1,0,697,0,697
NP_001164445.1,XP_025266904.1,0,697,0,697
NP_001164477.1,XP_011255523.1,0,1112,0,1098
NP_001164477.1,XP_019882953.1,0,1112,0,1098
NP_001164477.1,XP_025265518.1,0,1088,0,1075
NP_001164477.1,XP_025265519.1,0,1088,0,1075
NP_001164522.1,XP_025263172.1,0,2118,0,2110
NP_001164522.1,XP_025263173.1,0,2122,0,2110
NP_001164579.1,XP_019885162.1,0,645,0,636
NP_001164579.1,XP_025262100.1,0,645,0,636
NP_001164640.1,XP_011266320.1,0,937,0,937
NP_001165849.1,XP_025270901.1,4.00E-168,472,1.00E-164,464
NP_001165850.1,XP_011269205.1,3.00E-127,363,1.00E-124,357
NP_001165860.1,XP_011269200.1,6.00E-179,498,5.00E-175,488
NP_001165874.1,XP_011263394.1,3.00E-38,125,3.00E-38,125
NP_001165874.1,XP_025266588.1,3.00E-38,125,3.00E-38,125
NP_001165875.1,XP_011264145.1,0,1274,0,1274
NP_001165875.1,XP_011264146.1,0,1273,0,1273
NP_001165877.1,XP_011263393.1,3.00E-71,224,3.00E-79,245
NP_001166189.1,XP_011255846.1,0,577,0,576
NP_001167610.1,XP_019884119.2,7.00E-41,142,2.00E-36,130
NP_001167612.1,XP_011250559.1,4.00E-151,432,4.00E-153,437
NP_001167613.1,XP_011263354.1,5.00E-18,81.3,6.00E-13,66.6
NP_001167614.1,XP_011252394.2,2.00E-71,214,2.00E-71,214
NP_001167615.1,XP_011259573.1,8.00E-44,145,4.00E-33,118
NP_001167616.1,XP_011259575.1,4.00E-66,211,2.00E-70,223
NP_001170961.1,XP_011252486.1,3.00E-67,201,4.00E-67,201
NP_001171492.1,XP_011252834.1,2.00E-103,298,2.00E-103,298
NP_001171493.1,XP_011252834.1,2.00E-103,298,2.00E-103,298
NP_001171495.1,XP_011261725.1,5.00E-144,407,6.00E-144,407
NP_001171495.1,XP_011261726.1,5.00E-144,407,6.00E-144,407
NP_001171495.1,XP_025269690.1,5.00E-144,407,6.00E-144,407
NP_001171496.1,XP_011258105.1,0,861,0,862
NP_001171496.1,XP_011258106.1,0,862,0,864
NP_001171497.1,XP_011258105.1,0,857,0,857
NP_001171497.1,XP_011258106.1,0,865,0,866
NP_001171498.1,XP_011253679.1,1.00E-83,246,2.00E-83,246
